Topology,Agents,Runs,MeanFinalRMSE,StdFinalRMSE,MeanVoteRMSE,MeanAverageRMSE,MeanFinalNormalizedL1Error,ExactMatchRate,MeanTotalSteps,MeanTotalMessages,MeanVoteTopRatio,MeanVoteAverageDisagreementRMSE
chain,4,5,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0
chain,8,5,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,1.0,0.0
chain,16,5,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,1.0,0.0
chain,32,5,0.0,0.0,0.0,0.0,0.0,1.0,31.0,31.0,1.0,0.0
mesh,4,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0
mesh,8,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.0,1.0,0.0
mesh,16,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,240.0,1.0,0.0
mesh,32,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,992.0,1.0,0.0
one_peer_exponential,4,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,0.0
one_peer_exponential,8,5,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,1.0,0.0
one_peer_exponential,16,5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,64.0,1.0,0.0
one_peer_exponential,32,5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,160.0,1.0,0.0
star,4,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0
star,8,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,1.0,0.0
star,16,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,1.0,0.0
star,32,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,62.0,1.0,0.0
static_exponential,4,5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16.0,1.0,0.0
static_exponential,8,5,0.0,0.0,0.0,0.0,0.0,1.0,3.0,72.0,1.0,0.0
static_exponential,16,5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,256.0,1.0,0.0
static_exponential,32,5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,800.0,1.0,0.0
