step_idx,phase,topology,mean_coverage,min_coverage,max_coverage,mean_agent_rmse,median_agent_rmse,best_agent_rmse,worst_agent_rmse,mean_normalized_l1_error,exact_match_agents,full_coverage_agents,vote_top_ratio,vote_rmse,average_rmse,Topology,Agents,Seed
-1,initial,chain,0.25,0.25,0.25,4.205466826264592,4.203926720660952,4.19738013527486,4.216633728461603,0.75,0,0,0.25,4.20356991139674,,chain,4,1
0,after_step,chain,0.3125,0.25,0.5,3.889972729283899,4.2004750233358,2.9546573405388314,4.204283529925164,0.6875,0,0,0.25,4.20356991139674,,chain,4,1
1,after_step,chain,0.4375,0.25,0.75,3.256213323726998,3.5760187379068453,1.6685322891691368,4.204283529925164,0.5625,0,0,0.25,4.19738013527486,,chain,4,1
2,after_step,chain,0.625,0.25,1.0,2.206868289908283,2.311594814853984,0.0,4.204283529925164,0.375,1,1,0.25,0.0,0.0,chain,4,1
-1,initial,chain,0.125,0.125,0.125,4.83491264455169,4.837251126566887,4.815080477001397,4.85025772511111,0.875,0,0,0.125,4.85025772511111,,chain,8,1
0,after_step,chain,0.140625,0.125,0.25,4.755946741707809,4.834147404541019,4.204283529925164,4.85025772511111,0.859375,0,0,0.125,4.85025772511111,,chain,8,1
1,after_step,chain,0.171875,0.125,0.375,4.598368024856285,4.830832364887268,3.5691735738122907,4.85025772511111,0.828125,0,0,0.125,4.85025772511111,,chain,8,1
2,after_step,chain,0.21875,0.125,0.5,4.361985222326316,4.819126853159189,2.9546573405388314,4.85025772511111,0.78125,0,0,0.125,4.85025772511111,,chain,8,1
3,after_step,chain,0.28125,0.125,0.625,4.047212890786709,4.509682003463281,2.3049945770001283,4.85025772511111,0.71875,0,0,0.125,4.85025772511111,,chain,8,1
4,after_step,chain,0.359375,0.125,0.75,3.650683876626952,3.8867285518687273,1.6685322891691368,4.85025772511111,0.640625,0,0,0.125,4.85025772511111,,chain,8,1
5,after_step,chain,0.453125,0.125,0.875,3.170830989072966,3.261915457175561,1.0114346246792225,4.838491500457555,0.546875,0,0,0.125,4.815080477001397,,chain,8,1
6,after_step,chain,0.5625,0.125,1.0,2.568945929447791,2.62982595876948,0.0,4.838491500457555,0.4375,1,1,0.125,4.838491500457555,0.0,chain,8,1
-1,initial,chain,0.0625,0.0624,0.0626,5.147895230340662,5.149514539997248,5.133030294085551,5.1613951602255765,0.9375,0,0,0.0625,5.145774965930788,,chain,16,1
0,after_step,chain,0.0664125,0.0624,0.1252,5.128644799996686,5.149514539997248,4.837768080427171,5.1613951602255765,0.9335875,0,0,0.0625,5.149174691151972,,chain,16,1
1,after_step,chain,0.0742375,0.0624,0.1878,5.089594485537119,5.149514539997248,4.516303798461746,5.1613951602255765,0.9257625,0,0,0.0625,5.149174691151972,,chain,16,1
2,after_step,chain,0.085975,0.0624,0.2504,5.030171104544051,5.14932034144177,4.202380277890139,5.1613951602255765,0.914025,0,0,0.0625,5.149174691151972,,chain,16,1
3,after_step,chain,0.101625,0.0624,0.313,4.951333145156645,5.1477177348100795,3.8880586415330725,5.1613951602255765,0.898375,0,0,0.0625,5.149174691151972,,chain,16,1
4,after_step,chain,0.1211875,0.0624,0.3756,4.8528546257630625,5.1477177348100795,3.5662305029260235,5.1613951602255765,0.8788125,0,0,0.0625,5.149174691151972,,chain,16,1
5,after_step,chain,0.1446625,0.0624,0.4382,4.734466089026848,5.140522061729742,3.259907974161234,5.1613951602255765,0.8553375,0,0,0.0625,5.149174691151972,,chain,16,1
6,after_step,chain,0.17205,0.0624,0.5008,4.5968968903367395,5.133906819538423,2.951270912674741,5.1613951602255765,0.82795,0,0,0.0625,5.149174691151972,,chain,16,1
7,after_step,chain,0.20335,0.0624,0.5632,4.439577099080085,4.985399187256361,2.6343879744638983,5.1613951602255765,0.79665,0,0,0.0625,5.149174691151972,,chain,16,1
8,after_step,chain,0.23855,0.0624,0.6256,4.262620367191539,4.677035939444458,2.3034756347745464,5.1613951602255765,0.76145,0,0,0.0625,5.149174691151972,,chain,16,1
9,after_step,chain,0.27765,0.0624,0.688,4.064642565593481,4.359342038175942,1.9819182626939993,5.1613951602255765,0.72235,0,0,0.0625,5.149174691151972,,chain,16,1
10,after_step,chain,0.32065,0.0624,0.7504,3.846794721781992,4.045219459711606,1.6661332479726823,5.1613951602255765,0.67935,0,0,0.0625,5.149174691151972,,chain,16,1
11,after_step,chain,0.36755,0.0624,0.8128,3.6078869233438784,3.727144572229548,1.3266499161421599,5.1613951602255765,0.63245,0,0,0.0625,5.146260778468188,,chain,16,1
12,after_step,chain,0.41835,0.0624,0.8752,3.3484834856102808,3.4130692385436285,1.010940156488009,5.151019316601327,0.58165,0,0,0.0625,5.146260778468188,,chain,16,1
13,after_step,chain,0.47304999999999997,0.0624,0.9376,3.0680771669180453,3.105589443417988,0.6465291950097846,5.151019316601327,0.52695,0,0,0.0625,5.146260778468188,,chain,16,1
14,after_step,chain,0.53165,0.0626,1.0,2.7464358682637835,2.7928294435693197,0.0,5.151019316601327,0.46835,1,1,0.0625,4.837768080427171,0.0,chain,16,1
-1,initial,chain,0.03125,0.0312,0.0314,5.304087636472071,5.305186141043255,5.288099847771409,5.316013544000805,0.96875,0,0,0.03125,5.309048879036621,,chain,32,1
0,after_step,chain,0.032231249999999996,0.0312,0.0628,5.2992951166717654,5.305186141043255,5.1495630882629255,5.316013544000805,0.96776875,0,0,0.03125,5.309048879036621,,chain,32,1
1,after_step,chain,0.034193749999999995,0.0312,0.0942,5.2896213757687836,5.3049976428945556,4.99769947075652,5.316013544000805,0.96580625,0,0,0.03125,5.309048879036621,,chain,32,1
2,after_step,chain,0.0371375,0.0312,0.1256,5.2751343525250265,5.3049976428945556,4.836320915737499,5.316013544000805,0.9628625,0,0,0.03125,5.309048879036621,,chain,32,1
3,after_step,chain,0.0410625,0.0312,0.157,5.2556083249343635,5.304903392145799,4.680918713244228,5.316013544000805,0.9589375,0,0,0.03125,5.309048879036621,,chain,32,1
4,after_step,chain,0.045968749999999996,0.0312,0.1884,5.23120351228792,5.304903392145799,4.514421336118285,5.316013544000805,0.95403125,0,0,0.03125,5.309048879036621,,chain,32,1
5,after_step,chain,0.05185625,0.0312,0.2198,5.201636835164567,5.30462061980306,4.364516009822853,5.316013544000805,0.94814375,0,0,0.03125,5.309048879036621,,chain,32,1
6,after_step,chain,0.058725,0.0312,0.2512,5.1672111424272344,5.30462061980306,4.198094805980446,5.316013544000805,0.941275,0,0,0.03125,5.309048879036621,,chain,32,1
7,after_step,chain,0.066575,0.0312,0.2824,5.127811831587966,5.3033950551644455,4.044502441586604,5.316013544000805,0.933425,0,0,0.03125,5.309048879036621,,chain,32,1
8,after_step,chain,0.0754,0.0312,0.3136,5.083370137799741,5.302263664175003,3.8848423391432503,5.316013544000805,0.9246,0,0,0.03125,5.309048879036621,,chain,32,1
9,after_step,chain,0.0852,0.0312,0.3448,5.034172709752724,5.302263664175003,3.722096183604072,5.316013544000805,0.9148,0,0,0.03125,5.309048879036621,,chain,32,1
10,after_step,chain,0.09597499999999999,0.0312,0.376,4.979671951145201,5.301980761103032,3.5637059362410923,5.316013544000805,0.904025,0,0,0.03125,5.309048879036621,,chain,32,1
11,after_step,chain,0.107725,0.0312,0.4072,4.92043612992436,5.301697837902774,3.413502599969714,5.316013544000805,0.892275,0,0,0.03125,5.301509219080922,,chain,32,1
12,after_step,chain,0.12045,0.0312,0.4384,4.856414015657917,5.300565923577745,3.2588341473600644,5.316013544000805,0.87955,0,0,0.03125,5.301509219080922,,chain,32,1
13,after_step,chain,0.13415,0.0312,0.4696,4.787657921278231,5.296507367610493,3.1022572427185984,5.316013544000805,0.86585,0,0,0.03125,5.301509219080922,,chain,32,1
14,after_step,chain,0.148825,0.0312,0.5008,4.713942046527208,5.290745977458914,2.951270912674741,5.316013544000805,0.851175,0,0,0.03125,5.301509219080922,,chain,32,1
15,after_step,chain,0.164475,0.0312,0.532,4.635382006268746,5.218831468017168,2.7924899283614257,5.316013544000805,0.835525,0,0,0.03125,5.301509219080922,,chain,32,1
16,after_step,chain,0.1811,0.0312,0.5632,4.5519166183318935,5.073631279509723,2.6343879744638983,5.316013544000805,0.8189,0,0,0.03125,5.301509219080922,,chain,32,1
17,after_step,chain,0.19870000000000002,0.0312,0.5944,4.4636292938284425,4.917010193247009,2.468197723035981,5.316013544000805,0.8013,0,0,0.03125,5.301509219080922,,chain,32,1
18,after_step,chain,0.217275,0.0312,0.6256,4.369928955642503,4.758619814490864,2.3034756347745464,5.316013544000805,0.782725,0,0,0.03125,5.301509219080922,,chain,32,1
19,after_step,chain,0.236825,0.0312,0.6568,4.271156201548674,4.597670024681257,2.1466252583997982,5.316013544000805,0.763175,0,0,0.03125,5.301509219080922,,chain,32,1
20,after_step,chain,0.25735,0.0312,0.688,4.167401301461567,4.439468672970569,1.9819182626939993,5.316013544000805,0.74265,0,0,0.03125,5.301509219080922,,chain,32,1
21,after_step,chain,0.27885,0.0312,0.7192,4.058591680660605,4.28130540790165,1.8231840280125318,5.316013544000805,0.72115,0,0,0.03125,5.301509219080922,,chain,32,1
22,after_step,chain,0.301325,0.0312,0.7504,3.944862442267684,4.121298623783526,1.6661332479726823,5.316013544000805,0.698675,0,0,0.03125,5.301509219080922,,chain,32,1
23,after_step,chain,0.324775,0.0312,0.7816,3.8257462572584013,3.9646723903649272,1.4973309587395833,5.316013544000805,0.675225,0,0,0.03125,5.301509219080922,,chain,32,1
24,after_step,chain,0.3492,0.0312,0.8128,3.701590860010514,3.803469261373661,1.3266499161421599,5.316013544000805,0.6508,0,0,0.03125,5.301509219080922,,chain,32,1
25,after_step,chain,0.3746,0.0312,0.844,3.5722560783487407,3.642901059922582,1.1661903789690602,5.316013544000805,0.6254,0,0,0.03125,5.301509219080922,,chain,32,1
26,after_step,chain,0.40097499999999997,0.0312,0.8752,3.4377225349889655,3.4886042681054032,1.010940156488009,5.308201201913883,0.599025,0,0,0.03125,5.301509219080922,,chain,32,1
27,after_step,chain,0.428325,0.0312,0.9064,3.2980867916610084,3.336168373664889,0.8197560612767679,5.308201201913883,0.571675,0,0,0.03125,5.301509219080922,,chain,32,1
28,after_step,chain,0.45665,0.0312,0.9376,3.152530271271929,3.1805456950393314,0.6465291950097846,5.308201201913883,0.54335,0,0,0.03125,5.301509219080922,,chain,32,1
29,after_step,chain,0.48595,0.0312,0.9688,3.0000102924146206,3.0267640776966696,0.4242640687119285,5.308201201913883,0.51405,0,0,0.03125,5.301509219080922,,chain,32,1
30,after_step,chain,0.516225,0.0314,1.0,2.8343381293183416,2.8718804205180835,0.0,5.308201201913883,0.483775,1,1,0.03125,5.308201201913883,0.0,chain,32,1
-1,initial,star,0.25,0.25,0.25,4.205466826264592,4.203926720660952,4.19738013527486,4.216633728461603,0.75,0,0,0.25,4.20356991139674,,star,4,1
0,after_step,star,0.4375,0.25,1.0,3.1543959437833005,4.2004750233358,0.0,4.216633728461603,0.5625,1,1,0.25,4.20356991139674,0.0,star,4,1
1,after_step,star,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,1.0,0.0,0.0,star,4,1
-1,initial,star,0.125,0.125,0.125,4.83491264455169,4.837251126566887,4.815080477001397,4.85025772511111,0.875,0,0,0.125,4.85025772511111,,star,8,1
0,after_step,star,0.234375,0.125,1.0,4.230101206994496,4.83290703065035,0.0,4.85025772511111,0.765625,1,1,0.125,4.85025772511111,0.0,star,8,1
1,after_step,star,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,8,1.0,0.0,0.0,star,8,1
-1,initial,star,0.0625,0.0624,0.0626,5.147895230340662,5.149514539997248,5.133030294085551,5.1613951602255765,0.9375,0,0,0.0625,5.145774965930788,,star,16,1
0,after_step,star,0.1210875,0.0624,1.0,4.82595652305308,5.14932034144177,0.0,5.1613951602255765,0.8789125,1,1,0.0625,5.145774965930788,0.0,star,16,1
1,after_step,star,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16,16,1.0,0.0,0.0,star,16,1
