Agents,AggregationMethod,AnswerAgentIds,ArraySize,AverageIncludedAgents,AverageNormalizedL1Error,AverageRMSE,FinalExactMatch,FinalKey,FinalNormalizedL1Error,FinalRMSE,InitMode,MergeMode,Seed,SelectedPrimary,Task,Topology,TotalCompletionTokens,TotalDeterministicFallbacks,TotalMessages,TotalModelCalls,TotalPromptTokens,TotalRetryAttempts,TotalSteps,ValueMax,ValueMin,VoteAverageDisagreementRMSE,VoteNormalizedL1Error,VoteRMSE,VoteTopRatio,graph_candidate_score_mode,graph_search_mode,job_id,num_graph_candidates,objective,phase,planner_mode,planner_policy,requested_topology
8,vote,[7],512,1,0.068359375,13.601470508735444,False,"FREQ_JSON:{""0"":56,""1"":66,""2"":46,""3"":57,""4"":39,""5"":39,""6"":33,""7"":43,""8"":50,""9"":66}",0.068359375,13.601470508735444,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,tree,4644,0,7,15,13376,0,3,9,0,0.0,0.068359375,13.601470508735444,1.0,accuracy_max,topk,2ed9d25728c2,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],512,8,0.068359375,12.609520212918492,False,"FREQ_JSON:{""0"":56,""1"":66,""2"":47,""3"":57,""4"":37,""5"":39,""6"":32,""7"":44,""8"":49,""9"":64}",0.068359375,12.609520212918492,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,one_peer_exponential_dag_star,12718,0,31,33,36269,0,4,9,0,1.0,0.068359375,12.609520212918492,1.0,accuracy_max,topk,4bcf279e4b56,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],512,8,0.06640625,14.696938456699069,False,"FREQ_JSON:{""0"":46,""1"":50,""2"":46,""3"":40,""4"":50,""5"":51,""6"":46,""7"":53,""8"":46,""9"":74}",0.06640625,14.696938456699069,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,one_peer_exponential_dag_star,12752,0,31,33,36304,0,4,9,0,0.0,0.06640625,14.696938456699069,1.0,accuracy_max,topk,5f299af5b205,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],512,1,0.05078125,9.591663046625438,False,"FREQ_JSON:{""0"":57,""1"":43,""2"":57,""3"":55,""4"":49,""5"":44,""6"":42,""7"":54,""8"":46,""9"":47}",0.05078125,9.591663046625438,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,tree,4674,0,7,15,13434,0,3,9,0,0.0,0.05078125,9.591663046625438,1.0,accuracy_max,topk,781243913574,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],512,1,0.05859375,12.884098726725126,False,"FREQ_JSON:{""0"":46,""1"":50,""2"":46,""3"":40,""4"":50,""5"":52,""6"":45,""7"":54,""8"":47,""9"":72}",0.05859375,12.884098726725126,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,tree,4059,0,7,15,13378,0,3,9,0,0.0,0.05859375,12.884098726725126,1.0,accuracy_max,topk,8f2ec7442ab4,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],512,8,0.048828125,8.774964387392123,False,"FREQ_JSON:{""0"":55,""1"":43,""2"":59,""3"":55,""4"":48,""5"":44,""6"":42,""7"":53,""8"":45,""9"":43}",0.048828125,8.774964387392123,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,mesh_star,6970,0,63,17,28782,0,2,9,0,0.0,0.048828125,8.774964387392123,1.0,accuracy_max,topk,a169dc371872,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],512,8,0.05859375,11.661903789690601,False,"FREQ_JSON:{""0"":35,""1"":51,""2"":55,""3"":60,""4"":42,""5"":40,""6"":50,""7"":54,""8"":52,""9"":57}",0.05859375,11.661903789690601,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,mesh_star,6963,0,63,17,28776,0,2,9,0,0.0,0.05859375,11.661903789690601,1.0,accuracy_max,topk,ab49d68e2025,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],512,8,0.154296875,26.476404589747453,False,"FREQ_JSON:{""0"":55,""1"":65,""2"":47,""3"":57,""4"":39,""5"":40,""6"":33,""7"":44,""8"":50,""9"":61}",0.056640625,10.535653752852738,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,mesh_star,8875,0,63,17,28791,0,2,9,0,17.05872210923198,0.056640625,10.535653752852738,1.0,accuracy_max,topk,c871ec53181b,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],512,8,0.0703125,14.89966442575134,False,"FREQ_JSON:{""0"":45,""1"":51,""2"":47,""3"":39,""4"":51,""5"":51,""6"":44,""7"":52,""8"":46,""9"":74}",0.0703125,14.89966442575134,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,mesh_star,6641,0,63,17,28775,0,2,9,0,1.0,0.0703125,14.89966442575134,1.0,accuracy_max,topk,cc335b119503,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],512,8,0.046875,8.831760866327848,False,"FREQ_JSON:{""0"":36,""1"":51,""2"":55,""3"":60,""4"":42,""5"":40,""6"":50,""7"":55,""8"":51,""9"":48}",0.046875,8.831760866327848,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,one_peer_exponential_dag_star,11385,0,31,33,36175,0,4,9,0,0.0,0.046875,8.831760866327848,1.0,accuracy_max,topk,e5e2a2c641ee,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
