active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.87890625,145.12063946937388,64,1,[0],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,1,0.125,False,False,0.875,143.59665734271115,64,1,[1],False,0.15625,4.69041575982343,0.15625,initial,0,4.69041575982343,0,-1,tree
False,False,2,0.125,False,False,0.88671875,146.25320509308506,64,1,[2],False,0.09375,2.449489742783178,0.09375,initial,0,2.449489742783178,0,-1,tree
False,False,3,0.125,False,False,0.875,144.19431334140748,64,1,[3],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,tree
False,False,4,0.125,False,False,0.8828125,146.21217459568817,64,1,[4],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,tree
False,False,5,0.125,False,False,0.875,143.7428259079388,64,1,[5],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,tree
False,False,6,0.125,False,False,0.875,144.71351008112546,64,1,[6],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,tree
False,False,7,0.125,False,False,0.884765625,145.8595214581482,64,1,[7],False,0.109375,2.6457513110645907,0.109375,initial,0,2.6457513110645907,0,-1,tree
False,True,0,0.125,False,False,0.87890625,145.12063946937388,64,1,[0],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,tree
True,False,1,0.25,False,False,0.75390625,123.78206655246954,128,2,"[0, 1]",False,0.09375,5.477225575051661,0.09375,after_step,1,5.477225575051661,0,0,tree
False,True,2,0.125,False,False,0.88671875,146.25320509308506,64,1,[2],False,0.09375,2.449489742783178,0.09375,after_step,0,2.449489742783178,1,0,tree
True,False,3,0.25,False,False,0.76171875,125.43524225671189,128,2,"[2, 3]",False,0.078125,4.0,0.078125,after_step,1,4.0,0,0,tree
False,True,4,0.125,False,False,0.8828125,146.21217459568817,64,1,[4],False,0.0625,2.0,0.0625,after_step,0,2.0,1,0,tree
True,False,5,0.25,False,False,0.7578125,125.05998560690786,128,2,"[4, 5]",False,0.03125,2.449489742783178,0.03125,after_step,1,2.449489742783178,0,0,tree
False,True,6,0.125,False,False,0.875,144.71351008112546,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,1,0,tree
True,False,7,0.25,False,False,0.759765625,125.91663909110662,128,2,"[6, 7]",False,0.0859375,4.58257569495584,0.0859375,after_step,1,4.58257569495584,0,0,tree
False,False,0,0.125,False,False,0.87890625,145.12063946937388,64,1,[0],False,0.03125,2.0,0.03125,after_step,0,2.0,0,1,tree
False,True,1,0.25,False,False,0.75390625,123.78206655246954,128,2,"[0, 1]",False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,1,1,tree
False,False,2,0.125,False,False,0.88671875,146.25320509308506,64,1,[2],False,0.09375,2.449489742783178,0.09375,after_step,0,2.449489742783178,0,1,tree
True,False,3,0.5,False,False,0.515625,84.60496439334987,256,4,"[0, 1, 2, 3]",False,0.078125,8.48528137423857,0.078125,after_step,1,8.48528137423857,0,1,tree
False,False,4,0.125,False,False,0.8828125,146.21217459568817,64,1,[4],False,0.0625,2.0,0.0625,after_step,0,2.0,0,1,tree
False,True,5,0.25,False,False,0.7578125,125.05998560690786,128,2,"[4, 5]",False,0.03125,2.449489742783178,0.03125,after_step,0,2.449489742783178,1,1,tree
False,False,6,0.125,False,False,0.875,144.71351008112546,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,0,1,tree
True,False,7,0.5,False,False,0.517578125,86.59676668328905,256,4,"[4, 5, 6, 7]",False,0.05859375,5.744562646538029,0.05859375,after_step,1,5.744562646538029,0,1,tree
False,False,0,0.125,False,False,0.87890625,145.12063946937388,64,1,[0],False,0.03125,2.0,0.03125,after_step,0,2.0,0,2,tree
False,False,1,0.25,False,False,0.75390625,123.78206655246954,128,2,"[0, 1]",False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,0,2,tree
False,False,2,0.125,False,False,0.88671875,146.25320509308506,64,1,[2],False,0.09375,2.449489742783178,0.09375,after_step,0,2.449489742783178,0,2,tree
False,True,3,0.5,False,False,0.515625,84.60496439334987,256,4,"[0, 1, 2, 3]",False,0.078125,8.48528137423857,0.078125,after_step,0,8.48528137423857,1,2,tree
False,False,4,0.125,False,False,0.8828125,146.21217459568817,64,1,[4],False,0.0625,2.0,0.0625,after_step,0,2.0,0,2,tree
False,False,5,0.25,False,False,0.7578125,125.05998560690786,128,2,"[4, 5]",False,0.03125,2.449489742783178,0.03125,after_step,0,2.449489742783178,0,2,tree
False,False,6,0.125,False,False,0.875,144.71351008112546,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,0,2,tree
True,False,7,1.0,False,False,0.068359375,13.601470508735444,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.068359375,13.601470508735444,0.068359375,after_step,1,13.601470508735444,0,2,tree
