active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.88671875,144.6789549312546,64,1,[0],False,0.09375,2.8284271247461903,0.09375,initial,0,2.8284271247461903,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.875,142.59733517846678,64,1,[1],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.875,142.37977384446148,64,1,[2],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.8828125,144.06248644251562,64,1,[3],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.875,142.71650219929018,64,1,[4],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.875,142.64641600825448,64,1,[5],False,0.09375,3.4641016151377544,0.09375,initial,0,3.4641016151377544,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.875,142.63239463740345,64,1,[6],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.875,142.43595051811886,64,1,[7],False,0.125,4.47213595499958,0.125,initial,0,4.47213595499958,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.76171875,124.24974849069112,128,2,"[0, 7]",False,0.109375,6.164414002968976,0.109375,after_step,1,6.164414002968976,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.76171875,124.36237373096414,128,2,"[0, 1]",False,0.0625,3.1622776601683795,0.0625,after_step,1,3.1622776601683795,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.75,122.1720098876989,128,2,"[1, 2]",False,0.046875,2.8284271247461903,0.046875,after_step,1,2.8284271247461903,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.7578125,123.3450444890268,128,2,"[2, 3]",False,0.046875,2.8284271247461903,0.046875,after_step,1,2.8284271247461903,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.7578125,124.01612798341996,128,2,"[3, 4]",False,0.046875,2.8284271247461903,0.046875,after_step,1,2.8284271247461903,1,0,one_peer_exponential_dag_star
