active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.88671875,144.6789549312546,64,1,[0],False,0.09375,2.8284271247461903,0.09375,initial,0,2.8284271247461903,0,-1,tree
False,False,1,0.125,False,False,0.875,142.59733517846678,64,1,[1],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,tree
False,False,2,0.125,False,False,0.8828125,143.7358688706476,64,1,[2],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,tree
False,False,3,0.125,False,False,0.875,142.6043477598071,64,1,[3],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,tree
False,False,4,0.125,False,False,0.875,142.71650219929018,64,1,[4],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,tree
False,False,5,0.125,False,False,0.875,142.64641600825448,64,1,[5],False,0.09375,3.4641016151377544,0.09375,initial,0,3.4641016151377544,0,-1,tree
False,False,6,0.125,False,False,0.875,142.63239463740345,64,1,[6],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,tree
False,False,7,0.125,False,False,0.875,142.55525244620065,64,1,[7],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,tree
False,True,0,0.125,False,False,0.88671875,144.6789549312546,64,1,[0],False,0.09375,2.8284271247461903,0.09375,after_step,0,2.8284271247461903,1,0,tree
True,False,1,0.25,False,False,0.76171875,124.36237373096414,128,2,"[0, 1]",False,0.0625,3.1622776601683795,0.0625,after_step,1,3.1622776601683795,0,0,tree
False,True,2,0.125,False,False,0.8828125,143.7358688706476,64,1,[2],False,0.0625,2.0,0.0625,after_step,0,2.0,1,0,tree
True,False,3,0.25,False,False,0.7578125,123.3369368842927,128,2,"[2, 3]",False,0.046875,3.1622776601683795,0.046875,after_step,1,3.1622776601683795,0,0,tree
False,True,4,0.125,False,False,0.875,142.71650219929018,64,1,[4],False,0.03125,1.4142135623730951,0.03125,after_step,0,1.4142135623730951,1,0,tree
True,False,5,0.25,False,False,0.75,122.47448713915891,128,2,"[4, 5]",False,0.0625,4.47213595499958,0.0625,after_step,1,4.47213595499958,0,0,tree
False,True,6,0.125,False,False,0.875,142.63239463740345,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,1,0,tree
True,False,7,0.25,False,False,0.75,122.37646832622684,128,2,"[6, 7]",False,0.0625,4.898979485566356,0.0625,after_step,1,4.898979485566356,0,0,tree
False,False,0,0.125,False,False,0.88671875,144.6789549312546,64,1,[0],False,0.09375,2.8284271247461903,0.09375,after_step,0,2.8284271247461903,0,1,tree
False,True,1,0.25,False,False,0.76171875,124.36237373096414,128,2,"[0, 1]",False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,1,tree
False,False,2,0.125,False,False,0.8828125,143.7358688706476,64,1,[2],False,0.0625,2.0,0.0625,after_step,0,2.0,0,1,tree
True,False,3,0.5,False,False,0.51953125,84.545845551393,256,4,"[0, 1, 2, 3]",False,0.0546875,5.656854249492381,0.0546875,after_step,1,5.656854249492381,0,1,tree
False,False,4,0.125,False,False,0.875,142.71650219929018,64,1,[4],False,0.03125,1.4142135623730951,0.03125,after_step,0,1.4142135623730951,0,1,tree
False,True,5,0.25,False,False,0.75,122.47448713915891,128,2,"[4, 5]",False,0.0625,4.47213595499958,0.0625,after_step,0,4.47213595499958,1,1,tree
False,False,6,0.125,False,False,0.875,142.63239463740345,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,0,1,tree
True,False,7,0.5,False,False,0.5,82.18272324521742,256,4,"[4, 5, 6, 7]",False,0.0625,8.717797887081348,0.0625,after_step,1,8.717797887081348,0,1,tree
False,False,0,0.125,False,False,0.88671875,144.6789549312546,64,1,[0],False,0.09375,2.8284271247461903,0.09375,after_step,0,2.8284271247461903,0,2,tree
False,False,1,0.25,False,False,0.76171875,124.36237373096414,128,2,"[0, 1]",False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,2,tree
False,False,2,0.125,False,False,0.8828125,143.7358688706476,64,1,[2],False,0.0625,2.0,0.0625,after_step,0,2.0,0,2,tree
False,True,3,0.5,False,False,0.51953125,84.545845551393,256,4,"[0, 1, 2, 3]",False,0.0546875,5.656854249492381,0.0546875,after_step,0,5.656854249492381,1,2,tree
False,False,4,0.125,False,False,0.875,142.71650219929018,64,1,[4],False,0.03125,1.4142135623730951,0.03125,after_step,0,1.4142135623730951,0,2,tree
False,False,5,0.25,False,False,0.75,122.47448713915891,128,2,"[4, 5]",False,0.0625,4.47213595499958,0.0625,after_step,0,4.47213595499958,0,2,tree
False,False,6,0.125,False,False,0.875,142.63239463740345,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,0,2,tree
True,False,7,1.0,False,False,0.05859375,12.884098726725126,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,12.884098726725126,0.05859375,after_step,1,12.884098726725126,0,2,tree
