active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,144.54065172123723,64,1,[0],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,mesh_star
False,False,1,0.125,False,False,0.88671875,145.58846108122717,64,1,[1],False,0.09375,2.449489742783178,0.09375,initial,0,2.449489742783178,0,-1,mesh_star
False,False,2,0.125,False,False,0.888671875,146.70037491431302,64,1,[2],False,0.109375,2.6457513110645907,0.109375,initial,0,2.6457513110645907,0,-1,mesh_star
False,False,3,0.125,False,False,0.875,144.19431334140748,64,1,[3],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,mesh_star
False,False,4,0.125,False,False,0.8828125,146.21901381147393,64,1,[4],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,mesh_star
False,False,5,0.125,False,False,0.875,143.7428259079388,64,1,[5],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,mesh_star
False,False,6,0.125,False,False,0.875,144.71351008112546,64,1,[6],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,mesh_star
False,False,7,0.125,False,False,0.884765625,145.8595214581482,64,1,[7],False,0.109375,2.6457513110645907,0.109375,initial,0,2.6457513110645907,0,-1,mesh_star
True,True,0,1.0,False,False,0.052734375,9.9498743710662,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,9.9498743710662,0.052734375,after_step,7,9.9498743710662,7,0,mesh_star
True,True,1,1.0,False,False,0.056640625,10.535653752852738,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.056640625,10.535653752852738,0.056640625,after_step,7,10.535653752852738,7,0,mesh_star
True,True,2,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,7,10.954451150103322,7,0,mesh_star
True,True,3,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,7,10.954451150103322,7,0,mesh_star
True,True,4,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,7,10.954451150103322,7,0,mesh_star
True,True,5,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,7,10.954451150103322,7,0,mesh_star
True,True,6,1.0,False,False,0.875,144.71351008112546,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.875,144.71351008112546,0.875,after_step,7,144.71351008112546,7,0,mesh_star
True,True,7,1.0,False,False,0.056640625,10.535653752852738,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.056640625,10.535653752852738,0.056640625,after_step,7,10.535653752852738,7,0,mesh_star
False,True,0,1.0,False,False,0.052734375,9.9498743710662,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,9.9498743710662,0.052734375,after_step,0,9.9498743710662,1,1,mesh_star
False,True,1,1.0,False,False,0.056640625,10.535653752852738,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.056640625,10.535653752852738,0.056640625,after_step,0,10.535653752852738,1,1,mesh_star
False,True,2,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,0,10.954451150103322,1,1,mesh_star
False,True,3,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,0,10.954451150103322,1,1,mesh_star
False,True,4,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,0,10.954451150103322,1,1,mesh_star
False,True,5,1.0,False,False,0.05859375,10.954451150103322,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,10.954451150103322,0.05859375,after_step,0,10.954451150103322,1,1,mesh_star
False,True,6,1.0,False,False,0.875,144.71351008112546,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.875,144.71351008112546,0.875,after_step,0,144.71351008112546,1,1,mesh_star
True,False,7,1.0,False,False,0.056640625,10.535653752852738,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.056640625,10.535653752852738,0.056640625,after_step,7,10.535653752852738,0,1,mesh_star
