active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,142.64641600825448,64,1,[0],False,0.09375,3.4641016151377544,0.09375,initial,0,3.4641016151377544,0,-1,mesh_star
False,False,1,0.125,False,False,0.875,142.59733517846678,64,1,[1],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,mesh_star
False,False,2,0.125,False,False,0.8828125,143.7358688706476,64,1,[2],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,mesh_star
False,False,3,0.125,False,False,0.8828125,144.06248644251562,64,1,[3],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,mesh_star
False,False,4,0.125,False,False,0.875,142.49912280431764,64,1,[4],False,0.09375,3.4641016151377544,0.09375,initial,0,3.4641016151377544,0,-1,mesh_star
False,False,5,0.125,False,False,0.875,142.64641600825448,64,1,[5],False,0.09375,3.4641016151377544,0.09375,initial,0,3.4641016151377544,0,-1,mesh_star
False,False,6,0.125,False,False,0.8828125,144.03471803700663,64,1,[6],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,mesh_star
False,False,7,0.125,False,False,0.875,142.43595051811886,64,1,[7],False,0.125,4.47213595499958,0.125,initial,0,4.47213595499958,0,-1,mesh_star
True,True,0,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,7,0,mesh_star
True,True,1,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,7,0,mesh_star
True,True,2,1.0,False,False,0.064453125,14.594519519326424,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,14.594519519326424,0.064453125,after_step,7,14.594519519326424,7,0,mesh_star
True,True,3,1.0,False,False,0.064453125,14.594519519326424,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,14.594519519326424,0.064453125,after_step,7,14.594519519326424,7,0,mesh_star
True,True,4,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,7,0,mesh_star
True,True,5,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,7,0,mesh_star
True,True,6,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,7,0,mesh_star
True,True,7,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,7,0,mesh_star
False,True,0,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,0,14.89966442575134,1,1,mesh_star
False,True,1,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,0,14.89966442575134,1,1,mesh_star
False,True,2,1.0,False,False,0.064453125,14.594519519326424,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,14.594519519326424,0.064453125,after_step,0,14.594519519326424,1,1,mesh_star
False,True,3,1.0,False,False,0.064453125,14.594519519326424,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,14.594519519326424,0.064453125,after_step,0,14.594519519326424,1,1,mesh_star
False,True,4,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,0,14.89966442575134,1,1,mesh_star
False,True,5,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,0,14.89966442575134,1,1,mesh_star
False,True,6,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,0,14.89966442575134,1,1,mesh_star
True,False,7,1.0,False,False,0.0703125,14.89966442575134,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0703125,14.89966442575134,0.0703125,after_step,7,14.89966442575134,0,1,mesh_star
