active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,143.88189601197226,64,1,[0],False,0.125,4.47213595499958,0.125,initial,0,4.47213595499958,0,-1,tree
False,False,1,0.125,False,False,0.875,143.19916200872126,64,1,[1],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,tree
False,False,2,0.125,False,False,0.884765625,144.77914214416384,64,1,[2],False,0.078125,3.0,0.078125,initial,0,3.0,0,-1,tree
False,False,3,0.125,False,False,0.8828125,145.058608844839,64,1,[3],False,0.0625,2.0,0.0625,initial,0,2.0,0,-1,tree
False,False,4,0.125,False,False,0.875,143.78456106272327,64,1,[4],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,tree
False,False,5,0.125,False,False,0.875,144.63747785411636,64,1,[5],False,0.125,4.69041575982343,0.125,initial,0,4.69041575982343,0,-1,tree
False,False,6,0.125,False,False,0.8828125,145.22396496446444,64,1,[6],False,0.0625,2.449489742783178,0.0625,initial,0,2.449489742783178,0,-1,tree
False,False,7,0.125,False,False,0.875,143.61058456812992,64,1,[7],False,0.03125,1.4142135623730951,0.03125,initial,0,1.4142135623730951,0,-1,tree
False,True,0,0.125,False,False,0.875,143.88189601197226,64,1,[0],False,0.125,4.47213595499958,0.125,after_step,0,4.47213595499958,1,0,tree
True,False,1,0.25,False,False,0.75,123.27205684987982,128,2,"[0, 1]",False,0.09375,5.0990195135927845,0.09375,after_step,1,5.0990195135927845,0,0,tree
False,True,2,0.125,False,False,0.884765625,144.77914214416384,64,1,[2],False,0.078125,3.0,0.078125,after_step,0,3.0,1,0,tree
True,False,3,0.25,False,False,0.767578125,126.10709734190222,128,2,"[2, 3]",False,0.0703125,4.358898943540674,0.0703125,after_step,1,4.358898943540674,0,0,tree
False,True,4,0.125,False,False,0.875,143.78456106272327,64,1,[4],False,0.03125,1.4142135623730951,0.03125,after_step,0,1.4142135623730951,1,0,tree
True,False,5,0.25,False,False,0.75,124.49899597988733,128,2,"[4, 5]",False,0.078125,5.656854249492381,0.078125,after_step,1,5.656854249492381,0,0,tree
False,True,6,0.125,False,False,0.8828125,145.22396496446444,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,1,0,tree
True,False,7,0.25,False,False,0.7578125,124.96399481450646,128,2,"[6, 7]",False,0.03125,2.449489742783178,0.03125,after_step,1,2.449489742783178,0,0,tree
False,False,0,0.125,False,False,0.875,143.88189601197226,64,1,[0],False,0.125,4.47213595499958,0.125,after_step,0,4.47213595499958,0,1,tree
False,True,1,0.25,False,False,0.75,123.27205684987982,128,2,"[0, 1]",False,0.09375,5.0990195135927845,0.09375,after_step,0,5.0990195135927845,1,1,tree
False,False,2,0.125,False,False,0.884765625,144.77914214416384,64,1,[2],False,0.078125,3.0,0.078125,after_step,0,3.0,0,1,tree
True,False,3,0.5,False,False,0.517578125,84.5872330792301,256,4,"[0, 1, 2, 3]",False,0.08203125,7.810249675906654,0.08203125,after_step,1,7.810249675906654,0,1,tree
False,False,4,0.125,False,False,0.875,143.78456106272327,64,1,[4],False,0.03125,1.4142135623730951,0.03125,after_step,0,1.4142135623730951,0,1,tree
False,True,5,0.25,False,False,0.75,124.49899597988733,128,2,"[4, 5]",False,0.078125,5.656854249492381,0.078125,after_step,0,5.656854249492381,1,1,tree
False,False,6,0.125,False,False,0.8828125,145.22396496446444,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,0,1,tree
True,False,7,0.5,False,False,0.5078125,85.60373823613078,256,4,"[4, 5, 6, 7]",False,0.0546875,6.324555320336759,0.0546875,after_step,1,6.324555320336759,0,1,tree
False,False,0,0.125,False,False,0.875,143.88189601197226,64,1,[0],False,0.125,4.47213595499958,0.125,after_step,0,4.47213595499958,0,2,tree
False,False,1,0.25,False,False,0.75,123.27205684987982,128,2,"[0, 1]",False,0.09375,5.0990195135927845,0.09375,after_step,0,5.0990195135927845,0,2,tree
False,False,2,0.125,False,False,0.884765625,144.77914214416384,64,1,[2],False,0.078125,3.0,0.078125,after_step,0,3.0,0,2,tree
False,True,3,0.5,False,False,0.517578125,84.5872330792301,256,4,"[0, 1, 2, 3]",False,0.08203125,7.810249675906654,0.08203125,after_step,0,7.810249675906654,1,2,tree
False,False,4,0.125,False,False,0.875,143.78456106272327,64,1,[4],False,0.03125,1.4142135623730951,0.03125,after_step,0,1.4142135623730951,0,2,tree
False,False,5,0.25,False,False,0.75,124.49899597988733,128,2,"[4, 5]",False,0.078125,5.656854249492381,0.078125,after_step,0,5.656854249492381,0,2,tree
False,False,6,0.125,False,False,0.8828125,145.22396496446444,64,1,[6],False,0.0625,2.449489742783178,0.0625,after_step,0,2.449489742783178,0,2,tree
True,False,7,1.0,False,False,0.064453125,12.922847983320086,512,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,12.922847983320086,0.064453125,after_step,1,12.922847983320086,0,2,tree
