active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.865234375,281.7055200027149,128,1,[0],False,0.09375,5.477225575051661,0.09375,initial,0,5.477225575051661,0,-1,tree
False,False,1,0.125,False,False,0.89453125,291.0498239133637,128,1,[1],False,0.15625,7.745966692414834,0.15625,initial,0,7.745966692414834,0,-1,tree
False,False,2,0.125,False,False,0.89453125,291.2146974312938,128,1,[2],False,0.15625,7.0710678118654755,0.15625,initial,0,7.0710678118654755,0,-1,tree
False,False,3,0.125,False,False,0.888671875,288.9636655359978,128,1,[3],False,0.109375,4.898979485566356,0.109375,initial,0,4.898979485566356,0,-1,tree
False,False,4,0.125,False,False,0.875,285.0964748992874,128,1,[4],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,tree
False,False,5,0.125,False,False,0.865234375,281.98936150145806,128,1,[5],False,0.125,6.324555320336759,0.125,initial,0,6.324555320336759,0,-1,tree
False,False,6,0.125,False,False,0.861328125,280.7810534918622,128,1,[6],False,0.109375,5.830951894845301,0.109375,initial,0,5.830951894845301,0,-1,tree
False,False,7,0.125,False,False,0.865234375,281.15831839019097,128,1,[7],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,tree
False,True,0,0.125,False,False,0.865234375,281.7055200027149,128,1,[0],False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,1,0,tree
True,False,1,0.25,False,False,0.759765625,247.42675683927152,256,2,"[0, 1]",False,0.0703125,6.6332495807108,0.0703125,after_step,1,6.6332495807108,0,0,tree
False,True,2,0.125,False,False,0.89453125,291.2146974312938,128,1,[2],False,0.15625,7.0710678118654755,0.15625,after_step,0,7.0710678118654755,1,0,tree
True,False,3,0.25,False,False,0.783203125,254.76263462289756,256,2,"[2, 3]",False,0.1328125,11.489125293076057,0.1328125,after_step,1,11.489125293076057,0,0,tree
False,True,4,0.125,False,False,0.875,285.0964748992874,128,1,[4],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,1,0,tree
True,False,5,0.25,False,False,0.740234375,241.70229622409465,256,2,"[4, 5]",False,0.09375,9.899494936611665,0.09375,after_step,1,9.899494936611665,0,0,tree
False,True,6,0.125,False,False,0.861328125,280.7810534918622,128,1,[6],False,0.109375,5.830951894845301,0.109375,after_step,0,5.830951894845301,1,0,tree
True,False,7,0.25,False,False,0.7265625,236.6389655149802,256,2,"[6, 7]",False,0.09375,9.38083151964686,0.09375,after_step,1,9.38083151964686,0,0,tree
False,False,0,0.125,False,False,0.865234375,281.7055200027149,128,1,[0],False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,0,1,tree
False,True,1,0.25,False,False,0.759765625,247.42675683927152,256,2,"[0, 1]",False,0.0703125,6.6332495807108,0.0703125,after_step,0,6.6332495807108,1,1,tree
False,False,2,0.125,False,False,0.89453125,291.2146974312938,128,1,[2],False,0.15625,7.0710678118654755,0.15625,after_step,0,7.0710678118654755,0,1,tree
True,False,3,0.5,False,False,0.54296875,176.8502191121063,512,4,"[0, 1, 2, 3]",False,0.0859375,16.24807680927192,0.0859375,after_step,1,16.24807680927192,0,1,tree
False,False,4,0.125,False,False,0.875,285.0964748992874,128,1,[4],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,0,1,tree
False,True,5,0.25,False,False,0.740234375,241.70229622409465,256,2,"[4, 5]",False,0.09375,9.899494936611665,0.09375,after_step,0,9.899494936611665,1,1,tree
False,False,6,0.125,False,False,0.861328125,280.7810534918622,128,1,[6],False,0.109375,5.830951894845301,0.109375,after_step,0,5.830951894845301,0,1,tree
True,False,7,0.5,False,False,0.466796875,153.6619666670969,512,4,"[4, 5, 6, 7]",False,0.08984375,17.08800749063506,0.08984375,after_step,1,17.08800749063506,0,1,tree
False,False,0,0.125,False,False,0.865234375,281.7055200027149,128,1,[0],False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,0,2,tree
False,False,1,0.25,False,False,0.759765625,247.42675683927152,256,2,"[0, 1]",False,0.0703125,6.6332495807108,0.0703125,after_step,0,6.6332495807108,0,2,tree
False,False,2,0.125,False,False,0.89453125,291.2146974312938,128,1,[2],False,0.15625,7.0710678118654755,0.15625,after_step,0,7.0710678118654755,0,2,tree
False,True,3,0.5,False,False,0.54296875,176.8502191121063,512,4,"[0, 1, 2, 3]",False,0.0859375,16.24807680927192,0.0859375,after_step,0,16.24807680927192,1,2,tree
False,False,4,0.125,False,False,0.875,285.0964748992874,128,1,[4],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,0,2,tree
False,False,5,0.25,False,False,0.740234375,241.70229622409465,256,2,"[4, 5]",False,0.09375,9.899494936611665,0.09375,after_step,0,9.899494936611665,0,2,tree
False,False,6,0.125,False,False,0.861328125,280.7810534918622,128,1,[6],False,0.109375,5.830951894845301,0.109375,after_step,0,5.830951894845301,0,2,tree
True,False,7,1.0,False,False,0.044921875,17.204650534085253,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.044921875,17.204650534085253,0.044921875,after_step,1,17.204650534085253,0,2,tree
