active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,283.85559709119707,128,1,[0],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,tree
False,False,1,0.125,False,False,0.884765625,287.7742170521883,128,1,[1],False,0.078125,4.47213595499958,0.078125,initial,0,4.47213595499958,0,-1,tree
False,False,2,0.125,False,False,0.884765625,288.17355881482257,128,1,[2],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,tree
False,False,3,0.125,False,False,0.890625,289.5824580322503,128,1,[3],False,0.125,6.48074069840786,0.125,initial,0,6.48074069840786,0,-1,tree
False,False,4,0.125,False,False,0.884765625,287.37780011684964,128,1,[4],False,0.140625,6.324555320336759,0.140625,initial,0,6.324555320336759,0,-1,tree
False,False,5,0.125,False,False,0.875,284.72091598616356,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,6,0.125,False,False,0.884765625,287.9166546068497,128,1,[6],False,0.078125,4.47213595499958,0.078125,initial,0,4.47213595499958,0,-1,tree
False,False,7,0.125,False,False,0.8671875,282.35792887751535,128,1,[7],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,True,0,0.125,False,False,0.875,283.85559709119707,128,1,[0],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,1,0,tree
True,False,1,0.25,False,False,0.759765625,246.3818175109519,256,2,"[0, 1]",False,0.0703125,6.48074069840786,0.0703125,after_step,1,6.48074069840786,0,0,tree
False,True,2,0.125,False,False,0.884765625,288.17355881482257,128,1,[2],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,1,0,tree
True,False,3,0.25,False,False,0.775390625,252.6420392571276,256,2,"[2, 3]",False,0.109375,10.198039027185569,0.109375,after_step,1,10.198039027185569,0,0,tree
False,True,4,0.125,False,False,0.884765625,287.37780011684964,128,1,[4],False,0.140625,6.324555320336759,0.140625,after_step,0,6.324555320336759,1,0,tree
True,False,5,0.25,False,False,0.759765625,247.02226620286683,256,2,"[4, 5]",False,0.0859375,7.3484692283495345,0.0859375,after_step,1,7.3484692283495345,0,0,tree
False,True,6,0.125,False,False,0.884765625,287.9166546068497,128,1,[6],False,0.078125,4.47213595499958,0.078125,after_step,0,4.47213595499958,1,0,tree
True,False,7,0.25,False,False,0.751953125,245.46690204587665,256,2,"[6, 7]",False,0.0390625,4.242640687119285,0.0390625,after_step,1,4.242640687119285,0,0,tree
False,False,0,0.125,False,False,0.875,283.85559709119707,128,1,[0],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,0,1,tree
False,True,1,0.25,False,False,0.759765625,246.3818175109519,256,2,"[0, 1]",False,0.0703125,6.48074069840786,0.0703125,after_step,0,6.48074069840786,1,1,tree
False,False,2,0.125,False,False,0.884765625,288.17355881482257,128,1,[2],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,0,1,tree
True,False,3,0.5,False,False,0.53515625,174.2354728521147,512,4,"[0, 1, 2, 3]",False,0.0703125,13.92838827718412,0.0703125,after_step,1,13.92838827718412,0,1,tree
False,False,4,0.125,False,False,0.884765625,287.37780011684964,128,1,[4],False,0.140625,6.324555320336759,0.140625,after_step,0,6.324555320336759,0,1,tree
False,True,5,0.25,False,False,0.759765625,247.02226620286683,256,2,"[4, 5]",False,0.0859375,7.3484692283495345,0.0859375,after_step,0,7.3484692283495345,1,1,tree
False,False,6,0.125,False,False,0.884765625,287.9166546068497,128,1,[6],False,0.078125,4.47213595499958,0.078125,after_step,0,4.47213595499958,0,1,tree
True,False,7,0.5,False,False,0.51171875,167.35590817177624,512,4,"[4, 5, 6, 7]",False,0.04296875,8.48528137423857,0.04296875,after_step,1,8.48528137423857,0,1,tree
False,False,0,0.125,False,False,0.875,283.85559709119707,128,1,[0],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,0,2,tree
False,False,1,0.25,False,False,0.759765625,246.3818175109519,256,2,"[0, 1]",False,0.0703125,6.48074069840786,0.0703125,after_step,0,6.48074069840786,0,2,tree
False,False,2,0.125,False,False,0.884765625,288.17355881482257,128,1,[2],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,0,2,tree
False,True,3,0.5,False,False,0.53515625,174.2354728521147,512,4,"[0, 1, 2, 3]",False,0.0703125,13.92838827718412,0.0703125,after_step,0,13.92838827718412,1,2,tree
False,False,4,0.125,False,False,0.884765625,287.37780011684964,128,1,[4],False,0.140625,6.324555320336759,0.140625,after_step,0,6.324555320336759,0,2,tree
False,False,5,0.25,False,False,0.759765625,247.02226620286683,256,2,"[4, 5]",False,0.0859375,7.3484692283495345,0.0859375,after_step,0,7.3484692283495345,0,2,tree
False,False,6,0.125,False,False,0.884765625,287.9166546068497,128,1,[6],False,0.078125,4.47213595499958,0.078125,after_step,0,4.47213595499958,0,2,tree
True,False,7,1.0,False,False,0.0546875,20.92844953645635,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0546875,20.92844953645635,0.0546875,after_step,1,20.92844953645635,0,2,tree
