active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,288.0902636327719,128,1,[0],False,0.078125,4.47213595499958,0.078125,initial,0,4.47213595499958,0,-1,mesh_star
False,False,1,0.125,False,False,0.875,284.76657107181666,128,1,[1],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,mesh_star
False,False,2,0.125,False,False,0.85546875,278.0107911574657,128,1,[2],False,0.15625,7.483314773547883,0.15625,initial,0,7.483314773547883,0,-1,mesh_star
False,False,3,0.125,False,False,0.865234375,281.3574239290657,128,1,[3],False,0.09375,5.656854249492381,0.09375,initial,0,5.656854249492381,0,-1,mesh_star
False,False,4,0.125,False,False,0.865234375,281.8155425096352,128,1,[4],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,mesh_star
False,False,5,0.125,False,False,0.865234375,282.21977251780214,128,1,[5],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,mesh_star
False,False,6,0.125,False,False,0.875,285.2402496142506,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,mesh_star
False,False,7,0.125,False,False,0.865234375,281.9077863415624,128,1,[7],False,0.078125,4.47213595499958,0.078125,initial,0,4.47213595499958,0,-1,mesh_star
True,True,0,1.0,False,False,0.884765625,288.0902636327719,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.884765625,288.0902636327719,0.884765625,after_step,7,288.0902636327719,7,0,mesh_star
True,True,1,1.0,False,False,0.875,284.76657107181666,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.875,284.76657107181666,0.875,after_step,7,284.76657107181666,7,0,mesh_star
True,True,2,1.0,False,False,0.85546875,278.0107911574657,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.85546875,278.0107911574657,0.85546875,after_step,7,278.0107911574657,7,0,mesh_star
True,True,3,1.0,False,False,0.865234375,281.3574239290657,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.3574239290657,0.865234375,after_step,7,281.3574239290657,7,0,mesh_star
True,True,4,1.0,False,False,0.865234375,281.8155425096352,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.8155425096352,0.865234375,after_step,7,281.8155425096352,7,0,mesh_star
True,True,5,1.0,False,False,0.865234375,281.9077863415624,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.9077863415624,0.865234375,after_step,7,281.9077863415624,7,0,mesh_star
True,True,6,1.0,False,False,0.875,285.2402496142506,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.875,285.2402496142506,0.875,after_step,7,285.2402496142506,7,0,mesh_star
True,True,7,1.0,False,False,0.865234375,281.9077863415624,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.9077863415624,0.865234375,after_step,7,281.9077863415624,7,0,mesh_star
False,True,0,1.0,False,False,0.884765625,288.0902636327719,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.884765625,288.0902636327719,0.884765625,after_step,0,288.0902636327719,1,1,mesh_star
False,True,1,1.0,False,False,0.875,284.76657107181666,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.875,284.76657107181666,0.875,after_step,0,284.76657107181666,1,1,mesh_star
False,True,2,1.0,False,False,0.85546875,278.0107911574657,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.85546875,278.0107911574657,0.85546875,after_step,0,278.0107911574657,1,1,mesh_star
False,True,3,1.0,False,False,0.865234375,281.3574239290657,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.3574239290657,0.865234375,after_step,0,281.3574239290657,1,1,mesh_star
False,True,4,1.0,False,False,0.865234375,281.8155425096352,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.8155425096352,0.865234375,after_step,0,281.8155425096352,1,1,mesh_star
False,True,5,1.0,False,False,0.865234375,281.9077863415624,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.9077863415624,0.865234375,after_step,0,281.9077863415624,1,1,mesh_star
False,True,6,1.0,False,False,0.875,285.2402496142506,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.875,285.2402496142506,0.875,after_step,0,285.2402496142506,1,1,mesh_star
True,False,7,1.0,False,False,0.865234375,281.9077863415624,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.865234375,281.9077863415624,0.865234375,after_step,7,281.9077863415624,0,1,mesh_star
