active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.85546875,278.6359632208305,128,1,[0],False,0.15625,8.48528137423857,0.15625,initial,0,8.48528137423857,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.875,284.7314524249121,128,1,[1],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.865234375,281.93261606277485,128,1,[2],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.869140625,282.7154046032865,128,1,[3],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.869140625,282.94169010592975,128,1,[4],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.884765625,287.9583303188154,128,1,[5],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.869140625,283.3231370714365,128,1,[6],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.875,284.62607048547045,128,1,[7],False,0.109375,7.874007874011811,0.109375,initial,0,7.874007874011811,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.73046875,237.90754506740637,256,2,"[0, 7]",False,0.109375,11.916375287812984,0.109375,after_step,1,11.916375287812984,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.73046875,237.9621818693046,256,2,"[0, 1]",False,0.0859375,8.366600265340756,0.0859375,after_step,1,8.366600265340756,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.740234375,241.3047865252573,256,2,"[1, 2]",False,0.0390625,4.47213595499958,0.0390625,after_step,1,4.47213595499958,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.734375,239.10667075596197,256,2,"[2, 3]",False,0.0625,6.324555320336759,0.0625,after_step,1,6.324555320336759,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.73828125,240.5909391477576,256,2,"[3, 4]",False,0.0546875,5.830951894845301,0.0546875,after_step,1,5.830951894845301,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.75390625,245.45468013464318,256,2,"[4, 5]",False,0.0546875,6.0,0.0546875,after_step,1,6.0,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.75390625,245.98780457575535,256,2,"[5, 6]",False,0.0390625,4.898979485566356,0.0390625,after_step,1,4.898979485566356,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.744140625,242.75913988972692,256,2,"[6, 7]",False,0.09375,10.099504938362077,0.09375,after_step,1,10.099504938362077,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.484375,159.10373974234545,512,4,"[0, 5, 6, 7]",False,0.06640625,13.416407864998739,0.06640625,after_step,1,13.416407864998739,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.474609375,155.60205654167942,512,4,"[0, 1, 6, 7]",False,0.07421875,14.7648230602334,0.07421875,after_step,1,14.7648230602334,1,1,one_peer_exponential_dag_star
