active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.8719010362377,128,1,[0],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,tree
False,False,1,0.125,False,False,0.875,284.45034716097643,128,1,[1],False,0.078125,5.656854249492381,0.078125,initial,0,5.656854249492381,0,-1,tree
False,False,2,0.125,False,False,0.880859375,286.40530721339644,128,1,[2],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.9340202199108,128,1,[3],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,tree
False,False,4,0.125,False,False,0.8984375,292.4209294835101,128,1,[4],False,0.1875,8.602325267042627,0.1875,initial,0,8.602325267042627,0,-1,tree
False,False,5,0.125,False,False,0.875,285.2823163114041,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,6,0.125,False,False,0.875,285.0789364369104,128,1,[6],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,7,0.125,False,False,0.875,284.98070110096927,128,1,[7],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,tree
False,True,0,0.125,False,False,0.875,284.8719010362377,128,1,[0],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,1,0,tree
True,False,1,0.25,False,False,0.75,244.17616591305548,256,2,"[0, 1]",False,0.0703125,8.48528137423857,0.0703125,after_step,1,8.48528137423857,0,0,tree
False,True,2,0.125,False,False,0.880859375,286.40530721339644,128,1,[2],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,tree
True,False,3,0.25,False,False,0.765625,249.0020080240318,256,2,"[2, 3]",False,0.0625,7.211102550927978,0.0625,after_step,1,7.211102550927978,0,0,tree
False,True,4,0.125,False,False,0.8984375,292.4209294835101,128,1,[4],False,0.1875,8.602325267042627,0.1875,after_step,0,8.602325267042627,1,0,tree
True,False,5,0.25,False,False,0.7734375,252.4915840181609,256,2,"[4, 5]",False,0.09375,8.717797887081348,0.09375,after_step,1,8.717797887081348,0,0,tree
False,True,6,0.125,False,False,0.875,285.0789364369104,128,1,[6],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,tree
True,False,7,0.25,False,False,0.75,244.72433471152803,256,2,"[6, 7]",False,0.078125,8.831760866327848,0.078125,after_step,1,8.831760866327848,0,0,tree
False,False,0,0.125,False,False,0.875,284.8719010362377,128,1,[0],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,0,1,tree
False,True,1,0.25,False,False,0.75,244.17616591305548,256,2,"[0, 1]",False,0.0703125,8.48528137423857,0.0703125,after_step,0,8.48528137423857,1,1,tree
False,False,2,0.125,False,False,0.880859375,286.40530721339644,128,1,[2],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,tree
True,False,3,0.5,False,False,0.515625,168.11900546934007,512,4,"[0, 1, 2, 3]",False,0.046875,9.797958971132712,0.046875,after_step,1,9.797958971132712,0,1,tree
False,False,4,0.125,False,False,0.8984375,292.4209294835101,128,1,[4],False,0.1875,8.602325267042627,0.1875,after_step,0,8.602325267042627,0,1,tree
False,True,5,0.25,False,False,0.7734375,252.4915840181609,256,2,"[4, 5]",False,0.09375,8.717797887081348,0.09375,after_step,0,8.717797887081348,1,1,tree
False,False,6,0.125,False,False,0.875,285.0789364369104,128,1,[6],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,tree
True,False,7,0.5,False,False,0.5234375,172.70784579746226,512,4,"[4, 5, 6, 7]",False,0.07421875,13.19090595827292,0.07421875,after_step,1,13.19090595827292,0,1,tree
False,False,0,0.125,False,False,0.875,284.8719010362377,128,1,[0],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,0,2,tree
False,False,1,0.25,False,False,0.75,244.17616591305548,256,2,"[0, 1]",False,0.0703125,8.48528137423857,0.0703125,after_step,0,8.48528137423857,0,2,tree
False,False,2,0.125,False,False,0.880859375,286.40530721339644,128,1,[2],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,2,tree
False,True,3,0.5,False,False,0.515625,168.11900546934007,512,4,"[0, 1, 2, 3]",False,0.046875,9.797958971132712,0.046875,after_step,0,9.797958971132712,1,2,tree
False,False,4,0.125,False,False,0.8984375,292.4209294835101,128,1,[4],False,0.1875,8.602325267042627,0.1875,after_step,0,8.602325267042627,0,2,tree
False,False,5,0.25,False,False,0.7734375,252.4915840181609,256,2,"[4, 5]",False,0.09375,8.717797887081348,0.09375,after_step,0,8.717797887081348,0,2,tree
False,False,6,0.125,False,False,0.875,285.0789364369104,128,1,[6],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,tree
True,False,7,1.0,False,False,0.060546875,22.181073012818835,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.060546875,22.181073012818835,0.060546875,after_step,1,22.181073012818835,0,2,tree
