active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.865234375,281.41428535168575,128,1,[0],False,0.109375,5.291502622129181,0.109375,initial,0,5.291502622129181,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.869140625,282.2906303794017,128,1,[1],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.8671875,281.9042390600042,128,1,[2],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.865234375,280.85227433652733,128,1,[3],False,0.109375,5.291502622129181,0.109375,initial,0,5.291502622129181,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.88671875,288.5619517538652,128,1,[4],False,0.09375,5.0990195135927845,0.09375,initial,0,5.0990195135927845,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.89453125,290.6750763309438,128,1,[5],False,0.15625,7.0710678118654755,0.15625,initial,0,7.0710678118654755,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.875,284.6014757516201,128,1,[6],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.884765625,287.4439075715469,128,1,[7],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.75,244.01639289195305,256,2,"[0, 7]",False,0.046875,6.0,0.046875,after_step,1,6.0,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.734375,238.85979150957994,256,2,"[0, 1]",False,0.078125,7.483314773547883,0.078125,after_step,1,7.483314773547883,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.736328125,239.22792479140057,256,2,"[1, 2]",False,0.0546875,5.830951894845301,0.0546875,after_step,1,5.830951894845301,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.732421875,238.0126047082381,256,2,"[2, 3]",False,0.0859375,8.0,0.0859375,after_step,1,8.0,1,0,one_peer_exponential_dag_star
