active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,283.91900253417344,128,1,[0],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.859375,279.6676599108306,128,1,[1],False,0.140625,6.6332495807108,0.140625,initial,0,6.6332495807108,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.884765625,287.9548575731967,128,1,[2],False,0.125,5.477225575051661,0.125,initial,0,5.477225575051661,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.89453125,290.83328557783756,128,1,[3],False,0.15625,8.831760866327848,0.15625,initial,0,8.831760866327848,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.884765625,287.4056366879397,128,1,[4],False,0.109375,5.0990195135927845,0.109375,initial,0,5.0990195135927845,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.865234375,281.62741343839383,128,1,[5],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.865234375,281.7339170210076,128,1,[6],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.865234375,281.71261952564356,128,1,[7],False,0.09375,4.0,0.09375,initial,0,4.0,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.740234375,240.63249988312052,256,2,"[0, 7]",False,0.0546875,5.830951894845301,0.0546875,after_step,1,5.830951894845301,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.734375,238.36946113124475,256,2,"[0, 1]",False,0.078125,6.6332495807108,0.078125,after_step,1,6.6332495807108,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.744140625,242.47061677654884,256,2,"[1, 2]",False,0.0703125,6.6332495807108,0.0703125,after_step,1,6.6332495807108,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.779296875,253.70061095708854,256,2,"[2, 3]",False,0.125,11.224972160321824,0.125,after_step,1,11.224972160321824,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.779296875,253.18767742526492,256,2,"[3, 4]",False,0.1328125,12.884098726725126,0.1328125,after_step,1,12.884098726725126,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.75,243.90161951081834,256,2,"[4, 5]",False,0.0546875,5.291502622129181,0.0546875,after_step,1,5.291502622129181,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.73046875,238.41979783566632,256,2,"[5, 6]",False,0.078125,6.782329983125268,0.078125,after_step,1,6.782329983125268,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.73046875,238.7132170618125,256,2,"[6, 7]",False,0.078125,7.615773105863909,0.078125,after_step,1,7.615773105863909,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.470703125,154.68678030135607,512,4,"[0, 5, 6, 7]",False,0.05859375,11.224972160321824,0.05859375,after_step,1,11.224972160321824,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.46484375,152.09207737420118,512,4,"[0, 1, 6, 7]",False,0.07421875,13.341664064126334,0.07421875,after_step,1,13.341664064126334,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.6455078125,215.37641467904513,512,4,"[0, 1, 2, 7]",False,0.330078125,64.36614016701638,0.330078125,after_step,1,64.36614016701638,1,1,one_peer_exponential_dag_star
True,True,3,0.5,False,False,0.513671875,167.48134224444226,512,4,"[0, 1, 2, 3]",False,0.046875,9.16515138991168,0.046875,after_step,1,9.16515138991168,1,1,one_peer_exponential_dag_star
True,True,4,0.5,False,False,0.5595703125,184.40986958403283,512,4,"[1, 2, 3, 4]",False,0.130859375,42.391036788453285,0.130859375,after_step,1,42.391036788453285,1,1,one_peer_exponential_dag_star
True,True,5,0.5,False,False,0.529296875,172.99710980244728,512,4,"[2, 3, 4, 5]",False,0.078125,14.071247279470288,0.078125,after_step,1,14.071247279470288,1,1,one_peer_exponential_dag_star
True,True,6,0.5,False,False,0.509765625,166.15053415502462,512,4,"[3, 4, 5, 6]",False,0.0546875,10.392304845413264,0.0546875,after_step,1,10.392304845413264,1,1,one_peer_exponential_dag_star
True,True,7,0.5,False,False,0.48046875,157.30861387730806,512,4,"[4, 5, 6, 7]",False,0.04296875,9.055385138137417,0.04296875,after_step,1,9.055385138137417,1,1,one_peer_exponential_dag_star
True,True,0,1.0,False,False,0.0712890625,41.41255848169731,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0712890625,41.41255848169731,0.0712890625,after_step,1,41.41255848169731,1,2,one_peer_exponential_dag_star
True,True,1,1.0,False,False,0.03515625,14.071247279470288,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.03515625,14.071247279470288,0.03515625,after_step,1,14.071247279470288,1,2,one_peer_exponential_dag_star
True,True,2,1.0,False,False,0.1787109375,68.69497798238238,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1787109375,68.69497798238238,0.1787109375,after_step,1,68.69497798238238,1,2,one_peer_exponential_dag_star
True,True,3,1.0,False,False,0.03515625,14.071247279470288,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.03515625,14.071247279470288,0.03515625,after_step,1,14.071247279470288,1,2,one_peer_exponential_dag_star
True,True,4,1.0,False,False,0.1875,99.11609354691093,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1875,99.11609354691093,0.1875,after_step,1,99.11609354691093,1,2,one_peer_exponential_dag_star
True,True,5,1.0,False,False,0.4853515625,159.31415505221122,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.4853515625,159.31415505221122,0.4853515625,after_step,1,159.31415505221122,1,2,one_peer_exponential_dag_star
True,True,6,1.0,False,False,0.1787109375,68.69497798238238,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1787109375,68.69497798238238,0.1787109375,after_step,1,68.69497798238238,1,2,one_peer_exponential_dag_star
True,True,7,1.0,False,False,0.03515625,14.071247279470288,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.03515625,14.071247279470288,0.03515625,after_step,1,14.071247279470288,1,2,one_peer_exponential_dag_star
