active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8798828125,286.1136137970369,128,1,[0],False,0.0859375,4.123105625617661,0.0859375,initial,0,4.123105625617661,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.8798828125,285.8548582760139,128,1,[1],False,0.0546875,3.0,0.0546875,initial,0,3.0,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,True,False,0.875,284.4433159699837,128,1,[2],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,True,False,0.875,284.13729075923845,128,1,[3],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,True,False,0.875,284.74901228977075,128,1,[4],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.8828125,286.83096067196095,128,1,[5],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.875,284.40112517358295,128,1,[6],False,0.15625,7.874007874011811,0.15625,initial,0,7.874007874011811,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,True,False,0.875,284.3132075722125,128,1,[7],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.7548828125,245.56669155241718,256,2,"[0, 7]",False,0.04296875,4.123105625617661,0.04296875,after_step,1,4.123105625617661,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.759765625,247.135590314305,256,2,"[0, 1]",False,0.0546875,5.656854249492381,0.0546875,after_step,1,5.656854249492381,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.7548828125,245.3222370679022,256,2,"[1, 2]",False,0.02734375,3.0,0.02734375,after_step,1,3.0,1,0,one_peer_exponential_dag_star
True,True,3,0.25,True,False,0.75,243.76628150751284,256,2,"[2, 3]",True,0.0,0.0,0.0,after_step,1,0.0,1,0,one_peer_exponential_dag_star
True,True,4,0.25,True,False,0.75,244.06146766747102,256,2,"[3, 4]",True,0.0,0.0,0.0,after_step,1,0.0,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.7578125,246.71440979399642,256,2,"[4, 5]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.7578125,246.38587621858522,256,2,"[5, 6]",False,0.1015625,9.899494936611665,0.1015625,after_step,1,9.899494936611665,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.75,243.80319932273244,256,2,"[6, 7]",False,0.078125,7.874007874011811,0.078125,after_step,1,7.874007874011811,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.5126953125,167.17356250316615,512,4,"[0, 5, 6, 7]",False,0.064453125,12.68857754044952,0.064453125,after_step,1,12.68857754044952,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.509765625,166.40312497065673,512,4,"[0, 1, 6, 7]",False,0.05859375,11.135528725660043,0.05859375,after_step,1,11.135528725660043,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.509765625,166.34903065542642,512,4,"[0, 1, 2, 7]",False,0.02734375,5.656854249492381,0.02734375,after_step,1,5.656854249492381,1,1,one_peer_exponential_dag_star
