active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,True,False,0.875,283.8520741513086,128,1,[0],True,0.0,0.0,0.0,initial,0,0.0,0,-1,mesh_star
False,False,1,0.125,True,False,0.875,284.70686679460334,128,1,[1],True,0.0,0.0,0.0,initial,0,0.0,0,-1,mesh_star
False,False,2,0.125,False,False,0.8828125,287.55521208978286,128,1,[2],False,0.109375,5.0990195135927845,0.109375,initial,0,5.0990195135927845,0,-1,mesh_star
False,False,3,0.125,False,False,0.8935546875,290.5563628626983,128,1,[3],False,0.1484375,6.557438524302,0.1484375,initial,0,6.557438524302,0,-1,mesh_star
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.109375,6.324555320336759,0.109375,initial,0,6.324555320336759,0,-1,mesh_star
False,False,5,0.125,False,False,0.884765625,288.0902636327719,128,1,[5],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,mesh_star
False,False,6,0.125,False,False,0.884765625,288.1423259432741,128,1,[6],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,mesh_star
False,False,7,0.125,False,False,0.8896484375,289.63597842809514,128,1,[7],False,0.1171875,5.0,0.1171875,initial,0,5.0,0,-1,mesh_star
True,True,0,1.0,False,False,0.09765625,34.92849839314596,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.09765625,34.92849839314596,0.09765625,after_step,7,34.92849839314596,7,0,mesh_star
True,True,1,1.0,False,False,0.08984375,37.78888725538237,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08984375,37.78888725538237,0.08984375,after_step,7,37.78888725538237,7,0,mesh_star
True,True,2,1.0,False,False,0.1015625,47.265209192385896,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1015625,47.265209192385896,0.1015625,after_step,7,47.265209192385896,7,0,mesh_star
True,True,3,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,7,23.323807579381203,7,0,mesh_star
True,True,4,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,7,23.323807579381203,7,0,mesh_star
True,True,5,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,7,23.323807579381203,7,0,mesh_star
True,True,6,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,7,23.323807579381203,7,0,mesh_star
True,True,7,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,7,23.323807579381203,7,0,mesh_star
False,True,0,1.0,False,False,0.09765625,34.92849839314596,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.09765625,34.92849839314596,0.09765625,after_step,0,34.92849839314596,1,1,mesh_star
False,True,1,1.0,False,False,0.08984375,37.78888725538237,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08984375,37.78888725538237,0.08984375,after_step,0,37.78888725538237,1,1,mesh_star
False,True,2,1.0,False,False,0.1015625,47.265209192385896,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1015625,47.265209192385896,0.1015625,after_step,0,47.265209192385896,1,1,mesh_star
False,True,3,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,0,23.323807579381203,1,1,mesh_star
False,True,4,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,0,23.323807579381203,1,1,mesh_star
False,True,5,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,0,23.323807579381203,1,1,mesh_star
False,True,6,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,0,23.323807579381203,1,1,mesh_star
True,False,7,1.0,False,False,0.064453125,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,23.323807579381203,0.064453125,after_step,7,23.323807579381203,0,1,mesh_star
