active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8828125,287.02264719007803,128,1,[0],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,mesh_star
False,False,1,0.125,False,False,0.8798828125,285.8548582760139,128,1,[1],False,0.0546875,3.0,0.0546875,initial,0,3.0,0,-1,mesh_star
False,False,2,0.125,False,False,0.875,284.4679243781274,128,1,[2],False,0.015625,1.4142135623730951,0.015625,initial,0,1.4142135623730951,0,-1,mesh_star
False,False,3,0.125,True,False,0.875,284.13729075923845,128,1,[3],True,0.0,0.0,0.0,initial,0,0.0,0,-1,mesh_star
False,False,4,0.125,False,False,0.884765625,287.96527568441303,128,1,[4],False,0.109375,5.0990195135927845,0.109375,initial,0,5.0990195135927845,0,-1,mesh_star
False,False,5,0.125,False,False,0.8828125,286.83096067196095,128,1,[5],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,mesh_star
False,False,6,0.125,False,False,0.87109375,283.2560678961706,128,1,[6],False,0.125,7.211102550927978,0.125,initial,0,7.211102550927978,0,-1,mesh_star
False,False,7,0.125,False,False,0.884765625,287.66299727285053,128,1,[7],False,0.125,5.830951894845301,0.125,initial,0,5.830951894845301,0,-1,mesh_star
True,True,0,1.0,False,False,0.11328125,54.954526656136345,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.11328125,54.954526656136345,0.11328125,after_step,7,54.954526656136345,7,0,mesh_star
True,True,1,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
True,True,2,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
True,True,3,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
True,True,4,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
True,True,5,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
True,True,6,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
True,True,7,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,7,0,mesh_star
False,True,0,1.0,False,False,0.11328125,54.954526656136345,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.11328125,54.954526656136345,0.11328125,after_step,0,54.954526656136345,1,1,mesh_star
False,True,1,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,0,21.142374511865974,1,1,mesh_star
False,True,2,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,0,21.142374511865974,1,1,mesh_star
False,True,3,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,0,21.142374511865974,1,1,mesh_star
False,True,4,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,0,21.142374511865974,1,1,mesh_star
False,True,5,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,0,21.142374511865974,1,1,mesh_star
False,True,6,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,0,21.142374511865974,1,1,mesh_star
True,False,7,1.0,False,False,0.0615234375,21.142374511865974,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0615234375,21.142374511865974,0.0615234375,after_step,7,21.142374511865974,0,1,mesh_star
