active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,True,False,0.875,284.94209938161123,128,1,[0],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.884765625,287.8402334629403,128,1,[1],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.884765625,287.67342595380615,128,1,[2],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.884765625,287.83328508009635,128,1,[3],False,0.109375,5.291502622129181,0.109375,initial,0,5.291502622129181,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,True,False,0.875,284.9245514166864,128,1,[4],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.875,285.0578888576845,128,1,[5],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.875,285.082444215704,128,1,[6],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.888671875,289.2230972795914,128,1,[7],False,0.125,5.830951894845301,0.125,initial,0,5.830951894845301,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.763671875,248.81720197767677,256,2,"[0, 7]",False,0.0625,5.830951894845301,0.0625,after_step,1,5.830951894845301,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.759765625,247.70547026660515,256,2,"[0, 1]",False,0.0390625,3.7416573867739413,0.0390625,after_step,1,3.7416573867739413,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.76953125,250.21191018814432,256,2,"[1, 2]",False,0.078125,6.928203230275509,0.078125,after_step,1,6.928203230275509,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.76953125,250.19992006393608,256,2,"[2, 3]",False,0.0859375,7.874007874011811,0.0859375,after_step,1,7.874007874011811,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.759765625,247.27717241993852,256,2,"[3, 4]",False,0.0546875,5.291502622129181,0.0546875,after_step,1,5.291502622129181,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.75,244.74885086553522,256,2,"[4, 5]",False,0.03125,4.0,0.03125,after_step,1,4.0,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.75,244.98571386919687,256,2,"[5, 6]",False,0.0625,5.830951894845301,0.0625,after_step,1,5.830951894845301,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.763671875,249.07027120874943,256,2,"[6, 7]",False,0.078125,7.615773105863909,0.078125,after_step,1,7.615773105863909,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.513671875,167.594749321093,512,4,"[0, 5, 6, 7]",False,0.046875,8.94427190999916,0.046875,after_step,1,8.94427190999916,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.5234375,170.63997187060247,512,4,"[0, 1, 6, 7]",False,0.0546875,10.392304845413264,0.0546875,after_step,1,10.392304845413264,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.533203125,174.6539435569664,512,4,"[0, 1, 2, 7]",False,0.06640625,11.832159566199232,0.06640625,after_step,1,11.832159566199232,1,1,one_peer_exponential_dag_star
True,True,3,0.5,False,False,0.529296875,173.1415605797753,512,4,"[0, 1, 2, 3]",False,0.0625,11.135528725660043,0.0625,after_step,1,11.135528725660043,1,1,one_peer_exponential_dag_star
True,True,4,0.5,False,False,0.529296875,172.01162751395617,512,4,"[1, 2, 3, 4]",False,0.0625,11.135528725660043,0.0625,after_step,1,11.135528725660043,1,1,one_peer_exponential_dag_star
True,True,5,0.5,False,False,0.51953125,169.20401886480118,512,4,"[2, 3, 4, 5]",False,0.0546875,9.695359714832659,0.0546875,after_step,1,9.695359714832659,1,1,one_peer_exponential_dag_star
