active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,True,False,0.875,283.8520741513086,128,1,[0],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.8857421875,288.22734082664675,128,1,[1],False,0.1171875,5.196152422706632,0.1171875,initial,0,5.196152422706632,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.884765625,288.1284435802894,128,1,[2],False,0.125,6.0,0.125,initial,0,6.0,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.875,284.5487655921213,128,1,[3],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.875,284.2815505797026,128,1,[4],False,0.125,8.12403840463596,0.125,initial,0,8.12403840463596,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.875,284.791151547937,128,1,[5],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.125,8.717797887081348,0.125,initial,0,8.717797887081348,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,True,False,0.875,284.93157073234266,128,1,[7],True,0.0,0.0,0.0,initial,0,0.0,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,True,False,0.75,243.70473938764508,256,2,"[0, 7]",True,0.0,0.0,0.0,after_step,1,0.0,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.7607421875,246.81774652564997,256,2,"[0, 1]",False,0.05859375,5.196152422706632,0.05859375,after_step,1,5.196152422706632,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.7705078125,251.18320007516425,256,2,"[1, 2]",False,0.11328125,10.63014581273465,0.11328125,after_step,1,10.63014581273465,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.759765625,247.53989577439836,256,2,"[2, 3]",False,0.0625,6.0,0.0625,after_step,1,6.0,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.75,243.85241438214223,256,2,"[3, 4]",False,0.0625,7.874007874011811,0.0625,after_step,1,7.874007874011811,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.078125,10.198039027185569,0.078125,after_step,1,10.198039027185569,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.75,245.2223480843457,256,2,"[5, 6]",False,0.078125,10.862780491200215,0.078125,after_step,1,10.862780491200215,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.75,245.32835139869178,256,2,"[6, 7]",False,0.0625,8.717797887081348,0.0625,after_step,1,8.717797887081348,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.5,165.0272704737008,512,4,"[0, 5, 6, 7]",False,0.0390625,10.862780491200215,0.0390625,after_step,1,10.862780491200215,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.5107421875,167.10774967068403,512,4,"[0, 1, 6, 7]",False,0.060546875,12.12435565298214,0.060546875,after_step,1,12.12435565298214,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.5205078125,169.52580924449234,512,4,"[0, 1, 2, 7]",False,0.056640625,10.63014581273465,0.056640625,after_step,1,10.63014581273465,1,1,one_peer_exponential_dag_star
True,True,3,0.5,False,False,0.5205078125,169.22470268846686,512,4,"[0, 1, 2, 3]",False,0.056640625,10.535653752852738,0.056640625,after_step,1,10.535653752852738,1,1,one_peer_exponential_dag_star
True,True,4,0.5,False,False,0.5205078125,169.97941051786242,512,4,"[1, 2, 3, 4]",False,0.087890625,17.11724276862369,0.087890625,after_step,1,17.11724276862369,1,1,one_peer_exponential_dag_star
True,True,5,0.5,False,False,0.509765625,167.2662548154887,512,4,"[2, 3, 4, 5]",False,0.06640625,15.297058540778355,0.06640625,after_step,1,15.297058540778355,1,1,one_peer_exponential_dag_star
True,True,6,0.5,False,False,0.5,165.19685227025363,512,4,"[3, 4, 5, 6]",False,0.0703125,18.547236990991408,0.0703125,after_step,1,18.547236990991408,1,1,one_peer_exponential_dag_star
True,True,7,0.5,False,False,0.5,165.6381598545456,512,4,"[4, 5, 6, 7]",False,0.0703125,18.601075237738275,0.0703125,after_step,1,18.601075237738275,1,1,one_peer_exponential_dag_star
True,True,0,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,1,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,2,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,3,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,4,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,5,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,6,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
True,True,7,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,1,26.962937525425527,1,2,one_peer_exponential_dag_star
False,True,0,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
False,True,1,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
False,True,2,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
False,True,3,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
False,True,4,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
False,True,5,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
False,True,6,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,0,26.962937525425527,1,3,one_peer_exponential_dag_star
True,False,7,1.0,False,False,0.0634765625,26.962937525425527,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0634765625,26.962937525425527,0.0634765625,after_step,7,26.962937525425527,0,3,one_peer_exponential_dag_star
