active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.8473275282743,128,1,[0],False,0.09375,5.0990195135927845,0.09375,initial,0,5.0990195135927845,0,-1,tree
False,False,1,0.125,True,False,0.875,284.73496448451846,128,1,[1],True,0.0,0.0,0.0,initial,0,0.0,0,-1,tree
False,False,2,0.125,False,False,0.884765625,288.4475688925112,128,1,[2],False,0.078125,5.656854249492381,0.078125,initial,0,5.656854249492381,0,-1,tree
False,False,3,0.125,False,False,0.880859375,286.3948323556136,128,1,[3],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,tree
False,False,4,0.125,False,False,0.875,284.59093450073215,128,1,[4],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,tree
False,False,5,0.125,True,False,0.875,284.8964724246336,128,1,[5],True,0.0,0.0,0.0,initial,0,0.0,0,-1,tree
False,False,6,0.125,False,False,0.8837890625,287.85934065095057,128,1,[6],False,0.0859375,3.872983346207417,0.0859375,initial,0,3.872983346207417,0,-1,tree
False,False,7,0.125,False,False,0.875,284.2428539119322,128,1,[7],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,True,0,0.125,False,False,0.875,284.8473275282743,128,1,[0],False,0.09375,5.0990195135927845,0.09375,after_step,0,5.0990195135927845,1,0,tree
True,False,1,0.25,False,False,0.75,244.13930449642885,256,2,"[0, 1]",False,0.046875,5.0990195135927845,0.046875,after_step,1,5.0990195135927845,0,0,tree
False,True,2,0.125,False,False,0.884765625,288.4475688925112,128,1,[2],False,0.078125,5.656854249492381,0.078125,after_step,0,5.656854249492381,1,0,tree
True,False,3,0.25,False,False,0.765625,249.367199126108,256,2,"[2, 3]",False,0.0703125,7.615773105863909,0.0703125,after_step,1,7.615773105863909,0,0,tree
False,True,4,0.125,False,False,0.875,284.59093450073215,128,1,[4],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,1,0,tree
True,False,5,0.25,False,False,0.75,244.0819534500656,256,2,"[4, 5]",False,0.0390625,4.69041575982343,0.0390625,after_step,1,4.69041575982343,0,0,tree
False,True,6,0.125,False,False,0.8837890625,287.85934065095057,128,1,[6],False,0.0859375,3.872983346207417,0.0859375,after_step,0,3.872983346207417,1,0,tree
True,False,7,0.25,False,False,0.7587890625,246.72859582950656,256,2,"[6, 7]",False,0.05859375,5.744562646538029,0.05859375,after_step,1,5.744562646538029,0,0,tree
False,False,0,0.125,False,False,0.875,284.8473275282743,128,1,[0],False,0.09375,5.0990195135927845,0.09375,after_step,0,5.0990195135927845,0,1,tree
False,True,1,0.25,False,False,0.75,244.13930449642885,256,2,"[0, 1]",False,0.046875,5.0990195135927845,0.046875,after_step,0,5.0990195135927845,1,1,tree
False,False,2,0.125,False,False,0.884765625,288.4475688925112,128,1,[2],False,0.078125,5.656854249492381,0.078125,after_step,0,5.656854249492381,0,1,tree
True,False,3,0.5,False,False,0.515625,168.14874367654372,512,4,"[0, 1, 2, 3]",False,0.046875,8.366600265340756,0.046875,after_step,1,8.366600265340756,0,1,tree
False,False,4,0.125,False,False,0.875,284.59093450073215,128,1,[4],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,0,1,tree
False,True,5,0.25,False,False,0.75,244.0819534500656,256,2,"[4, 5]",False,0.0390625,4.69041575982343,0.0390625,after_step,0,4.69041575982343,1,1,tree
False,False,6,0.125,False,False,0.8837890625,287.85934065095057,128,1,[6],False,0.0859375,3.872983346207417,0.0859375,after_step,0,3.872983346207417,0,1,tree
True,False,7,0.5,False,False,0.5087890625,165.61702811003462,512,4,"[4, 5, 6, 7]",False,0.044921875,9.327379053088816,0.044921875,after_step,1,9.327379053088816,0,1,tree
False,False,0,0.125,False,False,0.875,284.8473275282743,128,1,[0],False,0.09375,5.0990195135927845,0.09375,after_step,0,5.0990195135927845,0,2,tree
False,False,1,0.25,False,False,0.75,244.13930449642885,256,2,"[0, 1]",False,0.046875,5.0990195135927845,0.046875,after_step,0,5.0990195135927845,0,2,tree
False,False,2,0.125,False,False,0.884765625,288.4475688925112,128,1,[2],False,0.078125,5.656854249492381,0.078125,after_step,0,5.656854249492381,0,2,tree
False,True,3,0.5,False,False,0.515625,168.14874367654372,512,4,"[0, 1, 2, 3]",False,0.046875,8.366600265340756,0.046875,after_step,0,8.366600265340756,1,2,tree
False,False,4,0.125,False,False,0.875,284.59093450073215,128,1,[4],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,0,2,tree
False,False,5,0.25,False,False,0.75,244.0819534500656,256,2,"[4, 5]",False,0.0390625,4.69041575982343,0.0390625,after_step,0,4.69041575982343,0,2,tree
False,False,6,0.125,False,False,0.8837890625,287.85934065095057,128,1,[6],False,0.0859375,3.872983346207417,0.0859375,after_step,0,3.872983346207417,0,2,tree
True,False,7,1.0,False,False,0.0400390625,14.594519519326424,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0400390625,14.594519519326424,0.0400390625,after_step,1,14.594519519326424,0,2,tree
