active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,initial,0,8.0,0,-1,generated:binary_tree_merge
False,False,1,0.125,False,False,0.880859375,286.55191501715706,128,1,[1],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:binary_tree_merge
False,False,2,0.125,False,False,0.875,284.829773724588,128,1,[2],False,0.109375,5.477225575051661,0.109375,initial,0,5.477225575051661,0,-1,generated:binary_tree_merge
False,False,3,0.125,False,False,0.875,284.60498941515414,128,1,[3],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:binary_tree_merge
False,False,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,generated:binary_tree_merge
False,False,5,0.125,False,False,0.875,284.93157073234266,128,1,[5],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:binary_tree_merge
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,initial,0,5.0990195135927845,0,-1,generated:binary_tree_merge
False,False,7,0.125,False,False,0.875,284.94560884491625,128,1,[7],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:binary_tree_merge
False,True,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,after_step,0,8.0,1,0,generated:binary_tree_merge
False,True,1,0.125,False,False,0.880859375,286.55191501715706,128,1,[1],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,generated:binary_tree_merge
True,False,2,0.375,False,False,0.630859375,204.70466531078378,384,3,"[0, 1, 2]",False,0.078125,13.2664991614216,0.078125,after_step,2,13.2664991614216,0,0,generated:binary_tree_merge
False,True,3,0.125,False,False,0.875,284.60498941515414,128,1,[3],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,generated:binary_tree_merge
False,True,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,generated:binary_tree_merge
True,False,5,0.375,False,False,0.625,203.80382724571194,384,3,"[3, 4, 5]",False,0.036458333333333336,5.477225575051661,0.036458333333333336,after_step,2,5.477225575051661,0,0,generated:binary_tree_merge
False,True,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,after_step,0,5.0990195135927845,1,0,generated:binary_tree_merge
True,False,7,0.25,False,False,0.75,245.21419208520538,256,2,"[6, 7]",False,0.046875,4.69041575982343,0.046875,after_step,1,4.69041575982343,0,0,generated:binary_tree_merge
False,False,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,after_step,0,8.0,0,1,generated:binary_tree_merge
False,False,1,0.125,False,False,0.880859375,286.55191501715706,128,1,[1],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,generated:binary_tree_merge
False,True,2,0.375,False,False,0.630859375,204.70466531078378,384,3,"[0, 1, 2]",False,0.078125,13.2664991614216,0.078125,after_step,0,13.2664991614216,1,1,generated:binary_tree_merge
False,False,3,0.125,False,False,0.875,284.60498941515414,128,1,[3],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,generated:binary_tree_merge
False,False,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,generated:binary_tree_merge
False,True,5,0.375,False,False,0.625,203.80382724571194,384,3,"[3, 4, 5]",False,0.036458333333333336,5.477225575051661,0.036458333333333336,after_step,0,5.477225575051661,1,1,generated:binary_tree_merge
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,after_step,0,5.0990195135927845,0,1,generated:binary_tree_merge
True,False,7,1.0,False,False,0.041015625,20.688160865577203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.041015625,20.688160865577203,0.041015625,after_step,2,20.688160865577203,0,1,generated:binary_tree_merge
False,False,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,after_step,0,8.0,0,2,generated:binary_tree_merge
False,False,1,0.125,False,False,0.880859375,286.55191501715706,128,1,[1],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,2,generated:binary_tree_merge
False,False,2,0.375,False,False,0.630859375,204.70466531078378,384,3,"[0, 1, 2]",False,0.078125,13.2664991614216,0.078125,after_step,0,13.2664991614216,0,2,generated:binary_tree_merge
False,False,3,0.125,False,False,0.875,284.60498941515414,128,1,[3],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,2,generated:binary_tree_merge
False,False,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,generated:binary_tree_merge
False,False,5,0.375,False,False,0.625,203.80382724571194,384,3,"[3, 4, 5]",False,0.036458333333333336,5.477225575051661,0.036458333333333336,after_step,0,5.477225575051661,0,2,generated:binary_tree_merge
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,after_step,0,5.0990195135927845,0,2,generated:binary_tree_merge
False,False,7,1.0,False,False,0.041015625,20.688160865577203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.041015625,20.688160865577203,0.041015625,after_step,0,20.688160865577203,0,2,generated:binary_tree_merge
