active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,285.24726116125987,128,1,[0],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,generated:sparse_peer_exchange
False,False,1,0.125,False,False,0.875,284.5733648815363,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:sparse_peer_exchange
False,False,2,0.125,False,False,0.875,284.91402211895434,128,1,[2],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:sparse_peer_exchange
False,False,3,0.125,False,False,0.875,284.48901560517237,128,1,[3],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:sparse_peer_exchange
False,False,4,0.125,False,False,0.875,284.7314524249121,128,1,[4],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:sparse_peer_exchange
False,False,5,0.125,False,False,0.875,284.91753192810023,128,1,[5],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,generated:sparse_peer_exchange
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:sparse_peer_exchange
False,False,7,0.125,False,False,0.875,284.2111890830479,128,1,[7],False,0.0625,4.47213595499958,0.0625,initial,0,4.47213595499958,0,-1,generated:sparse_peer_exchange
False,True,0,0.125,False,False,0.875,285.24726116125987,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,1,0,generated:sparse_peer_exchange
True,False,1,0.25,False,False,0.75,244.43813123160632,256,2,"[0, 1]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,0,0,generated:sparse_peer_exchange
False,True,2,0.125,False,False,0.875,284.91402211895434,128,1,[2],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,generated:sparse_peer_exchange
True,False,3,0.25,False,False,0.75,243.97540859685017,256,2,"[2, 3]",False,0.03125,3.1622776601683795,0.03125,after_step,1,3.1622776601683795,0,0,generated:sparse_peer_exchange
False,True,4,0.125,False,False,0.875,284.7314524249121,128,1,[4],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,generated:sparse_peer_exchange
True,False,5,0.25,False,False,0.75,244.25396619093004,256,2,"[4, 5]",False,0.0234375,2.8284271247461903,0.0234375,after_step,1,2.8284271247461903,0,0,generated:sparse_peer_exchange
False,True,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,generated:sparse_peer_exchange
True,False,7,0.25,False,False,0.75,243.79499584692053,256,2,"[6, 7]",False,0.0546875,6.324555320336759,0.0546875,after_step,1,6.324555320336759,0,0,generated:sparse_peer_exchange
False,False,0,0.125,False,False,0.875,285.24726116125987,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,0,1,generated:sparse_peer_exchange
False,True,1,0.25,False,False,0.75,244.43813123160632,256,2,"[0, 1]",False,0.046875,4.898979485566356,0.046875,after_step,0,4.898979485566356,1,1,generated:sparse_peer_exchange
False,False,2,0.125,False,False,0.875,284.91402211895434,128,1,[2],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,generated:sparse_peer_exchange
True,False,3,0.5,False,False,0.5,162.9723902997069,512,4,"[0, 1, 2, 3]",False,0.02734375,5.0990195135927845,0.02734375,after_step,1,5.0990195135927845,0,1,generated:sparse_peer_exchange
False,False,4,0.125,False,False,0.875,284.7314524249121,128,1,[4],False,0.03125,2.0,0.03125,after_step,0,2.0,0,1,generated:sparse_peer_exchange
False,True,5,0.25,False,False,0.75,244.25396619093004,256,2,"[4, 5]",False,0.0234375,2.8284271247461903,0.0234375,after_step,0,2.8284271247461903,1,1,generated:sparse_peer_exchange
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,generated:sparse_peer_exchange
True,False,7,0.5,False,False,0.5,162.6530048907797,512,4,"[4, 5, 6, 7]",False,0.03515625,7.3484692283495345,0.03515625,after_step,1,7.3484692283495345,0,1,generated:sparse_peer_exchange
False,False,0,0.125,False,False,0.875,285.24726116125987,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,0,2,generated:sparse_peer_exchange
False,False,1,0.25,False,False,0.75,244.43813123160632,256,2,"[0, 1]",False,0.046875,4.898979485566356,0.046875,after_step,0,4.898979485566356,0,2,generated:sparse_peer_exchange
