Agents,AggregationMethod,AnswerAgentIds,ArraySize,AverageIncludedAgents,AverageNormalizedL1Error,AverageRMSE,FinalExactMatch,FinalKey,FinalNormalizedL1Error,FinalRMSE,InitMode,MergeMode,Seed,SelectedPrimary,Task,Topology,TotalCompletionTokens,TotalDeterministicFallbacks,TotalMessages,TotalModelCalls,TotalPromptTokens,TotalRetryAttempts,TotalSteps,ValueMax,ValueMin,VoteAverageDisagreementRMSE,VoteNormalizedL1Error,VoteRMSE,VoteTopRatio,graph_candidate_score_mode,graph_search_mode,job_id,num_graph_candidates,objective,phase,planner_mode,planner_policy,requested_topology
8,vote,[7],1024,8,0.025390625,12.083045973594572,False,"FREQ_JSON:{""0"":95,""1"":118,""2"":99,""3"":101,""4"":100,""5"":103,""6"":77,""7"":103,""8"":105,""9"":123}",0.025390625,12.083045973594572,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,mesh_star,5421,0,63,17,30296,0,2,9,0,0.0,0.025390625,12.083045973594572,1.0,accuracy_max,topk,08bc38f37e5b,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,1,0.01171875,5.0990195135927845,False,"FREQ_JSON:{""0"":98,""1"":114,""2"":106,""3"":80,""4"":105,""5"":104,""6"":91,""7"":105,""8"":105,""9"":116}",0.01171875,5.0990195135927845,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,tree,3892,0,7,15,14946,0,3,9,0,0.0,0.01171875,5.0990195135927845,1.0,accuracy_max,topk,22f20711a490,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.041015625,16.673332000533065,False,"FREQ_JSON:{""0"":102,""1"":101,""2"":112,""3"":105,""4"":105,""5"":97,""6"":85,""7"":104,""8"":109,""9"":104}",0.041015625,16.673332000533065,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,one_peer_exponential_dag_star,9800,0,31,33,37741,0,4,9,0,0.0,0.041015625,16.673332000533065,1.0,accuracy_max,topk,36abcad2936e,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,1,0.029296875,10.862780491200215,False,"FREQ_JSON:{""0"":106,""1"":102,""2"":112,""3"":105,""4"":104,""5"":97,""6"":85,""7"":104,""8"":105,""9"":94}",0.029296875,10.862780491200215,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,tree,3972,0,7,15,14946,0,3,9,0,0.0,0.029296875,10.862780491200215,1.0,accuracy_max,topk,3bdde79f00ec,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.0341796875,15.905973720586866,False,"FREQ_JSON:{""0"":90,""1"":98,""2"":111,""3"":106,""4"":97,""5"":86,""6"":106,""7"":101,""8"":102,""9"":122}",0.0341796875,15.905973720586866,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,one_peer_exponential_dag_star,10884,0,31,33,37665,0,4,9,0,0.0,0.0341796875,15.905973720586866,1.0,accuracy_max,topk,4009d6246daf,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,1,0.052734375,28.178005607210743,False,"FREQ_JSON:{""0"":86,""1"":96,""2"":111,""3"":106,""4"":97,""5"":84,""6"":104,""7"":102,""8"":103,""9"":135}",0.052734375,28.178005607210743,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,tree,3893,0,7,15,14971,0,3,9,0,0.0,0.052734375,28.178005607210743,1.0,accuracy_max,topk,4e2e26e157f4,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.11328125,37.389838191679836,False,"FREQ_JSON:{""0"":100,""1"":114,""2"":106,""3"":81,""4"":104,""5"":102,""6"":91,""7"":103,""8"":103,""9"":120}",0.017578125,7.0710678118654755,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,mesh_star,5959,0,63,17,30310,0,2,9,0,35.58089374931439,0.017578125,7.0710678118654755,1.0,accuracy_max,topk,a11e91e8973b,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,8,0.029296875,11.224972160321824,False,"FREQ_JSON:{""0"":96,""1"":113,""2"":103,""3"":79,""4"":105,""5"":100,""6"":89,""7"":103,""8"":103,""9"":123}",0.029296875,11.224972160321824,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,one_peer_exponential_dag_star,11044,0,31,33,37822,0,4,9,0,0.0,0.029296875,11.224972160321824,1.0,accuracy_max,topk,b2fab2eb63f2,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,1,0.03125,16.431676725154983,False,"FREQ_JSON:{""0"":94,""1"":116,""2"":99,""3"":100,""4"":98,""5"":102,""6"":78,""7"":102,""8"":107,""9"":128}",0.03125,16.431676725154983,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,tree,3984,0,7,15,14948,0,3,9,0,0.0,0.03125,16.431676725154983,1.0,accuracy_max,topk,d77c70741b44,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.0302734375,12.12435565298214,False,"FREQ_JSON:{""0"":105,""1"":97,""2"":110,""3"":106,""4"":104,""5"":98,""6"":82,""7"":103,""8"":104,""9"":95}",0.029296875,11.74734012447073,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,mesh_star,7801,0,63,17,30333,0,2,9,0,1.0,0.029296875,11.74734012447073,1.0,accuracy_max,topk,daed784a127e,4,balanced,test,operator_compose,fixed_topology,mesh_star
