active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.78412877125015,128,1,[0],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,tree
False,False,1,0.125,False,False,0.875,284.7279403219853,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,3,0.125,False,False,0.875,284.791151547937,128,1,[3],False,0.078125,5.477225575051661,0.078125,initial,0,5.477225575051661,0,-1,tree
False,False,4,0.125,False,False,0.875,284.8964724246336,128,1,[4],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,5,0.125,False,False,0.875,284.8964724246336,128,1,[5],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,7,0.125,False,False,0.875,284.2674796736341,128,1,[7],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,True,0,0.125,False,False,0.875,284.78412877125015,128,1,[0],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,1,0,tree
True,False,1,0.25,False,False,0.75,244.09424409436613,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,1,4.69041575982343,0,0,tree
False,True,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,tree
True,False,3,0.25,False,False,0.75,244.1188235265769,256,2,"[2, 3]",False,0.03125,4.0,0.03125,after_step,1,4.0,0,0,tree
False,True,4,0.125,False,False,0.875,284.8964724246336,128,1,[4],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,tree
True,False,5,0.25,False,False,0.75,244.40540092232004,256,2,"[4, 5]",False,0.0390625,4.69041575982343,0.0390625,after_step,1,4.69041575982343,0,0,tree
False,True,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,tree
True,False,7,0.25,False,False,0.75,243.93031791886796,256,2,"[6, 7]",False,0.03125,3.7416573867739413,0.03125,after_step,1,3.7416573867739413,0,0,tree
False,False,0,0.125,False,False,0.875,284.78412877125015,128,1,[0],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,0,1,tree
False,True,1,0.25,False,False,0.75,244.09424409436613,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,0,4.69041575982343,1,1,tree
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,tree
True,False,3,0.5,False,False,0.5,162.8987415543779,512,4,"[0, 1, 2, 3]",False,0.0234375,4.898979485566356,0.0234375,after_step,1,4.898979485566356,0,1,tree
False,False,4,0.125,False,False,0.875,284.8964724246336,128,1,[4],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,tree
False,True,5,0.25,False,False,0.75,244.40540092232004,256,2,"[4, 5]",False,0.0390625,4.69041575982343,0.0390625,after_step,0,4.69041575982343,1,1,tree
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,tree
True,False,7,0.5,False,False,0.5,162.9355700883021,512,4,"[4, 5, 6, 7]",False,0.015625,4.0,0.015625,after_step,1,4.0,0,1,tree
False,False,0,0.125,False,False,0.875,284.78412877125015,128,1,[0],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,0,2,tree
False,False,1,0.25,False,False,0.75,244.09424409436613,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,0,4.69041575982343,0,2,tree
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,tree
False,True,3,0.5,False,False,0.5,162.8987415543779,512,4,"[0, 1, 2, 3]",False,0.0234375,4.898979485566356,0.0234375,after_step,0,4.898979485566356,1,2,tree
False,False,4,0.125,False,False,0.875,284.8964724246336,128,1,[4],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,2,tree
False,False,5,0.25,False,False,0.75,244.40540092232004,256,2,"[4, 5]",False,0.0390625,4.69041575982343,0.0390625,after_step,0,4.69041575982343,0,2,tree
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,tree
True,False,7,1.0,False,False,0.01171875,5.0990195135927845,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.01171875,5.0990195135927845,0.01171875,after_step,1,5.0990195135927845,0,2,tree
