active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.70470972856873,128,1,[0],False,0.078125,3.4641016151377544,0.078125,initial,0,3.4641016151377544,0,-1,tree
False,False,1,0.125,False,False,0.875,284.3343102757738,128,1,[1],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,2,0.125,False,False,0.875,284.39409276565505,128,1,[2],False,0.015625,1.4142135623730951,0.015625,initial,0,1.4142135623730951,0,-1,tree
False,False,3,0.125,False,False,0.875,284.1337713120353,128,1,[3],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,4,0.125,False,False,0.875,284.79466287133965,128,1,[4],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,False,5,0.125,False,False,0.875,284.3659613948195,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,tree
False,False,7,0.125,False,False,0.875,284.3413441622586,128,1,[7],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,True,0,0.125,False,False,0.884765625,287.70470972856873,128,1,[0],False,0.078125,3.4641016151377544,0.078125,after_step,0,3.4641016151377544,1,0,tree
True,False,1,0.25,False,False,0.759765625,247.135590314305,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,tree
False,True,2,0.125,False,False,0.875,284.39409276565505,128,1,[2],False,0.015625,1.4142135623730951,0.015625,after_step,0,1.4142135623730951,1,0,tree
True,False,3,0.25,False,False,0.75,243.74576919405186,256,2,"[2, 3]",False,0.046875,5.291502622129181,0.046875,after_step,1,5.291502622129181,0,0,tree
False,True,4,0.125,False,False,0.875,284.79466287133965,128,1,[4],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,tree
True,False,5,0.25,False,False,0.75,244.33583445741232,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,1,3.1622776601683795,0,0,tree
False,True,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,1,0,tree
True,False,7,0.25,False,False,0.75,244.29081030607762,256,2,"[6, 7]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,0,0,tree
False,False,0,0.125,False,False,0.884765625,287.70470972856873,128,1,[0],False,0.078125,3.4641016151377544,0.078125,after_step,0,3.4641016151377544,0,1,tree
False,True,1,0.25,False,False,0.759765625,247.135590314305,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,0,4.0,1,1,tree
False,False,2,0.125,False,False,0.875,284.39409276565505,128,1,[2],False,0.015625,1.4142135623730951,0.015625,after_step,0,1.4142135623730951,0,1,tree
True,False,3,0.5,False,False,0.509765625,165.83726963502505,512,4,"[0, 1, 2, 3]",False,0.03125,6.324555320336759,0.03125,after_step,1,6.324555320336759,0,1,tree
False,False,4,0.125,False,False,0.875,284.79466287133965,128,1,[4],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,tree
False,True,5,0.25,False,False,0.75,244.33583445741232,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,1,1,tree
False,False,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,1,tree
True,False,7,0.5,False,False,0.5,163.9207125411551,512,4,"[4, 5, 6, 7]",False,0.03515625,7.211102550927978,0.03515625,after_step,1,7.211102550927978,0,1,tree
False,False,0,0.125,False,False,0.884765625,287.70470972856873,128,1,[0],False,0.078125,3.4641016151377544,0.078125,after_step,0,3.4641016151377544,0,2,tree
False,False,1,0.25,False,False,0.759765625,247.135590314305,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,0,4.0,0,2,tree
False,False,2,0.125,False,False,0.875,284.39409276565505,128,1,[2],False,0.015625,1.4142135623730951,0.015625,after_step,0,1.4142135623730951,0,2,tree
False,True,3,0.5,False,False,0.509765625,165.83726963502505,512,4,"[0, 1, 2, 3]",False,0.03125,6.324555320336759,0.03125,after_step,0,6.324555320336759,1,2,tree
False,False,4,0.125,False,False,0.875,284.79466287133965,128,1,[4],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,2,tree
False,False,5,0.25,False,False,0.75,244.33583445741232,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,0,2,tree
False,False,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,2,tree
True,False,7,1.0,False,False,0.029296875,10.862780491200215,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.029296875,10.862780491200215,0.029296875,after_step,1,10.862780491200215,0,2,tree
