active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.0211259748119,128,1,[0],False,0.125,8.94427190999916,0.125,initial,0,8.94427190999916,0,-1,tree
False,False,1,0.125,False,False,0.875,284.4960456667192,128,1,[1],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,tree
False,False,2,0.125,False,False,0.875,284.72091598616356,128,1,[2],False,0.15625,9.16515138991168,0.15625,initial,0,9.16515138991168,0,-1,tree
False,False,3,0.125,False,False,0.875,284.60498941515414,128,1,[3],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,5,0.125,False,False,0.875,284.93508032532606,128,1,[5],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,tree
False,False,6,0.125,False,False,0.875,284.854348746864,128,1,[6],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,tree
False,False,7,0.125,False,False,0.875,284.8332845718702,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,tree
False,True,0,0.125,False,False,0.875,284.0211259748119,128,1,[0],False,0.125,8.94427190999916,0.125,after_step,0,8.94427190999916,1,0,tree
True,False,1,0.25,False,False,0.75,243.2036183941349,256,2,"[0, 1]",False,0.0859375,12.0,0.0859375,after_step,1,12.0,0,0,tree
False,True,2,0.125,False,False,0.875,284.72091598616356,128,1,[2],False,0.15625,9.16515138991168,0.15625,after_step,0,9.16515138991168,1,0,tree
True,False,3,0.25,False,False,0.75,244.33174169558896,256,2,"[2, 3]",False,0.078125,10.0,0.078125,after_step,1,10.0,0,0,tree
False,True,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,tree
True,False,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,1,3.4641016151377544,0,0,tree
False,True,6,0.125,False,False,0.875,284.854348746864,128,1,[6],False,0.09375,6.0,0.09375,after_step,0,6.0,1,0,tree
True,False,7,0.25,False,False,0.75,245.03061033266843,256,2,"[6, 7]",False,0.0625,8.246211251235321,0.0625,after_step,1,8.246211251235321,0,0,tree
False,False,0,0.125,False,False,0.875,284.0211259748119,128,1,[0],False,0.125,8.94427190999916,0.125,after_step,0,8.94427190999916,0,1,tree
False,True,1,0.25,False,False,0.75,243.2036183941349,256,2,"[0, 1]",False,0.0859375,12.0,0.0859375,after_step,0,12.0,1,1,tree
False,False,2,0.125,False,False,0.875,284.72091598616356,128,1,[2],False,0.15625,9.16515138991168,0.15625,after_step,0,9.16515138991168,0,1,tree
True,False,3,0.5,False,False,0.5,162.97852619286996,512,4,"[0, 1, 2, 3]",False,0.078125,21.6794833886788,0.078125,after_step,1,21.6794833886788,0,1,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,tree
False,True,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,0,3.4641016151377544,1,1,tree
False,False,6,0.125,False,False,0.875,284.854348746864,128,1,[6],False,0.09375,6.0,0.09375,after_step,0,6.0,0,1,tree
True,False,7,0.5,False,False,0.5,164.03048497154424,512,4,"[4, 5, 6, 7]",False,0.0390625,8.602325267042627,0.0390625,after_step,1,8.602325267042627,0,1,tree
False,False,0,0.125,False,False,0.875,284.0211259748119,128,1,[0],False,0.125,8.94427190999916,0.125,after_step,0,8.94427190999916,0,2,tree
False,False,1,0.25,False,False,0.75,243.2036183941349,256,2,"[0, 1]",False,0.0859375,12.0,0.0859375,after_step,0,12.0,0,2,tree
False,False,2,0.125,False,False,0.875,284.72091598616356,128,1,[2],False,0.15625,9.16515138991168,0.15625,after_step,0,9.16515138991168,0,2,tree
False,True,3,0.5,False,False,0.5,162.97852619286996,512,4,"[0, 1, 2, 3]",False,0.078125,21.6794833886788,0.078125,after_step,0,21.6794833886788,1,2,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,2,tree
False,False,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,0,3.4641016151377544,0,2,tree
False,False,6,0.125,False,False,0.875,284.854348746864,128,1,[6],False,0.09375,6.0,0.09375,after_step,0,6.0,0,2,tree
True,False,7,1.0,False,False,0.052734375,28.178005607210743,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,28.178005607210743,0.052734375,after_step,1,28.178005607210743,0,2,tree
