active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,initial,0,8.0,0,-1,tree
False,False,1,0.125,False,False,0.875,284.4960456667192,128,1,[1],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,tree
False,False,2,0.125,False,False,0.875,284.70686679460334,128,1,[2],False,0.140625,8.246211251235321,0.140625,initial,0,8.246211251235321,0,-1,tree
False,False,3,0.125,False,False,0.875,284.6014757516201,128,1,[3],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,5,0.125,False,False,0.875,284.94911826499833,128,1,[5],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,initial,0,5.0990195135927845,0,-1,tree
False,False,7,0.125,False,False,0.875,285.02982300103264,128,1,[7],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,True,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,after_step,0,8.0,1,0,tree
True,False,1,0.25,False,False,0.75,243.20773014030618,256,2,"[0, 1]",False,0.078125,11.045361017187261,0.078125,after_step,1,11.045361017187261,0,0,tree
False,True,2,0.125,False,False,0.875,284.70686679460334,128,1,[2],False,0.140625,8.246211251235321,0.140625,after_step,0,8.246211251235321,1,0,tree
True,False,3,0.25,False,False,0.75,244.33174169558896,256,2,"[2, 3]",False,0.078125,10.0,0.078125,after_step,1,10.0,0,0,tree
False,True,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,tree
True,False,5,0.25,False,False,0.75,244.1679749680535,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,1,3.4641016151377544,0,0,tree
False,True,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,after_step,0,5.0990195135927845,1,0,tree
True,False,7,0.25,False,False,0.75,245.25496936861444,256,2,"[6, 7]",False,0.046875,4.242640687119285,0.046875,after_step,1,4.242640687119285,0,0,tree
False,False,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,after_step,0,8.0,0,1,tree
False,True,1,0.25,False,False,0.75,243.20773014030618,256,2,"[0, 1]",False,0.078125,11.045361017187261,0.078125,after_step,0,11.045361017187261,1,1,tree
False,False,2,0.125,False,False,0.875,284.70686679460334,128,1,[2],False,0.140625,8.246211251235321,0.140625,after_step,0,8.246211251235321,0,1,tree
True,False,3,0.5,False,False,0.5,162.9110186574254,512,4,"[0, 1, 2, 3]",False,0.078125,20.784609690826528,0.078125,after_step,1,20.784609690826528,0,1,tree
False,False,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,tree
False,True,5,0.25,False,False,0.75,244.1679749680535,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,0,3.4641016151377544,1,1,tree
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,after_step,0,5.0990195135927845,0,1,tree
True,False,7,0.5,False,False,0.5,164.4445195195024,512,4,"[4, 5, 6, 7]",False,0.03515625,6.48074069840786,0.03515625,after_step,1,6.48074069840786,0,1,tree
False,False,0,0.125,False,False,0.875,283.9929576591645,128,1,[0],False,0.109375,8.0,0.109375,after_step,0,8.0,0,2,tree
False,False,1,0.25,False,False,0.75,243.20773014030618,256,2,"[0, 1]",False,0.078125,11.045361017187261,0.078125,after_step,0,11.045361017187261,0,2,tree
False,False,2,0.125,False,False,0.875,284.70686679460334,128,1,[2],False,0.140625,8.246211251235321,0.140625,after_step,0,8.246211251235321,0,2,tree
False,True,3,0.5,False,False,0.5,162.9110186574254,512,4,"[0, 1, 2, 3]",False,0.078125,20.784609690826528,0.078125,after_step,0,20.784609690826528,1,2,tree
False,False,4,0.125,False,False,0.875,284.2991382329535,128,1,[4],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,tree
False,False,5,0.25,False,False,0.75,244.1679749680535,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,0,3.4641016151377544,0,2,tree
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.078125,5.0990195135927845,0.078125,after_step,0,5.0990195135927845,0,2,tree
True,False,7,1.0,False,False,0.044921875,25.099800796022265,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.044921875,25.099800796022265,0.044921875,after_step,1,25.099800796022265,0,2,tree
