active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.80168538827155,128,1,[0],False,0.09375,5.656854249492381,0.09375,initial,0,5.656854249492381,0,-1,tree
False,False,1,0.125,False,False,0.875,284.2076705509547,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,3,0.125,False,False,0.875,284.35189466574684,128,1,[3],False,0.09375,5.0990195135927845,0.09375,initial,0,5.0990195135927845,0,-1,tree
False,False,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,tree
False,False,5,0.125,False,False,0.875,284.36947796836427,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,6,0.125,False,False,0.875,284.76305940202286,128,1,[6],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,7,0.125,False,False,0.875,284.2358175881428,128,1,[7],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,tree
False,True,0,0.125,False,False,0.875,284.80168538827155,128,1,[0],False,0.09375,5.656854249492381,0.09375,after_step,0,5.656854249492381,1,0,tree
True,False,1,0.25,False,False,0.75,244.1024375134341,256,2,"[0, 1]",False,0.0390625,4.242640687119285,0.0390625,after_step,1,4.242640687119285,0,0,tree
False,True,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,tree
True,False,3,0.25,False,False,0.75,243.85241438214223,256,2,"[2, 3]",False,0.046875,5.477225575051661,0.046875,after_step,1,5.477225575051661,0,0,tree
False,True,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,1,0,tree
True,False,5,0.25,False,False,0.75,244.49948875202173,256,2,"[4, 5]",False,0.0625,6.928203230275509,0.0625,after_step,1,6.928203230275509,0,0,tree
False,True,6,0.125,False,False,0.875,284.76305940202286,128,1,[6],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,tree
True,False,7,0.25,False,False,0.75,244.1188235265769,256,2,"[6, 7]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,tree
False,False,0,0.125,False,False,0.875,284.80168538827155,128,1,[0],False,0.09375,5.656854249492381,0.09375,after_step,0,5.656854249492381,0,1,tree
False,True,1,0.25,False,False,0.75,244.1024375134341,256,2,"[0, 1]",False,0.0390625,4.242640687119285,0.0390625,after_step,0,4.242640687119285,1,1,tree
False,False,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,0,1,tree
True,False,3,0.5,False,False,0.5,162.92943257741985,512,4,"[0, 1, 2, 3]",False,0.03515625,8.48528137423857,0.03515625,after_step,1,8.48528137423857,0,1,tree
False,False,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,1,tree
False,True,5,0.25,False,False,0.75,244.49948875202173,256,2,"[4, 5]",False,0.0625,6.928203230275509,0.0625,after_step,0,6.928203230275509,1,1,tree
False,False,6,0.125,False,False,0.875,284.76305940202286,128,1,[6],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,tree
True,False,7,0.5,False,False,0.5,163.89630868326475,512,4,"[4, 5, 6, 7]",False,0.03125,6.48074069840786,0.03125,after_step,1,6.48074069840786,0,1,tree
False,False,0,0.125,False,False,0.875,284.80168538827155,128,1,[0],False,0.09375,5.656854249492381,0.09375,after_step,0,5.656854249492381,0,2,tree
False,False,1,0.25,False,False,0.75,244.1024375134341,256,2,"[0, 1]",False,0.0390625,4.242640687119285,0.0390625,after_step,0,4.242640687119285,0,2,tree
False,False,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,0,2,tree
False,True,3,0.5,False,False,0.5,162.92943257741985,512,4,"[0, 1, 2, 3]",False,0.03515625,8.48528137423857,0.03515625,after_step,0,8.48528137423857,1,2,tree
False,False,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,2,tree
False,False,5,0.25,False,False,0.75,244.49948875202173,256,2,"[4, 5]",False,0.0625,6.928203230275509,0.0625,after_step,0,6.928203230275509,0,2,tree
False,False,6,0.125,False,False,0.875,284.76305940202286,128,1,[6],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,2,tree
True,False,7,1.0,False,False,0.029296875,13.564659966250536,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.029296875,13.564659966250536,0.029296875,after_step,1,13.564659966250536,0,2,tree
