active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.1828685698365,128,1,[0],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,tree
False,False,1,0.125,False,False,0.875,284.5874206636688,128,1,[1],False,0.03125,2.8284271247461903,0.03125,initial,0,2.8284271247461903,0,-1,tree
False,False,2,0.125,False,False,0.875,284.991227935177,128,1,[2],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,3,0.125,False,False,0.875,284.6014757516201,128,1,[3],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,5,0.125,False,False,0.875,284.93508032532606,128,1,[5],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,tree
False,False,6,0.125,False,False,0.875,284.9771920698216,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,7,0.125,False,False,0.875,285.02982300103264,128,1,[7],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,True,0,0.125,False,False,0.884765625,287.1828685698365,128,1,[0],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,1,0,tree
True,False,1,0.25,False,False,0.759765625,246.47515087732475,256,2,"[0, 1]",False,0.0625,6.928203230275509,0.0625,after_step,1,6.928203230275509,0,0,tree
False,True,2,0.125,False,False,0.875,284.991227935177,128,1,[2],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,tree
True,False,3,0.25,False,False,0.75,244.35629723827458,256,2,"[2, 3]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,tree
False,True,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,tree
True,False,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,1,3.4641016151377544,0,0,tree
False,True,6,0.125,False,False,0.875,284.9771920698216,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,tree
True,False,7,0.25,False,False,0.75,245.27943248466636,256,2,"[6, 7]",False,0.0390625,3.7416573867739413,0.0390625,after_step,1,3.7416573867739413,0,0,tree
False,False,0,0.125,False,False,0.884765625,287.1828685698365,128,1,[0],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,1,tree
False,True,1,0.25,False,False,0.759765625,246.47515087732475,256,2,"[0, 1]",False,0.0625,6.928203230275509,0.0625,after_step,0,6.928203230275509,1,1,tree
False,False,2,0.125,False,False,0.875,284.991227935177,128,1,[2],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,tree
True,False,3,0.5,False,False,0.509765625,165.7407614318216,512,4,"[0, 1, 2, 3]",False,0.04296875,9.899494936611665,0.04296875,after_step,1,9.899494936611665,0,1,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,tree
False,True,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,0,3.4641016151377544,1,1,tree
False,False,6,0.125,False,False,0.875,284.9771920698216,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,tree
True,False,7,0.5,False,False,0.5,164.33502365594498,512,4,"[4, 5, 6, 7]",False,0.03125,5.830951894845301,0.03125,after_step,1,5.830951894845301,0,1,tree
False,False,0,0.125,False,False,0.884765625,287.1828685698365,128,1,[0],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,2,tree
False,False,1,0.25,False,False,0.759765625,246.47515087732475,256,2,"[0, 1]",False,0.0625,6.928203230275509,0.0625,after_step,0,6.928203230275509,0,2,tree
False,False,2,0.125,False,False,0.875,284.991227935177,128,1,[2],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,2,tree
False,True,3,0.5,False,False,0.509765625,165.7407614318216,512,4,"[0, 1, 2, 3]",False,0.04296875,9.899494936611665,0.04296875,after_step,0,9.899494936611665,1,2,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,2,tree
False,False,5,0.25,False,False,0.75,244.13520843991347,256,2,"[4, 5]",False,0.03125,3.4641016151377544,0.03125,after_step,0,3.4641016151377544,0,2,tree
False,False,6,0.125,False,False,0.875,284.9771920698216,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,tree
True,False,7,1.0,False,False,0.029296875,12.0,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.029296875,12.0,0.029296875,after_step,1,12.0,0,2,tree
