active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.7735942814923,128,1,[0],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:pairwise_reduce_then_star
False,False,1,0.125,False,False,0.875,284.7279403219853,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:pairwise_reduce_then_star
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:pairwise_reduce_then_star
False,False,3,0.125,False,False,0.875,284.791151547937,128,1,[3],False,0.078125,5.477225575051661,0.078125,initial,0,5.477225575051661,0,-1,generated:pairwise_reduce_then_star
False,False,4,0.125,False,False,0.875,284.80168538827155,128,1,[4],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:pairwise_reduce_then_star
False,False,5,0.125,False,False,0.875,284.9210416940104,128,1,[5],False,0.03125,2.449489742783178,0.03125,initial,0,2.449489742783178,0,-1,generated:pairwise_reduce_then_star
False,False,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:pairwise_reduce_then_star
False,False,7,0.125,False,False,0.875,284.2358175881428,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:pairwise_reduce_then_star
False,True,0,0.125,False,False,0.875,284.7735942814923,128,1,[0],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,1,0,generated:pairwise_reduce_then_star
True,False,1,0.25,False,False,0.75,244.09014728169592,256,2,"[0, 1]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,0,0,generated:pairwise_reduce_then_star
False,True,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,generated:pairwise_reduce_then_star
True,False,3,0.25,False,False,0.75,244.1188235265769,256,2,"[2, 3]",False,0.03125,4.0,0.03125,after_step,1,4.0,0,0,generated:pairwise_reduce_then_star
False,True,4,0.125,False,False,0.875,284.80168538827155,128,1,[4],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,generated:pairwise_reduce_then_star
True,False,5,0.25,False,False,0.75,244.28262320517192,256,2,"[4, 5]",False,0.0234375,2.8284271247461903,0.0234375,after_step,1,2.8284271247461903,0,0,generated:pairwise_reduce_then_star
False,True,6,0.125,False,False,0.875,284.95262764185907,128,1,[6],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,generated:pairwise_reduce_then_star
True,False,7,0.25,False,False,0.75,243.82370680473218,256,2,"[6, 7]",False,0.046875,5.291502622129181,0.046875,after_step,1,5.291502622129181,0,0,generated:pairwise_reduce_then_star
False,False,0,0.125,False,False,0.875,284.7735942814923,128,1,[0],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,0,1,generated:pairwise_reduce_then_star
False,True,1,0.25,False,False,0.75,244.09014728169592,256,2,"[0, 1]",False,0.046875,4.898979485566356,0.046875,after_step,0,4.898979485566356,1,1,generated:pairwise_reduce_then_star
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,generated:pairwise_reduce_then_star
