active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8828125,287.0992859621911,128,1,[0],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:two_layer_tree_with_audit
False,False,1,0.125,False,False,0.875,284.2076705509547,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:two_layer_tree_with_audit
False,False,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:two_layer_tree_with_audit
False,False,3,0.125,False,False,0.875,284.2111890830479,128,1,[3],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,generated:two_layer_tree_with_audit
False,False,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,generated:two_layer_tree_with_audit
False,False,5,0.125,False,False,0.875,284.36947796836427,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:two_layer_tree_with_audit
False,False,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,generated:two_layer_tree_with_audit
False,False,7,0.125,False,False,0.875,284.1865584435689,128,1,[7],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,generated:two_layer_tree_with_audit
False,True,0,0.125,False,False,0.8828125,287.0992859621911,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,generated:two_layer_tree_with_audit
True,False,1,0.25,False,False,0.7578125,246.42240157907722,256,2,"[0, 1]",False,0.0390625,4.242640687119285,0.0390625,after_step,1,4.242640687119285,0,0,generated:two_layer_tree_with_audit
False,True,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,1,0,generated:two_layer_tree_with_audit
True,False,3,0.25,False,False,0.75,243.90981940053172,256,2,"[2, 3]",False,0.0625,6.6332495807108,0.0625,after_step,1,6.6332495807108,0,0,generated:two_layer_tree_with_audit
False,True,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,1,0,generated:two_layer_tree_with_audit
True,False,5,0.25,False,False,0.75,244.49948875202173,256,2,"[4, 5]",False,0.0625,6.928203230275509,0.0625,after_step,1,6.928203230275509,0,0,generated:two_layer_tree_with_audit
False,True,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,1,0,generated:two_layer_tree_with_audit
True,False,7,0.25,False,False,0.75,244.08605040026356,256,2,"[6, 7]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,0,0,generated:two_layer_tree_with_audit
False,False,0,0.125,False,False,0.8828125,287.0992859621911,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,generated:two_layer_tree_with_audit
False,True,1,0.25,False,False,0.7578125,246.42240157907722,256,2,"[0, 1]",False,0.0390625,4.242640687119285,0.0390625,after_step,0,4.242640687119285,1,1,generated:two_layer_tree_with_audit
False,False,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,0,1,generated:two_layer_tree_with_audit
False,True,3,0.25,False,False,0.75,243.90981940053172,256,2,"[2, 3]",False,0.0625,6.6332495807108,0.0625,after_step,0,6.6332495807108,1,1,generated:two_layer_tree_with_audit
False,False,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,1,generated:two_layer_tree_with_audit
False,True,5,0.25,False,False,0.75,244.49948875202173,256,2,"[4, 5]",False,0.0625,6.928203230275509,0.0625,after_step,0,6.928203230275509,1,1,generated:two_layer_tree_with_audit
False,False,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,1,generated:two_layer_tree_with_audit
True,False,7,1.0,False,False,0.033203125,12.884098726725126,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.033203125,12.884098726725126,0.033203125,after_step,3,12.884098726725126,0,1,generated:two_layer_tree_with_audit
False,True,0,0.125,False,False,0.8828125,287.0992859621911,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,2,generated:two_layer_tree_with_audit
False,False,1,0.25,False,False,0.7578125,246.42240157907722,256,2,"[0, 1]",False,0.0390625,4.242640687119285,0.0390625,after_step,0,4.242640687119285,0,2,generated:two_layer_tree_with_audit
False,False,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,0,2,generated:two_layer_tree_with_audit
False,False,3,0.25,False,False,0.75,243.90981940053172,256,2,"[2, 3]",False,0.0625,6.6332495807108,0.0625,after_step,0,6.6332495807108,0,2,generated:two_layer_tree_with_audit
False,False,4,0.125,False,False,0.875,284.93508032532606,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,2,generated:two_layer_tree_with_audit
False,False,5,0.25,False,False,0.75,244.49948875202173,256,2,"[4, 5]",False,0.0625,6.928203230275509,0.0625,after_step,0,6.928203230275509,0,2,generated:two_layer_tree_with_audit
False,False,6,0.125,False,False,0.875,284.82275190019493,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,2,generated:two_layer_tree_with_audit
True,False,7,1.0,False,False,0.033203125,12.884098726725126,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.033203125,12.884098726725126,0.033203125,after_step,1,12.884098726725126,0,2,generated:two_layer_tree_with_audit
