active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.193595986961,128,1,[0],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:binary_tree_reduce
False,False,1,0.125,False,False,0.884765625,287.67342595380615,128,1,[1],False,0.078125,4.47213595499958,0.078125,initial,0,4.47213595499958,0,-1,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,283.9718295887816,128,1,[2],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:binary_tree_reduce
False,False,3,0.125,False,False,0.875,284.42222135409884,128,1,[3],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:binary_tree_reduce
False,False,4,0.125,False,False,0.875,284.45034716097643,128,1,[4],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,generated:binary_tree_reduce
False,False,5,0.125,False,False,0.875,284.05633244129587,128,1,[5],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,generated:binary_tree_reduce
False,False,6,0.125,False,False,0.875,283.70759595047855,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:binary_tree_reduce
False,False,7,0.125,False,False,0.875,284.0316883729701,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:binary_tree_reduce
False,True,0,0.125,False,False,0.875,284.193595986961,128,1,[0],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,generated:binary_tree_reduce
True,False,1,0.25,False,False,0.759765625,247.51161588903258,256,2,"[0, 1]",False,0.046875,5.291502622129181,0.046875,after_step,1,5.291502622129181,0,0,generated:binary_tree_reduce
False,True,2,0.125,False,False,0.875,283.9718295887816,128,1,[2],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,generated:binary_tree_reduce
True,False,3,0.25,False,False,0.75,243.72935810033226,256,2,"[2, 3]",False,0.046875,4.242640687119285,0.046875,after_step,1,4.242640687119285,0,0,generated:binary_tree_reduce
False,True,4,0.125,False,False,0.875,284.45034716097643,128,1,[4],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,1,0,generated:binary_tree_reduce
True,False,5,0.25,False,False,0.75,243.80319932273244,256,2,"[4, 5]",False,0.0625,6.0,0.0625,after_step,1,6.0,0,0,generated:binary_tree_reduce
False,True,6,0.125,False,False,0.875,283.70759595047855,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,generated:binary_tree_reduce
True,False,7,0.25,False,False,0.75,243.24884377936928,256,2,"[6, 7]",False,0.046875,5.656854249492381,0.046875,after_step,1,5.656854249492381,0,0,generated:binary_tree_reduce
False,False,0,0.125,False,False,0.875,284.193595986961,128,1,[0],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,generated:binary_tree_reduce
False,True,1,0.25,False,False,0.759765625,247.51161588903258,256,2,"[0, 1]",False,0.046875,5.291502622129181,0.046875,after_step,0,5.291502622129181,1,1,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,283.9718295887816,128,1,[2],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,generated:binary_tree_reduce
True,False,3,0.5,False,False,0.509765625,167.36785832411192,512,4,"[0, 1, 2, 3]",False,0.0234375,5.477225575051661,0.0234375,after_step,1,5.477225575051661,0,1,generated:binary_tree_reduce
False,False,4,0.125,False,False,0.875,284.45034716097643,128,1,[4],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,0,1,generated:binary_tree_reduce
False,True,5,0.25,False,False,0.75,243.80319932273244,256,2,"[4, 5]",False,0.0625,6.0,0.0625,after_step,0,6.0,1,1,generated:binary_tree_reduce
False,False,6,0.125,False,False,0.875,283.70759595047855,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,generated:binary_tree_reduce
True,False,7,0.5,False,False,0.5,162.99079728622718,512,4,"[4, 5, 6, 7]",False,0.05078125,10.0,0.05078125,after_step,1,10.0,0,1,generated:binary_tree_reduce
False,False,0,0.125,False,False,0.875,284.193595986961,128,1,[0],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,generated:binary_tree_reduce
False,False,1,0.25,False,False,0.759765625,247.51161588903258,256,2,"[0, 1]",False,0.046875,5.291502622129181,0.046875,after_step,0,5.291502622129181,0,2,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,283.9718295887816,128,1,[2],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,2,generated:binary_tree_reduce
False,True,3,0.5,False,False,0.509765625,167.36785832411192,512,4,"[0, 1, 2, 3]",False,0.0234375,5.477225575051661,0.0234375,after_step,0,5.477225575051661,1,2,generated:binary_tree_reduce
False,False,4,0.125,False,False,0.875,284.45034716097643,128,1,[4],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,0,2,generated:binary_tree_reduce
False,False,5,0.25,False,False,0.75,243.80319932273244,256,2,"[4, 5]",False,0.0625,6.0,0.0625,after_step,0,6.0,0,2,generated:binary_tree_reduce
False,False,6,0.125,False,False,0.875,283.70759595047855,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,generated:binary_tree_reduce
True,False,7,1.0,False,False,0.03125,11.832159566199232,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.03125,11.832159566199232,0.03125,after_step,1,11.832159566199232,0,2,generated:binary_tree_reduce
