active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,283.74988986782006,128,1,[0],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:binary_tree_reduce
False,False,1,0.125,False,False,0.875,284.3132075722125,128,1,[1],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,284.1830396065184,128,1,[2],False,0.03125,2.449489742783178,0.03125,initial,0,2.449489742783178,0,-1,generated:binary_tree_reduce
False,False,3,0.125,False,False,0.875,284.035209085071,128,1,[3],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,generated:binary_tree_reduce
False,False,4,0.125,False,False,0.875,284.28506819739937,128,1,[4],False,0.078125,5.477225575051661,0.078125,initial,0,5.477225575051661,0,-1,generated:binary_tree_reduce
False,False,5,0.125,False,False,0.875,283.9295687314021,128,1,[5],False,0.09375,6.6332495807108,0.09375,initial,0,6.6332495807108,0,-1,generated:binary_tree_reduce
False,False,6,0.125,False,False,0.875,284.5487655921213,128,1,[6],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,generated:binary_tree_reduce
False,False,7,0.125,False,False,0.875,283.9471781863662,128,1,[7],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:binary_tree_reduce
False,True,0,0.125,False,False,0.875,283.74988986782006,128,1,[0],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,generated:binary_tree_reduce
True,False,1,0.25,False,False,0.75,243.64318172278084,256,2,"[0, 1]",False,0.03125,3.1622776601683795,0.03125,after_step,1,3.1622776601683795,0,0,generated:binary_tree_reduce
False,True,2,0.125,False,False,0.875,284.1830396065184,128,1,[2],False,0.03125,2.449489742783178,0.03125,after_step,0,2.449489742783178,1,0,generated:binary_tree_reduce
True,False,3,0.25,False,False,0.75,243.9672109116305,256,2,"[2, 3]",False,0.046875,4.242640687119285,0.046875,after_step,1,4.242640687119285,0,0,generated:binary_tree_reduce
False,True,4,0.125,False,False,0.875,284.28506819739937,128,1,[4],False,0.078125,5.477225575051661,0.078125,after_step,0,5.477225575051661,1,0,generated:binary_tree_reduce
True,False,5,0.25,False,False,0.75,243.61034460794147,256,2,"[4, 5]",False,0.0859375,11.74734012447073,0.0859375,after_step,1,11.74734012447073,0,0,generated:binary_tree_reduce
False,True,6,0.125,False,False,0.875,284.5487655921213,128,1,[6],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,1,0,generated:binary_tree_reduce
True,False,7,0.25,False,False,0.75,243.93031791886796,256,2,"[6, 7]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,generated:binary_tree_reduce
False,False,0,0.125,False,False,0.875,283.74988986782006,128,1,[0],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,generated:binary_tree_reduce
False,True,1,0.25,False,False,0.75,243.64318172278084,256,2,"[0, 1]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,1,1,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,284.1830396065184,128,1,[2],False,0.03125,2.449489742783178,0.03125,after_step,0,2.449489742783178,0,1,generated:binary_tree_reduce
True,False,3,0.5,False,False,0.5,162.9723902997069,512,4,"[0, 1, 2, 3]",False,0.03125,5.477225575051661,0.03125,after_step,1,5.477225575051661,0,1,generated:binary_tree_reduce
False,False,4,0.125,False,False,0.875,284.28506819739937,128,1,[4],False,0.078125,5.477225575051661,0.078125,after_step,0,5.477225575051661,0,1,generated:binary_tree_reduce
False,True,5,0.25,False,False,0.75,243.61034460794147,256,2,"[4, 5]",False,0.0859375,11.74734012447073,0.0859375,after_step,0,11.74734012447073,1,1,generated:binary_tree_reduce
False,False,6,0.125,False,False,0.875,284.5487655921213,128,1,[6],False,0.078125,4.69041575982343,0.078125,after_step,0,4.69041575982343,0,1,generated:binary_tree_reduce
True,False,7,0.5,False,False,0.5,163.835283135227,512,4,"[4, 5, 6, 7]",False,0.0546875,14.966629547095765,0.0546875,after_step,1,14.966629547095765,0,1,generated:binary_tree_reduce
False,False,0,0.125,False,False,0.875,283.74988986782006,128,1,[0],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,2,generated:binary_tree_reduce
False,False,1,0.25,False,False,0.75,243.64318172278084,256,2,"[0, 1]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,0,2,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,284.1830396065184,128,1,[2],False,0.03125,2.449489742783178,0.03125,after_step,0,2.449489742783178,0,2,generated:binary_tree_reduce
False,True,3,0.5,False,False,0.5,162.9723902997069,512,4,"[0, 1, 2, 3]",False,0.03125,5.477225575051661,0.03125,after_step,0,5.477225575051661,1,2,generated:binary_tree_reduce
