active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.22878109016335,128,1,[0],False,0.109375,7.0710678118654755,0.109375,initial,0,7.0710678118654755,0,-1,generated:binary_tree_reduce
False,False,1,0.125,False,False,0.875,285.0087717948344,128,1,[1],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,generated:binary_tree_reduce
False,False,2,0.125,False,False,0.875,284.48198536990003,128,1,[2],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:binary_tree_reduce
False,False,3,0.125,False,False,0.875,284.6155301454929,128,1,[3],False,0.0625,4.69041575982343,0.0625,initial,0,4.69041575982343,0,-1,generated:binary_tree_reduce
False,False,4,0.125,False,False,0.875,284.2358175881428,128,1,[4],False,0.09375,5.830951894845301,0.09375,initial,0,5.830951894845301,0,-1,generated:binary_tree_reduce
False,False,5,0.125,False,False,0.875,283.92604670935,128,1,[5],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,generated:binary_tree_reduce
False,False,6,0.125,False,False,0.875,284.0739340383063,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:binary_tree_reduce
False,False,7,0.125,False,False,0.875,284.67525357852935,128,1,[7],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,generated:binary_tree_reduce
False,True,0,0.125,False,False,0.875,284.22878109016335,128,1,[0],False,0.109375,7.0710678118654755,0.109375,after_step,0,7.0710678118654755,1,0,generated:binary_tree_reduce
True,False,1,0.25,False,False,0.75,244.49948875202173,256,2,"[0, 1]",False,0.078125,9.591663046625438,0.078125,after_step,1,9.591663046625438,0,0,generated:binary_tree_reduce
False,True,2,0.125,False,False,0.875,284.48198536990003,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,generated:binary_tree_reduce
True,False,3,0.25,False,False,0.75,244.3726662292655,256,2,"[2, 3]",False,0.046875,5.0990195135927845,0.046875,after_step,1,5.0990195135927845,0,0,generated:binary_tree_reduce
False,True,4,0.125,False,False,0.875,284.2358175881428,128,1,[4],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,1,0,generated:binary_tree_reduce
True,False,5,0.25,False,False,0.75,243.4912729442269,256,2,"[4, 5]",False,0.0703125,9.055385138137417,0.0703125,after_step,1,9.055385138137417,0,0,generated:binary_tree_reduce
