active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.20063335608523,128,1,[0],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:sparse_peer_exchange
False,False,1,0.125,False,False,0.875,284.54525123431597,128,1,[1],False,0.078125,5.656854249492381,0.078125,initial,0,5.656854249492381,0,-1,generated:sparse_peer_exchange
False,False,2,0.125,False,False,0.875,284.07041380615476,128,1,[2],False,0.09375,5.477225575051661,0.09375,initial,0,5.477225575051661,0,-1,generated:sparse_peer_exchange
False,False,3,0.125,False,False,0.875,284.5065904333325,128,1,[3],False,0.03125,2.449489742783178,0.03125,initial,0,2.449489742783178,0,-1,generated:sparse_peer_exchange
False,False,4,0.125,False,False,0.884765625,287.4995652170625,128,1,[4],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,generated:sparse_peer_exchange
False,False,5,0.125,False,False,0.875,284.0492914970921,128,1,[5],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,generated:sparse_peer_exchange
False,False,6,0.125,False,False,0.875,283.92604670935,128,1,[6],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,generated:sparse_peer_exchange
False,False,7,0.125,False,False,0.875,284.0316883729701,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:sparse_peer_exchange
True,True,0,0.25,False,False,0.75,243.65139031000828,256,2,"[0, 7]",False,0.0390625,4.242640687119285,0.0390625,after_step,1,4.242640687119285,1,0,generated:sparse_peer_exchange
True,True,1,0.25,False,False,0.75,244.6221576227305,256,2,"[0, 1]",False,0.046875,5.291502622129181,0.046875,after_step,1,5.291502622129181,1,0,generated:sparse_peer_exchange
True,True,2,0.25,False,False,0.75,243.97130978867168,256,2,"[1, 2]",False,0.0546875,5.0990195135927845,0.0546875,after_step,1,5.0990195135927845,1,0,generated:sparse_peer_exchange
True,True,3,0.25,False,False,0.75,243.81140252252354,256,2,"[2, 3]",False,0.046875,5.291502622129181,0.046875,after_step,1,5.291502622129181,1,0,generated:sparse_peer_exchange
True,True,4,0.25,False,False,0.759765625,247.5196961859803,256,2,"[3, 4]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,1,0,generated:sparse_peer_exchange
True,True,5,0.25,False,False,0.759765625,246.83192662214506,256,2,"[4, 5]",False,0.0625,6.0,0.0625,after_step,1,6.0,1,0,generated:sparse_peer_exchange
True,True,6,0.25,False,False,0.75,243.68832553078943,256,2,"[5, 6]",False,0.03125,4.0,0.03125,after_step,1,4.0,1,0,generated:sparse_peer_exchange
True,True,7,0.25,False,False,0.75,243.45430782797825,256,2,"[6, 7]",False,0.03125,3.4641016151377544,0.03125,after_step,1,3.4641016151377544,1,0,generated:sparse_peer_exchange
True,True,0,0.5,False,False,0.5,162.51769134466562,512,4,"[0, 5, 6, 7]",False,0.0234375,5.0990195135927845,0.0234375,after_step,1,5.0990195135927845,1,1,generated:sparse_peer_exchange
True,True,1,0.5,False,False,0.5,162.67144801716125,512,4,"[0, 1, 6, 7]",False,0.02734375,4.898979485566356,0.02734375,after_step,1,4.898979485566356,1,1,generated:sparse_peer_exchange
True,True,2,0.5,False,False,0.5,163.05827179263247,512,4,"[0, 1, 2, 7]",False,0.03515625,7.0710678118654755,0.03515625,after_step,1,7.0710678118654755,1,1,generated:sparse_peer_exchange
True,True,3,0.5,False,False,0.5,164.40194646049662,512,4,"[0, 1, 2, 3]",False,0.03125,5.656854249492381,0.03125,after_step,1,5.656854249492381,1,1,generated:sparse_peer_exchange
True,True,4,0.5,False,False,0.509765625,167.0269439342048,512,4,"[1, 2, 3, 4]",False,0.0390625,7.745966692414834,0.0390625,after_step,1,7.745966692414834,1,1,generated:sparse_peer_exchange
True,True,5,0.5,False,False,0.509765625,166.06625183943908,512,4,"[2, 3, 4, 5]",False,0.03515625,6.928203230275509,0.03515625,after_step,1,6.928203230275509,1,1,generated:sparse_peer_exchange
True,True,6,0.5,False,False,0.509765625,165.9276950963883,512,4,"[3, 4, 5, 6]",False,0.02734375,5.477225575051661,0.02734375,after_step,1,5.477225575051661,1,1,generated:sparse_peer_exchange
True,True,7,0.5,False,False,0.509765625,166.1324772583615,512,4,"[4, 5, 6, 7]",False,0.03515625,6.324555320336759,0.03515625,after_step,1,6.324555320336759,1,1,generated:sparse_peer_exchange
False,True,0,0.5,False,False,0.5,162.51769134466562,512,4,"[0, 5, 6, 7]",False,0.0234375,5.0990195135927845,0.0234375,after_step,0,5.0990195135927845,1,2,generated:sparse_peer_exchange
False,True,1,0.5,False,False,0.5,162.67144801716125,512,4,"[0, 1, 6, 7]",False,0.02734375,4.898979485566356,0.02734375,after_step,0,4.898979485566356,1,2,generated:sparse_peer_exchange
False,True,2,0.5,False,False,0.5,163.05827179263247,512,4,"[0, 1, 2, 7]",False,0.03515625,7.0710678118654755,0.03515625,after_step,0,7.0710678118654755,1,2,generated:sparse_peer_exchange
False,True,3,0.5,False,False,0.5,164.40194646049662,512,4,"[0, 1, 2, 3]",False,0.03125,5.656854249492381,0.03125,after_step,0,5.656854249492381,1,2,generated:sparse_peer_exchange
False,False,4,0.5,False,False,0.509765625,167.0269439342048,512,4,"[1, 2, 3, 4]",False,0.0390625,7.745966692414834,0.0390625,after_step,0,7.745966692414834,0,2,generated:sparse_peer_exchange
False,False,5,0.5,False,False,0.509765625,166.06625183943908,512,4,"[2, 3, 4, 5]",False,0.03515625,6.928203230275509,0.03515625,after_step,0,6.928203230275509,0,2,generated:sparse_peer_exchange
False,False,6,0.5,False,False,0.509765625,165.9276950963883,512,4,"[3, 4, 5, 6]",False,0.02734375,5.477225575051661,0.02734375,after_step,0,5.477225575051661,0,2,generated:sparse_peer_exchange
True,False,7,1.0,False,False,0.0234375,9.486832980505138,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0234375,9.486832980505138,0.0234375,after_step,4,9.486832980505138,0,2,generated:sparse_peer_exchange
