active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.66471505966456,128,1,[0],False,0.09375,5.477225575051661,0.09375,initial,0,5.477225575051661,0,-1,generated:hybrid_reduce_audit
False,False,1,0.125,False,False,0.875,284.45737817817275,128,1,[1],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.59796204470615,128,1,[2],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,generated:hybrid_reduce_audit
False,False,3,0.125,False,False,0.875,284.6330971619428,128,1,[3],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:hybrid_reduce_audit
False,False,4,0.125,False,False,0.884765625,287.2699079263263,128,1,[4],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,generated:hybrid_reduce_audit
False,False,5,0.125,False,False,0.875,284.2534080710379,128,1,[5],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,generated:hybrid_reduce_audit
False,False,6,0.125,False,False,0.875,284.9982456086353,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:hybrid_reduce_audit
False,False,7,0.125,False,False,0.875,284.39409276565505,128,1,[7],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,generated:hybrid_reduce_audit
False,True,0,0.125,False,False,0.875,284.66471505966456,128,1,[0],False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,1,0,generated:hybrid_reduce_audit
True,False,1,0.25,False,False,0.75,244.0696621868437,256,2,"[0, 1]",False,0.0546875,5.477225575051661,0.0546875,after_step,1,5.477225575051661,0,0,generated:hybrid_reduce_audit
False,True,2,0.125,False,False,0.875,284.59796204470615,128,1,[2],False,0.0625,4.0,0.0625,after_step,0,4.0,1,0,generated:hybrid_reduce_audit
True,False,3,0.25,False,False,0.75,244.38085031360376,256,2,"[2, 3]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,generated:hybrid_reduce_audit
False,True,4,0.125,False,False,0.884765625,287.2699079263263,128,1,[4],False,0.078125,3.7416573867739413,0.078125,after_step,0,3.7416573867739413,1,0,generated:hybrid_reduce_audit
True,False,5,0.25,False,False,0.759765625,246.6576574931336,256,2,"[4, 5]",False,0.046875,4.69041575982343,0.046875,after_step,1,4.69041575982343,0,0,generated:hybrid_reduce_audit
False,True,6,0.125,False,False,0.875,284.9982456086353,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,generated:hybrid_reduce_audit
True,False,7,0.25,False,False,0.75,244.09424409436613,256,2,"[6, 7]",False,0.046875,5.830951894845301,0.046875,after_step,1,5.830951894845301,0,0,generated:hybrid_reduce_audit
False,False,0,0.125,False,False,0.875,284.66471505966456,128,1,[0],False,0.09375,5.477225575051661,0.09375,after_step,0,5.477225575051661,0,1,generated:hybrid_reduce_audit
False,True,1,0.25,False,False,0.75,244.0696621868437,256,2,"[0, 1]",False,0.0546875,5.477225575051661,0.0546875,after_step,0,5.477225575051661,1,1,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.59796204470615,128,1,[2],False,0.0625,4.0,0.0625,after_step,0,4.0,0,1,generated:hybrid_reduce_audit
