active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.33782724076656,128,1,[0],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,generated:hybrid_reduce_audit
False,False,1,0.125,False,False,0.875,285.0333313842435,128,1,[1],False,0.015625,1.4142135623730951,0.015625,initial,0,1.4142135623730951,0,-1,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.52767879417286,128,1,[2],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:hybrid_reduce_audit
False,False,3,0.125,False,False,0.875,284.6155301454929,128,1,[3],False,0.0625,4.69041575982343,0.0625,initial,0,4.69041575982343,0,-1,generated:hybrid_reduce_audit
False,False,4,0.125,False,False,0.875,284.2358175881428,128,1,[4],False,0.09375,5.830951894845301,0.09375,initial,0,5.830951894845301,0,-1,generated:hybrid_reduce_audit
False,False,5,0.125,False,False,0.875,283.9964788514111,128,1,[5],False,0.0625,4.47213595499958,0.0625,initial,0,4.47213595499958,0,-1,generated:hybrid_reduce_audit
False,False,6,0.125,False,False,0.875,284.1337713120353,128,1,[6],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:hybrid_reduce_audit
False,False,7,0.125,False,False,0.875,284.67525357852935,128,1,[7],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,generated:hybrid_reduce_audit
False,True,0,0.125,False,False,0.875,284.33782724076656,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,generated:hybrid_reduce_audit
True,False,1,0.25,False,False,0.75,244.58945193936717,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,generated:hybrid_reduce_audit
False,True,2,0.125,False,False,0.875,284.52767879417286,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,generated:hybrid_reduce_audit
True,False,3,0.25,False,False,0.75,244.41767530193064,256,2,"[2, 3]",False,0.046875,6.164414002968976,0.046875,after_step,1,6.164414002968976,0,0,generated:hybrid_reduce_audit
False,True,4,0.125,False,False,0.875,284.2358175881428,128,1,[4],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,1,0,generated:hybrid_reduce_audit
True,False,5,0.25,False,False,0.75,243.44198487524702,256,2,"[4, 5]",False,0.0703125,7.0710678118654755,0.0703125,after_step,1,7.0710678118654755,0,0,generated:hybrid_reduce_audit
False,True,6,0.125,False,False,0.875,284.1337713120353,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,generated:hybrid_reduce_audit
True,False,7,0.25,False,False,0.75,243.78679209505998,256,2,"[6, 7]",False,0.0625,7.0710678118654755,0.0625,after_step,1,7.0710678118654755,0,0,generated:hybrid_reduce_audit
False,False,0,0.125,False,False,0.875,284.33782724076656,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,generated:hybrid_reduce_audit
False,True,1,0.25,False,False,0.75,244.58945193936717,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,0,4.0,1,1,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.52767879417286,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,0,1,generated:hybrid_reduce_audit
True,False,3,0.5,False,False,0.5,163.8596960817394,512,4,"[0, 1, 2, 3]",False,0.04296875,9.486832980505138,0.04296875,after_step,1,9.486832980505138,0,1,generated:hybrid_reduce_audit
False,False,4,0.125,False,False,0.875,284.2358175881428,128,1,[4],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,0,1,generated:hybrid_reduce_audit
False,True,5,0.25,False,False,0.75,243.44198487524702,256,2,"[4, 5]",False,0.0703125,7.0710678118654755,0.0703125,after_step,0,7.0710678118654755,1,1,generated:hybrid_reduce_audit
False,False,6,0.125,False,False,0.875,284.1337713120353,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,generated:hybrid_reduce_audit
True,False,7,0.5,False,False,0.5,163.02760502442524,512,4,"[4, 5, 6, 7]",False,0.05859375,12.569805089976535,0.05859375,after_step,1,12.569805089976535,0,1,generated:hybrid_reduce_audit
False,True,0,0.125,False,False,0.875,284.33782724076656,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,2,generated:hybrid_reduce_audit
False,False,1,0.25,False,False,0.75,244.58945193936717,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,0,4.0,0,2,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.52767879417286,128,1,[2],False,0.03125,2.0,0.03125,after_step,0,2.0,0,2,generated:hybrid_reduce_audit
False,True,3,0.5,False,False,0.5,163.8596960817394,512,4,"[0, 1, 2, 3]",False,0.04296875,9.486832980505138,0.04296875,after_step,0,9.486832980505138,1,2,generated:hybrid_reduce_audit
False,False,4,0.125,False,False,0.875,284.2358175881428,128,1,[4],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,0,2,generated:hybrid_reduce_audit
False,False,5,0.25,False,False,0.75,243.44198487524702,256,2,"[4, 5]",False,0.0703125,7.0710678118654755,0.0703125,after_step,0,7.0710678118654755,0,2,generated:hybrid_reduce_audit
False,False,6,0.125,False,False,0.875,284.1337713120353,128,1,[6],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,generated:hybrid_reduce_audit
True,False,7,1.0,False,False,0.05078125,21.02379604162864,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05078125,21.02379604162864,0.05078125,after_step,2,21.02379604162864,0,2,generated:hybrid_reduce_audit
