active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8798828125,286.18001327835594,128,1,[0],False,0.0390625,2.23606797749979,0.0390625,initial,0,2.23606797749979,0,-1,mesh_star
False,False,1,0.125,False,False,0.875,284.17248283392956,128,1,[1],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,mesh_star
False,False,2,0.125,False,False,0.875,284.5101052686881,128,1,[2],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,mesh_star
False,False,3,0.125,False,False,0.875,284.1865584435689,128,1,[3],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,mesh_star
False,False,4,0.125,False,False,0.880859375,286.6286796536592,128,1,[4],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,mesh_star
False,False,5,0.125,False,False,0.8671875,281.9219750214587,128,1,[5],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,mesh_star
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,initial,0,13.490737563232042,0,-1,mesh_star
False,False,7,0.125,False,False,0.8798828125,285.8863410518243,128,1,[7],False,0.0546875,3.3166247903554,0.0546875,initial,0,3.3166247903554,0,-1,mesh_star
True,True,0,1.0,False,False,0.095703125,35.749125863438955,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,35.749125863438955,0.095703125,after_step,7,35.749125863438955,7,0,mesh_star
True,True,1,1.0,False,False,0.0625,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0625,23.323807579381203,0.0625,after_step,7,23.323807579381203,7,0,mesh_star
True,True,2,1.0,False,False,0.044921875,18.76166303929372,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.044921875,18.76166303929372,0.044921875,after_step,7,18.76166303929372,7,0,mesh_star
True,True,3,1.0,False,False,0.068359375,28.21347195933177,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.068359375,28.21347195933177,0.068359375,after_step,7,28.21347195933177,7,0,mesh_star
True,True,4,1.0,False,False,0.04296875,18.2208671582886,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,18.2208671582886,0.04296875,after_step,7,18.2208671582886,7,0,mesh_star
True,True,5,1.0,False,False,0.0390625,15.427248620541512,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0390625,15.427248620541512,0.0390625,after_step,7,15.427248620541512,7,0,mesh_star
True,True,6,1.0,False,False,0.048828125,19.79898987322333,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.048828125,19.79898987322333,0.048828125,after_step,7,19.79898987322333,7,0,mesh_star
True,True,7,1.0,False,False,0.0625,23.021728866442675,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0625,23.021728866442675,0.0625,after_step,7,23.021728866442675,7,0,mesh_star
False,True,0,1.0,False,False,0.095703125,35.749125863438955,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,35.749125863438955,0.095703125,after_step,0,35.749125863438955,1,1,mesh_star
False,True,1,1.0,False,False,0.0625,23.323807579381203,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0625,23.323807579381203,0.0625,after_step,0,23.323807579381203,1,1,mesh_star
False,True,2,1.0,False,False,0.044921875,18.76166303929372,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.044921875,18.76166303929372,0.044921875,after_step,0,18.76166303929372,1,1,mesh_star
False,True,3,1.0,False,False,0.068359375,28.21347195933177,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.068359375,28.21347195933177,0.068359375,after_step,0,28.21347195933177,1,1,mesh_star
False,True,4,1.0,False,False,0.04296875,18.2208671582886,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,18.2208671582886,0.04296875,after_step,0,18.2208671582886,1,1,mesh_star
False,True,5,1.0,False,False,0.0390625,15.427248620541512,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0390625,15.427248620541512,0.0390625,after_step,0,15.427248620541512,1,1,mesh_star
False,True,6,1.0,False,False,0.048828125,19.79898987322333,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.048828125,19.79898987322333,0.048828125,after_step,0,19.79898987322333,1,1,mesh_star
True,False,7,1.0,False,False,0.0478515625,19.87460691435179,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0478515625,19.87460691435179,0.0478515625,after_step,7,19.87460691435179,0,1,mesh_star
