active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,mesh_star
False,False,1,0.125,False,False,0.875,284.94911826499833,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,mesh_star
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,initial,0,6.0,0,-1,mesh_star
False,False,3,0.125,False,False,0.8828125,287.130632291297,128,1,[3],False,0.078125,5.656854249492381,0.078125,initial,0,5.656854249492381,0,-1,mesh_star
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,mesh_star
False,False,5,0.125,False,False,0.875,284.7455004034304,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,mesh_star
False,False,6,0.125,False,False,0.8740234375,284.63485380395707,128,1,[6],False,0.0390625,2.6457513110645907,0.0390625,initial,0,2.6457513110645907,0,-1,mesh_star
False,False,7,0.125,False,False,0.875,285.0964748992874,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,mesh_star
True,True,0,1.0,False,False,0.0673828125,27.83882181415011,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0673828125,27.83882181415011,0.0673828125,after_step,7,27.83882181415011,7,0,mesh_star
True,True,1,1.0,False,False,0.0654296875,27.073972741361768,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0654296875,27.073972741361768,0.0654296875,after_step,7,27.073972741361768,7,0,mesh_star
True,True,2,1.0,False,False,0.1171875,40.422765862815474,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1171875,40.422765862815474,0.1171875,after_step,7,40.422765862815474,7,0,mesh_star
True,True,3,1.0,False,False,0.0498046875,23.130067012440755,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0498046875,23.130067012440755,0.0498046875,after_step,7,23.130067012440755,7,0,mesh_star
True,True,4,1.0,False,False,0.0517578125,23.2163735324878,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0517578125,23.2163735324878,0.0517578125,after_step,7,23.2163735324878,7,0,mesh_star
True,True,5,1.0,False,False,0.0498046875,23.130067012440755,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0498046875,23.130067012440755,0.0498046875,after_step,7,23.130067012440755,7,0,mesh_star
True,True,6,1.0,False,False,0.1015625,38.65229618017538,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1015625,38.65229618017538,0.1015625,after_step,7,38.65229618017538,7,0,mesh_star
True,True,7,1.0,False,False,0.064453125,24.779023386727733,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,24.779023386727733,0.064453125,after_step,7,24.779023386727733,7,0,mesh_star
False,True,0,1.0,False,False,0.0673828125,27.83882181415011,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0673828125,27.83882181415011,0.0673828125,after_step,0,27.83882181415011,1,1,mesh_star
False,True,1,1.0,False,False,0.0654296875,27.073972741361768,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0654296875,27.073972741361768,0.0654296875,after_step,0,27.073972741361768,1,1,mesh_star
False,True,2,1.0,False,False,0.1171875,40.422765862815474,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1171875,40.422765862815474,0.1171875,after_step,0,40.422765862815474,1,1,mesh_star
False,True,3,1.0,False,False,0.0498046875,23.130067012440755,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0498046875,23.130067012440755,0.0498046875,after_step,0,23.130067012440755,1,1,mesh_star
False,True,4,1.0,False,False,0.0517578125,23.2163735324878,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0517578125,23.2163735324878,0.0517578125,after_step,0,23.2163735324878,1,1,mesh_star
False,True,5,1.0,False,False,0.0498046875,23.130067012440755,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0498046875,23.130067012440755,0.0498046875,after_step,0,23.130067012440755,1,1,mesh_star
False,True,6,1.0,False,False,0.1015625,38.65229618017538,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.1015625,38.65229618017538,0.1015625,after_step,0,38.65229618017538,1,1,mesh_star
True,False,7,1.0,False,False,0.064453125,24.779023386727733,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,24.779023386727733,0.064453125,after_step,7,24.779023386727733,0,1,mesh_star
