active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.865234375,281.7019701741541,128,1,[0],False,0.09375,6.324555320336759,0.09375,initial,0,6.324555320336759,0,-1,tree
False,False,1,0.125,False,False,0.86328125,281.34676113294785,128,1,[1],False,0.15625,8.48528137423857,0.15625,initial,0,8.48528137423857,0,-1,tree
False,False,2,0.125,False,False,0.875,284.69984193883914,128,1,[2],False,0.078125,3.4641016151377544,0.078125,initial,0,3.4641016151377544,0,-1,tree
False,False,3,0.125,False,False,0.876953125,285.268294768276,128,1,[3],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,tree
False,False,4,0.125,False,False,0.884765625,288.11803136909015,128,1,[4],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,tree
False,False,5,0.125,False,False,0.884765625,288.3331406550416,128,1,[5],False,0.078125,4.47213595499958,0.078125,initial,0,4.47213595499958,0,-1,tree
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,tree
False,False,7,0.125,False,False,0.875,285.0087717948344,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,tree
False,True,0,0.125,False,False,0.865234375,281.7019701741541,128,1,[0],False,0.09375,6.324555320336759,0.09375,after_step,0,6.324555320336759,1,0,tree
True,False,1,0.25,False,False,0.728515625,237.714114010927,256,2,"[0, 1]",False,0.125,13.038404810405298,0.125,after_step,1,13.038404810405298,0,0,tree
False,True,2,0.125,False,False,0.875,284.69984193883914,128,1,[2],False,0.078125,3.4641016151377544,0.078125,after_step,0,3.4641016151377544,1,0,tree
True,False,3,0.25,False,False,0.751953125,244.6139816118449,256,2,"[2, 3]",False,0.0546875,5.830951894845301,0.0546875,after_step,1,5.830951894845301,0,0,tree
False,True,4,0.125,False,False,0.884765625,288.11803136909015,128,1,[4],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,1,0,tree
True,False,5,0.25,False,False,0.76953125,251.23693995907527,256,2,"[4, 5]",False,0.078125,9.055385138137417,0.078125,after_step,1,9.055385138137417,0,0,tree
False,True,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,1,0,tree
True,False,7,0.25,False,False,0.759765625,248.12899870833317,256,2,"[6, 7]",False,0.046875,5.0990195135927845,0.046875,after_step,1,5.0990195135927845,0,0,tree
False,False,0,0.125,False,False,0.865234375,281.7019701741541,128,1,[0],False,0.09375,6.324555320336759,0.09375,after_step,0,6.324555320336759,0,1,tree
False,True,1,0.25,False,False,0.728515625,237.714114010927,256,2,"[0, 1]",False,0.125,13.038404810405298,0.125,after_step,0,13.038404810405298,1,1,tree
False,False,2,0.125,False,False,0.875,284.69984193883914,128,1,[2],False,0.078125,3.4641016151377544,0.078125,after_step,0,3.4641016151377544,0,1,tree
True,False,3,0.5,False,False,0.48046875,157.11779020849295,512,4,"[0, 1, 2, 3]",False,0.07421875,15.556349186104045,0.07421875,after_step,1,15.556349186104045,0,1,tree
False,False,4,0.125,False,False,0.884765625,288.11803136909015,128,1,[4],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,1,tree
False,True,5,0.25,False,False,0.76953125,251.23693995907527,256,2,"[4, 5]",False,0.078125,9.055385138137417,0.078125,after_step,0,9.055385138137417,1,1,tree
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,1,tree
True,False,7,0.5,False,False,0.529296875,174.6081326857372,512,4,"[4, 5, 6, 7]",False,0.0625,13.114877048604,0.0625,after_step,1,13.114877048604,0,1,tree
False,False,0,0.125,False,False,0.865234375,281.7019701741541,128,1,[0],False,0.09375,6.324555320336759,0.09375,after_step,0,6.324555320336759,0,2,tree
False,False,1,0.25,False,False,0.728515625,237.714114010927,256,2,"[0, 1]",False,0.125,13.038404810405298,0.125,after_step,0,13.038404810405298,0,2,tree
False,False,2,0.125,False,False,0.875,284.69984193883914,128,1,[2],False,0.078125,3.4641016151377544,0.078125,after_step,0,3.4641016151377544,0,2,tree
False,True,3,0.5,False,False,0.48046875,157.11779020849295,512,4,"[0, 1, 2, 3]",False,0.07421875,15.556349186104045,0.07421875,after_step,0,15.556349186104045,1,2,tree
False,False,4,0.125,False,False,0.884765625,288.11803136909015,128,1,[4],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,2,tree
False,False,5,0.25,False,False,0.76953125,251.23693995907527,256,2,"[4, 5]",False,0.078125,9.055385138137417,0.078125,after_step,0,9.055385138137417,0,2,tree
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,2,tree
True,False,7,1.0,False,False,0.046875,16.852299546352718,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.046875,16.852299546352718,0.046875,after_step,1,16.852299546352718,0,2,tree
