active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,tree
False,False,1,0.125,False,False,0.875,284.8648802502688,128,1,[1],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.125,6.0,0.125,initial,0,6.0,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.89928794632334,128,1,[3],False,0.109375,8.48528137423857,0.109375,initial,0,8.48528137423857,0,-1,tree
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,tree
False,False,5,0.125,False,False,0.875,284.7455004034304,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.0625,4.69041575982343,0.0625,initial,0,4.69041575982343,0,-1,tree
False,False,7,0.125,False,False,0.875,285.0052631092977,128,1,[7],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,True,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,1,0,tree
True,False,1,0.25,False,False,0.759765625,246.9817807045694,256,2,"[0, 1]",False,0.0703125,7.615773105863909,0.0703125,after_step,1,7.615773105863909,0,0,tree
False,True,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,1,0,tree
True,False,3,0.25,False,False,0.759765625,247.73372802264936,256,2,"[2, 3]",False,0.0703125,6.928203230275509,0.0703125,after_step,1,6.928203230275509,0,0,tree
False,True,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,1,0,tree
True,False,5,0.25,False,False,0.759765625,247.24077333643817,256,2,"[4, 5]",False,0.046875,5.656854249492381,0.046875,after_step,1,5.656854249492381,0,0,tree
False,True,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.0625,4.69041575982343,0.0625,after_step,0,4.69041575982343,1,0,tree
True,False,7,0.25,False,False,0.75,245.37726056014236,256,2,"[6, 7]",False,0.0390625,4.242640687119285,0.0390625,after_step,1,4.242640687119285,0,0,tree
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,0,1,tree
False,True,1,0.25,False,False,0.759765625,246.9817807045694,256,2,"[0, 1]",False,0.0703125,7.615773105863909,0.0703125,after_step,0,7.615773105863909,1,1,tree
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,0,1,tree
True,False,3,0.5,False,False,0.51953125,169.88819853068077,512,4,"[0, 1, 2, 3]",False,0.0703125,14.212670403551895,0.0703125,after_step,1,14.212670403551895,0,1,tree
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,1,tree
False,True,5,0.25,False,False,0.759765625,247.24077333643817,256,2,"[4, 5]",False,0.046875,5.656854249492381,0.046875,after_step,0,5.656854249492381,1,1,tree
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.0625,4.69041575982343,0.0625,after_step,0,4.69041575982343,0,1,tree
True,False,7,0.5,False,False,0.509765625,167.85112451217,512,4,"[4, 5, 6, 7]",False,0.02734375,7.483314773547883,0.02734375,after_step,1,7.483314773547883,0,1,tree
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,0,2,tree
False,False,1,0.25,False,False,0.759765625,246.9817807045694,256,2,"[0, 1]",False,0.0703125,7.615773105863909,0.0703125,after_step,0,7.615773105863909,0,2,tree
False,False,2,0.125,False,False,0.875,284.9034924320866,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,0,2,tree
False,True,3,0.5,False,False,0.51953125,169.88819853068077,512,4,"[0, 1, 2, 3]",False,0.0703125,14.212670403551895,0.0703125,after_step,0,14.212670403551895,1,2,tree
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,2,tree
False,False,5,0.25,False,False,0.759765625,247.24077333643817,256,2,"[4, 5]",False,0.046875,5.656854249492381,0.046875,after_step,0,5.656854249492381,0,2,tree
False,False,6,0.125,False,False,0.875,285.00175438056516,128,1,[6],False,0.0625,4.69041575982343,0.0625,after_step,0,4.69041575982343,0,2,tree
True,False,7,1.0,False,False,0.046875,20.639767440550294,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.046875,20.639767440550294,0.046875,after_step,1,20.639767440550294,0,2,tree
