active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.55579417752153,128,1,[0],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,1,0.125,False,False,0.875,284.13729075923845,128,1,[1],False,0.0625,4.242640687119285,0.0625,initial,0,4.242640687119285,0,-1,tree
False,False,2,0.125,False,False,0.875,284.5101052686881,128,1,[2],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,tree
False,False,3,0.125,False,False,0.875,284.17952072589605,128,1,[3],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,4,0.125,False,False,0.884765625,287.7915912600644,128,1,[4],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,tree
False,False,5,0.125,False,False,0.8671875,281.9219750214587,128,1,[5],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,initial,0,13.490737563232042,0,-1,tree
False,False,7,0.125,False,False,0.875,284.26044395940846,128,1,[7],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,tree
False,True,0,0.125,False,False,0.875,284.55579417752153,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,tree
True,False,1,0.25,False,False,0.75,243.79089400549807,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,1,4.69041575982343,0,0,tree
False,True,2,0.125,False,False,0.875,284.5101052686881,128,1,[2],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,1,0,tree
True,False,3,0.25,False,False,0.75,243.89341934541818,256,2,"[2, 3]",False,0.0703125,7.211102550927978,0.0703125,after_step,1,7.211102550927978,0,0,tree
False,True,4,0.125,False,False,0.884765625,287.7915912600644,128,1,[4],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,1,0,tree
True,False,5,0.25,False,False,0.751953125,244.81421527354166,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,1,3.1622776601683795,0,0,tree
False,True,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,1,0,tree
True,False,7,0.25,False,False,0.77734375,252.75284370309268,256,2,"[6, 7]",False,0.125,13.416407864998739,0.125,after_step,1,13.416407864998739,0,0,tree
False,False,0,0.125,False,False,0.875,284.55579417752153,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,tree
False,True,1,0.25,False,False,0.75,243.79089400549807,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,0,4.69041575982343,1,1,tree
False,False,2,0.125,False,False,0.875,284.5101052686881,128,1,[2],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,1,tree
True,False,3,0.5,False,False,0.5,162.72676485446394,512,4,"[0, 1, 2, 3]",False,0.046875,8.94427190999916,0.046875,after_step,1,8.94427190999916,0,1,tree
False,False,4,0.125,False,False,0.884765625,287.7915912600644,128,1,[4],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,1,tree
False,True,5,0.25,False,False,0.751953125,244.81421527354166,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,1,1,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,0,1,tree
True,False,7,0.5,False,False,0.529296875,172.673101553195,512,4,"[4, 5, 6, 7]",False,0.07421875,14.142135623730951,0.07421875,after_step,1,14.142135623730951,0,1,tree
False,False,0,0.125,False,False,0.875,284.55579417752153,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,2,tree
False,False,1,0.25,False,False,0.75,243.79089400549807,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,0,4.69041575982343,0,2,tree
False,False,2,0.125,False,False,0.875,284.5101052686881,128,1,[2],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,2,tree
False,True,3,0.5,False,False,0.5,162.72676485446394,512,4,"[0, 1, 2, 3]",False,0.046875,8.94427190999916,0.046875,after_step,0,8.94427190999916,1,2,tree
False,False,4,0.125,False,False,0.884765625,287.7915912600644,128,1,[4],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,0,2,tree
False,False,5,0.25,False,False,0.751953125,244.81421527354166,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,0,2,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,0,2,tree
True,False,7,1.0,False,False,0.04296875,16.852299546352718,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,16.852299546352718,0.04296875,after_step,1,16.852299546352718,0,2,tree
