active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.865234375,281.82263926093657,128,1,[0],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,mesh_star
False,False,1,0.125,False,False,0.86328125,281.34676113294785,128,1,[1],False,0.15625,8.48528137423857,0.15625,initial,0,8.48528137423857,0,-1,mesh_star
False,False,2,0.125,False,False,0.875,284.5698508275253,128,1,[2],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,mesh_star
False,False,3,0.125,False,False,0.875,284.7560359325154,128,1,[3],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,mesh_star
False,False,4,0.125,False,False,0.875,284.92806109613,128,1,[4],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,mesh_star
False,False,5,0.125,False,False,0.884765625,288.52382917187276,128,1,[5],False,0.078125,5.656854249492381,0.078125,initial,0,5.656854249492381,0,-1,mesh_star
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,mesh_star
False,False,7,0.125,False,False,0.875,285.0403480211179,128,1,[7],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,mesh_star
True,True,0,1.0,False,False,0.052734375,21.863211109075447,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,21.863211109075447,0.052734375,after_step,7,21.863211109075447,7,0,mesh_star
True,True,1,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,7,17.26267650163207,7,0,mesh_star
True,True,2,1.0,False,False,0.05859375,27.27636339397171,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,27.27636339397171,0.05859375,after_step,7,27.27636339397171,7,0,mesh_star
True,True,3,1.0,False,False,0.052734375,22.315913604421397,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,22.315913604421397,0.052734375,after_step,7,22.315913604421397,7,0,mesh_star
True,True,4,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,7,17.26267650163207,7,0,mesh_star
True,True,5,1.0,False,False,0.05078125,20.0,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05078125,20.0,0.05078125,after_step,7,20.0,7,0,mesh_star
True,True,6,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,7,17.26267650163207,7,0,mesh_star
True,True,7,1.0,False,False,0.09765625,39.370039370059054,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.09765625,39.370039370059054,0.09765625,after_step,7,39.370039370059054,7,0,mesh_star
False,True,0,1.0,False,False,0.052734375,21.863211109075447,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,21.863211109075447,0.052734375,after_step,0,21.863211109075447,1,1,mesh_star
False,True,1,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,0,17.26267650163207,1,1,mesh_star
False,True,2,1.0,False,False,0.05859375,27.27636339397171,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05859375,27.27636339397171,0.05859375,after_step,0,27.27636339397171,1,1,mesh_star
False,True,3,1.0,False,False,0.052734375,22.315913604421397,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,22.315913604421397,0.052734375,after_step,0,22.315913604421397,1,1,mesh_star
False,True,4,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,0,17.26267650163207,1,1,mesh_star
False,True,5,1.0,False,False,0.05078125,20.0,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.05078125,20.0,0.05078125,after_step,0,20.0,1,1,mesh_star
False,True,6,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,0,17.26267650163207,1,1,mesh_star
True,False,7,1.0,False,False,0.04296875,17.26267650163207,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.04296875,17.26267650163207,0.04296875,after_step,7,17.26267650163207,0,1,mesh_star
