active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.865234375,281.82973583353476,128,1,[0],False,0.09375,4.898979485566356,0.09375,initial,0,4.898979485566356,0,-1,tree
False,False,1,0.125,False,False,0.86328125,281.34676113294785,128,1,[1],False,0.15625,8.48528137423857,0.15625,initial,0,8.48528137423857,0,-1,tree
False,False,2,0.125,False,False,0.875,284.8719010362377,128,1,[2],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,tree
False,False,3,0.125,False,False,0.875,284.6295838453902,128,1,[3],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,4,0.125,False,False,0.884765625,288.22560607968194,128,1,[4],False,0.109375,6.164414002968976,0.109375,initial,0,6.164414002968976,0,-1,tree
False,False,5,0.125,False,False,0.884765625,288.294987816299,128,1,[5],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,tree
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,tree
False,False,7,0.125,False,False,0.865234375,281.65226787654314,128,1,[7],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,tree
False,True,0,0.125,False,False,0.865234375,281.82973583353476,128,1,[0],False,0.09375,4.898979485566356,0.09375,after_step,0,4.898979485566356,1,0,tree
True,False,1,0.25,False,False,0.728515625,237.86550821840478,256,2,"[0, 1]",False,0.125,12.806248474865697,0.125,after_step,1,12.806248474865697,0,0,tree
False,True,2,0.125,False,False,0.875,284.8719010362377,128,1,[2],False,0.09375,6.0,0.09375,after_step,0,6.0,1,0,tree
True,False,3,0.25,False,False,0.75,244.15159225366523,256,2,"[2, 3]",False,0.078125,9.38083151964686,0.078125,after_step,1,9.38083151964686,0,0,tree
False,True,4,0.125,False,False,0.884765625,288.22560607968194,128,1,[4],False,0.109375,6.164414002968976,0.109375,after_step,0,6.164414002968976,1,0,tree
True,False,5,0.25,False,False,0.76953125,251.29265807022696,256,2,"[4, 5]",False,0.078125,9.273618495495704,0.078125,after_step,1,9.273618495495704,0,0,tree
False,True,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,1,0,tree
True,False,7,0.25,False,False,0.75,244.79379077092622,256,2,"[6, 7]",False,0.03125,3.7416573867739413,0.03125,after_step,1,3.7416573867739413,0,0,tree
False,False,0,0.125,False,False,0.865234375,281.82973583353476,128,1,[0],False,0.09375,4.898979485566356,0.09375,after_step,0,4.898979485566356,0,1,tree
False,True,1,0.25,False,False,0.728515625,237.86550821840478,256,2,"[0, 1]",False,0.125,12.806248474865697,0.125,after_step,0,12.806248474865697,1,1,tree
False,False,2,0.125,False,False,0.875,284.8719010362377,128,1,[2],False,0.09375,6.0,0.09375,after_step,0,6.0,0,1,tree
True,False,3,0.5,False,False,0.478515625,156.87574701017363,512,4,"[0, 1, 2, 3]",False,0.0859375,17.08800749063506,0.0859375,after_step,1,17.08800749063506,0,1,tree
False,False,4,0.125,False,False,0.884765625,288.22560607968194,128,1,[4],False,0.109375,6.164414002968976,0.109375,after_step,0,6.164414002968976,0,1,tree
False,True,5,0.25,False,False,0.76953125,251.29265807022696,256,2,"[4, 5]",False,0.078125,9.273618495495704,0.078125,after_step,0,9.273618495495704,1,1,tree
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,1,tree
True,False,7,0.5,False,False,0.51953125,171.32425397473645,512,4,"[4, 5, 6, 7]",False,0.046875,9.273618495495704,0.046875,after_step,1,9.273618495495704,0,1,tree
False,False,0,0.125,False,False,0.865234375,281.82973583353476,128,1,[0],False,0.09375,4.898979485566356,0.09375,after_step,0,4.898979485566356,0,2,tree
False,False,1,0.25,False,False,0.728515625,237.86550821840478,256,2,"[0, 1]",False,0.125,12.806248474865697,0.125,after_step,0,12.806248474865697,0,2,tree
False,False,2,0.125,False,False,0.875,284.8719010362377,128,1,[2],False,0.09375,6.0,0.09375,after_step,0,6.0,0,2,tree
False,True,3,0.5,False,False,0.478515625,156.87574701017363,512,4,"[0, 1, 2, 3]",False,0.0859375,17.08800749063506,0.0859375,after_step,0,17.08800749063506,1,2,tree
False,False,4,0.125,False,False,0.884765625,288.22560607968194,128,1,[4],False,0.109375,6.164414002968976,0.109375,after_step,0,6.164414002968976,0,2,tree
False,False,5,0.25,False,False,0.76953125,251.29265807022696,256,2,"[4, 5]",False,0.078125,9.273618495495704,0.078125,after_step,0,9.273618495495704,0,2,tree
False,False,6,0.125,False,False,0.884765625,288.4406351400579,128,1,[6],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,2,tree
True,False,7,1.0,False,False,0.046875,19.026297590440446,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.046875,19.026297590440446,0.046875,after_step,1,19.026297590440446,0,2,tree
