active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.77008269830594,128,1,[0],False,0.0625,4.47213595499958,0.0625,initial,0,4.47213595499958,0,-1,tree
False,False,1,0.125,False,False,0.875,284.1196930872621,128,1,[1],False,0.078125,5.0990195135927845,0.078125,initial,0,5.0990195135927845,0,-1,tree
False,False,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,3,0.125,False,False,0.875,284.1865584435689,128,1,[3],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,4,0.125,False,False,0.880859375,286.6286796536592,128,1,[4],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,5,0.125,False,False,0.8671875,281.9219750214587,128,1,[5],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,initial,0,13.490737563232042,0,-1,tree
False,False,7,0.125,False,False,0.875,284.42222135409884,128,1,[7],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,True,0,0.125,False,False,0.875,284.77008269830594,128,1,[0],False,0.0625,4.47213595499958,0.0625,after_step,0,4.47213595499958,1,0,tree
True,False,1,0.25,False,False,0.75,243.94671549336343,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,1,4.0,0,0,tree
False,True,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,tree
True,False,3,0.25,False,False,0.75,243.74987179483807,256,2,"[2, 3]",False,0.046875,4.69041575982343,0.046875,after_step,1,4.69041575982343,0,0,tree
False,True,4,0.125,False,False,0.880859375,286.6286796536592,128,1,[4],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,tree
True,False,5,0.25,False,False,0.748046875,243.68422189382719,256,2,"[4, 5]",False,0.0390625,4.242640687119285,0.0390625,after_step,1,4.242640687119285,0,0,tree
False,True,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,1,0,tree
True,False,7,0.25,False,False,0.77734375,252.93477420078085,256,2,"[6, 7]",False,0.1171875,12.649110640673518,0.1171875,after_step,1,12.649110640673518,0,0,tree
False,False,0,0.125,False,False,0.875,284.77008269830594,128,1,[0],False,0.0625,4.47213595499958,0.0625,after_step,0,4.47213595499958,0,1,tree
False,True,1,0.25,False,False,0.75,243.94671549336343,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,0,4.0,1,1,tree
False,False,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,1,tree
True,False,3,0.5,False,False,0.5,162.73291000900832,512,4,"[0, 1, 2, 3]",False,0.0390625,7.745966692414834,0.0390625,after_step,1,7.745966692414834,0,1,tree
False,False,4,0.125,False,False,0.880859375,286.6286796536592,128,1,[4],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,tree
False,True,5,0.25,False,False,0.748046875,243.68422189382719,256,2,"[4, 5]",False,0.0390625,4.242640687119285,0.0390625,after_step,0,4.242640687119285,1,1,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,0,1,tree
True,False,7,0.5,False,False,0.525390625,171.7672844286711,512,4,"[4, 5, 6, 7]",False,0.06640625,13.114877048604,0.06640625,after_step,1,13.114877048604,0,1,tree
False,False,0,0.125,False,False,0.875,284.77008269830594,128,1,[0],False,0.0625,4.47213595499958,0.0625,after_step,0,4.47213595499958,0,2,tree
False,False,1,0.25,False,False,0.75,243.94671549336343,256,2,"[0, 1]",False,0.0390625,4.0,0.0390625,after_step,0,4.0,0,2,tree
False,False,2,0.125,False,False,0.875,284.3659613948195,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,0,2,tree
False,True,3,0.5,False,False,0.5,162.73291000900832,512,4,"[0, 1, 2, 3]",False,0.0390625,7.745966692414834,0.0390625,after_step,0,7.745966692414834,1,2,tree
False,False,4,0.125,False,False,0.880859375,286.6286796536592,128,1,[4],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,2,tree
False,False,5,0.25,False,False,0.748046875,243.68422189382719,256,2,"[4, 5]",False,0.0390625,4.242640687119285,0.0390625,after_step,0,4.242640687119285,0,2,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,0,2,tree
True,False,7,1.0,False,False,0.041015625,16.3707055437449,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.041015625,16.3707055437449,0.041015625,after_step,1,16.3707055437449,0,2,tree
