active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,tree
False,False,1,0.125,False,False,0.875,284.94911826499833,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,2,0.125,False,False,0.875,284.8648802502688,128,1,[2],False,0.140625,7.615773105863909,0.140625,initial,0,7.615773105863909,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.7846417027844,128,1,[3],False,0.09375,6.164414002968976,0.09375,initial,0,6.164414002968976,0,-1,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.15625,9.16515138991168,0.15625,initial,0,9.16515138991168,0,-1,tree
False,False,5,0.125,False,False,0.880859375,286.7437880756966,128,1,[5],False,0.078125,5.477225575051661,0.078125,initial,0,5.477225575051661,0,-1,tree
False,False,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,initial,0,3.7416573867739413,0,-1,tree
False,False,7,0.125,False,False,0.875,285.0052631092977,128,1,[7],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,True,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,1,0,tree
True,False,1,0.25,False,False,0.759765625,247.06274506691614,256,2,"[0, 1]",False,0.0703125,8.366600265340756,0.0703125,after_step,1,8.366600265340756,0,0,tree
False,True,2,0.125,False,False,0.875,284.8648802502688,128,1,[2],False,0.140625,7.615773105863909,0.140625,after_step,0,7.615773105863909,1,0,tree
True,False,3,0.25,False,False,0.759765625,247.55605425842447,256,2,"[2, 3]",False,0.0703125,6.782329983125268,0.0703125,after_step,1,6.782329983125268,0,0,tree
False,True,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.15625,9.16515138991168,0.15625,after_step,0,9.16515138991168,1,0,tree
True,False,5,0.25,False,False,0.755859375,246.02032436365903,256,2,"[4, 5]",False,0.046875,5.830951894845301,0.046875,after_step,1,5.830951894845301,0,0,tree
False,True,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,after_step,0,3.7416573867739413,1,0,tree
True,False,7,0.25,False,False,0.75,245.31612258471722,256,2,"[6, 7]",False,0.03125,3.4641016151377544,0.03125,after_step,1,3.4641016151377544,0,0,tree
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,0,1,tree
False,True,1,0.25,False,False,0.759765625,247.06274506691614,256,2,"[0, 1]",False,0.0703125,8.366600265340756,0.0703125,after_step,0,8.366600265340756,1,1,tree
False,False,2,0.125,False,False,0.875,284.8648802502688,128,1,[2],False,0.140625,7.615773105863909,0.140625,after_step,0,7.615773105863909,0,1,tree
True,False,3,0.5,False,False,0.51953125,169.43435306926398,512,4,"[0, 1, 2, 3]",False,0.0625,12.165525060596439,0.0625,after_step,1,12.165525060596439,0,1,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.15625,9.16515138991168,0.15625,after_step,0,9.16515138991168,0,1,tree
False,True,5,0.25,False,False,0.755859375,246.02032436365903,256,2,"[4, 5]",False,0.046875,5.830951894845301,0.046875,after_step,0,5.830951894845301,1,1,tree
False,False,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,after_step,0,3.7416573867739413,0,1,tree
True,False,7,0.5,False,False,0.505859375,166.6553329479738,512,4,"[4, 5, 6, 7]",False,0.0234375,6.48074069840786,0.0234375,after_step,1,6.48074069840786,0,1,tree
False,False,0,0.125,False,False,0.884765625,287.17242207426534,128,1,[0],False,0.09375,6.0,0.09375,after_step,0,6.0,0,2,tree
False,False,1,0.25,False,False,0.759765625,247.06274506691614,256,2,"[0, 1]",False,0.0703125,8.366600265340756,0.0703125,after_step,0,8.366600265340756,0,2,tree
False,False,2,0.125,False,False,0.875,284.8648802502688,128,1,[2],False,0.140625,7.615773105863909,0.140625,after_step,0,7.615773105863909,0,2,tree
False,True,3,0.5,False,False,0.51953125,169.43435306926398,512,4,"[0, 1, 2, 3]",False,0.0625,12.165525060596439,0.0625,after_step,0,12.165525060596439,1,2,tree
False,False,4,0.125,False,False,0.875,284.2956207893467,128,1,[4],False,0.15625,9.16515138991168,0.15625,after_step,0,9.16515138991168,0,2,tree
False,False,5,0.25,False,False,0.755859375,246.02032436365903,256,2,"[4, 5]",False,0.046875,5.830951894845301,0.046875,after_step,0,5.830951894845301,0,2,tree
False,False,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,after_step,0,3.7416573867739413,0,2,tree
True,False,7,1.0,False,False,0.041015625,16.792855623746664,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.041015625,16.792855623746664,0.041015625,after_step,1,16.792855623746664,0,2,tree
