active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.90234375,292.9163703175362,128,1,[0],False,0.21875,10.583005244258363,0.21875,initial,0,10.583005244258363,0,-1,tree
False,False,1,0.125,False,False,0.875,284.7525241327985,128,1,[1],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,initial,0,6.0,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.7776919776792,128,1,[3],False,0.09375,6.928203230275509,0.09375,initial,0,6.928203230275509,0,-1,tree
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,tree
False,False,5,0.125,False,False,0.875,284.7455004034304,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,6,0.125,False,False,0.875,284.8859420891105,128,1,[6],False,0.046875,3.4641016151377544,0.046875,initial,0,3.4641016151377544,0,-1,tree
False,False,7,0.125,False,False,0.875,285.0052631092977,128,1,[7],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,True,0,0.125,False,False,0.90234375,292.9163703175362,128,1,[0],False,0.21875,10.583005244258363,0.21875,after_step,0,10.583005244258363,1,0,tree
True,False,1,0.25,False,False,0.77734375,252.57870060636546,256,2,"[0, 1]",False,0.1171875,11.224972160321824,0.1171875,after_step,1,11.224972160321824,0,0,tree
False,True,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,1,0,tree
True,False,3,0.25,False,False,0.76953125,251.03386225766437,256,2,"[2, 3]",False,0.109375,11.575836902790225,0.109375,after_step,1,11.575836902790225,0,0,tree
False,True,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,1,0,tree
True,False,5,0.25,False,False,0.759765625,247.24077333643817,256,2,"[4, 5]",False,0.046875,5.656854249492381,0.046875,after_step,1,5.656854249492381,0,0,tree
False,True,6,0.125,False,False,0.875,284.8859420891105,128,1,[6],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,1,0,tree
True,False,7,0.25,False,False,0.75,245.2508919453709,256,2,"[6, 7]",False,0.0234375,2.8284271247461903,0.0234375,after_step,1,2.8284271247461903,0,0,tree
False,False,0,0.125,False,False,0.90234375,292.9163703175362,128,1,[0],False,0.21875,10.583005244258363,0.21875,after_step,0,10.583005244258363,0,1,tree
False,True,1,0.25,False,False,0.77734375,252.57870060636546,256,2,"[0, 1]",False,0.1171875,11.224972160321824,0.1171875,after_step,0,11.224972160321824,1,1,tree
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,0,1,tree
True,False,3,0.5,False,False,0.546875,178.84071124886526,512,4,"[0, 1, 2, 3]",False,0.10546875,21.2602916254693,0.10546875,after_step,1,21.2602916254693,0,1,tree
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,1,tree
False,True,5,0.25,False,False,0.759765625,247.24077333643817,256,2,"[4, 5]",False,0.046875,5.656854249492381,0.046875,after_step,0,5.656854249492381,1,1,tree
False,False,6,0.125,False,False,0.875,284.8859420891105,128,1,[6],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,0,1,tree
True,False,7,0.5,False,False,0.509765625,167.68422704595682,512,4,"[4, 5, 6, 7]",False,0.02734375,7.0710678118654755,0.02734375,after_step,1,7.0710678118654755,0,1,tree
False,False,0,0.125,False,False,0.90234375,292.9163703175362,128,1,[0],False,0.21875,10.583005244258363,0.21875,after_step,0,10.583005244258363,0,2,tree
False,False,1,0.25,False,False,0.77734375,252.57870060636546,256,2,"[0, 1]",False,0.1171875,11.224972160321824,0.1171875,after_step,0,11.224972160321824,0,2,tree
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,0,2,tree
False,True,3,0.5,False,False,0.546875,178.84071124886526,512,4,"[0, 1, 2, 3]",False,0.10546875,21.2602916254693,0.10546875,after_step,0,21.2602916254693,1,2,tree
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,2,tree
False,False,5,0.25,False,False,0.759765625,247.24077333643817,256,2,"[4, 5]",False,0.046875,5.656854249492381,0.046875,after_step,0,5.656854249492381,0,2,tree
False,False,6,0.125,False,False,0.875,284.8859420891105,128,1,[6],False,0.046875,3.4641016151377544,0.046875,after_step,0,3.4641016151377544,0,2,tree
True,False,7,1.0,False,False,0.064453125,26.68332812825267,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.064453125,26.68332812825267,0.064453125,after_step,1,26.68332812825267,0,2,tree
