active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,288.0902636327719,128,1,[0],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,tree
False,False,1,0.125,False,False,0.875,284.6155301454929,128,1,[1],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,tree
False,False,2,0.125,False,False,0.884765625,288.3435450985508,128,1,[2],False,0.09375,6.48074069840786,0.09375,initial,0,6.48074069840786,0,-1,tree
False,False,3,0.125,False,False,0.875,284.4749549608893,128,1,[3],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,False,4,0.125,False,False,0.880859375,286.8135282722905,128,1,[4],False,0.0625,4.0,0.0625,initial,0,4.0,0,-1,tree
False,False,5,0.125,False,False,0.865234375,281.7055200027149,128,1,[5],False,0.09375,4.898979485566356,0.09375,initial,0,4.898979485566356,0,-1,tree
False,False,6,0.125,False,False,0.873046875,284.42222135409884,128,1,[6],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,tree
False,False,7,0.125,False,False,0.875,284.50307555455356,128,1,[7],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,tree
False,True,0,0.125,False,False,0.884765625,288.0902636327719,128,1,[0],False,0.078125,4.0,0.078125,after_step,0,4.0,1,0,tree
True,False,1,0.25,False,False,0.759765625,247.39442192579847,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,1,4.69041575982343,0,0,tree
False,True,2,0.125,False,False,0.884765625,288.3435450985508,128,1,[2],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,1,0,tree
True,False,3,0.25,False,False,0.759765625,247.38229524361682,256,2,"[2, 3]",False,0.0546875,6.0,0.0546875,after_step,1,6.0,0,0,tree
False,True,4,0.125,False,False,0.880859375,286.8135282722905,128,1,[4],False,0.0625,4.0,0.0625,after_step,0,4.0,1,0,tree
True,False,5,0.25,False,False,0.74609375,243.11725566072022,256,2,"[4, 5]",False,0.0625,6.324555320336759,0.0625,after_step,1,6.324555320336759,0,0,tree
False,True,6,0.125,False,False,0.873046875,284.42222135409884,128,1,[6],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,1,0,tree
True,False,7,0.25,False,False,0.748046875,243.58981916328113,256,2,"[6, 7]",False,0.0546875,5.656854249492381,0.0546875,after_step,1,5.656854249492381,0,0,tree
False,False,0,0.125,False,False,0.884765625,288.0902636327719,128,1,[0],False,0.078125,4.0,0.078125,after_step,0,4.0,0,1,tree
False,True,1,0.25,False,False,0.759765625,247.39442192579847,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,0,4.69041575982343,1,1,tree
False,False,2,0.125,False,False,0.884765625,288.3435450985508,128,1,[2],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,0,1,tree
True,False,3,0.5,False,False,0.51953125,169.45795938816212,512,4,"[0, 1, 2, 3]",False,0.04296875,7.874007874011811,0.04296875,after_step,1,7.874007874011811,0,1,tree
False,False,4,0.125,False,False,0.880859375,286.8135282722905,128,1,[4],False,0.0625,4.0,0.0625,after_step,0,4.0,0,1,tree
False,True,5,0.25,False,False,0.74609375,243.11725566072022,256,2,"[4, 5]",False,0.0625,6.324555320336759,0.0625,after_step,0,6.324555320336759,1,1,tree
False,False,6,0.125,False,False,0.873046875,284.42222135409884,128,1,[6],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,0,1,tree
True,False,7,0.5,False,False,0.494140625,161.41251500425858,512,4,"[4, 5, 6, 7]",False,0.05078125,10.0,0.05078125,after_step,1,10.0,0,1,tree
False,False,0,0.125,False,False,0.884765625,288.0902636327719,128,1,[0],False,0.078125,4.0,0.078125,after_step,0,4.0,0,2,tree
False,False,1,0.25,False,False,0.759765625,247.39442192579847,256,2,"[0, 1]",False,0.046875,4.69041575982343,0.046875,after_step,0,4.69041575982343,0,2,tree
False,False,2,0.125,False,False,0.884765625,288.3435450985508,128,1,[2],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,0,2,tree
False,True,3,0.5,False,False,0.51953125,169.45795938816212,512,4,"[0, 1, 2, 3]",False,0.04296875,7.874007874011811,0.04296875,after_step,0,7.874007874011811,1,2,tree
False,False,4,0.125,False,False,0.880859375,286.8135282722905,128,1,[4],False,0.0625,4.0,0.0625,after_step,0,4.0,0,2,tree
False,False,5,0.25,False,False,0.74609375,243.11725566072022,256,2,"[4, 5]",False,0.0625,6.324555320336759,0.0625,after_step,0,6.324555320336759,0,2,tree
False,False,6,0.125,False,False,0.873046875,284.42222135409884,128,1,[6],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,0,2,tree
True,False,7,1.0,False,False,0.033203125,12.0,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.033203125,12.0,0.033203125,after_step,1,12.0,0,2,tree
