active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.4855005092527,128,1,[0],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,tree
False,False,1,0.125,False,False,0.875,284.1196930872621,128,1,[1],False,0.078125,5.0990195135927845,0.078125,initial,0,5.0990195135927845,0,-1,tree
False,False,2,0.125,False,False,0.875,284.62607048547045,128,1,[2],False,0.09375,5.830951894845301,0.09375,initial,0,5.830951894845301,0,-1,tree
False,False,3,0.125,False,False,0.875,284.1232127088528,128,1,[3],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,tree
False,False,4,0.125,False,False,0.875,284.7174037532655,128,1,[4],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,tree
False,False,5,0.125,False,False,0.8671875,281.9219750214587,128,1,[5],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,initial,0,13.490737563232042,0,-1,tree
False,False,7,0.125,False,False,0.8798828125,285.84786163272236,128,1,[7],False,0.0703125,4.123105625617661,0.0703125,initial,0,4.123105625617661,0,-1,tree
False,True,0,0.125,False,False,0.875,284.4855005092527,128,1,[0],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,tree
True,False,1,0.25,False,False,0.75,243.73756378531397,256,2,"[0, 1]",False,0.0546875,6.782329983125268,0.0546875,after_step,1,6.782329983125268,0,0,tree
False,True,2,0.125,False,False,0.875,284.62607048547045,128,1,[2],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,1,0,tree
True,False,3,0.25,False,False,0.75,243.9549138672964,256,2,"[2, 3]",False,0.0546875,5.656854249492381,0.0546875,after_step,1,5.656854249492381,0,0,tree
False,True,4,0.125,False,False,0.875,284.7174037532655,128,1,[4],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,tree
True,False,5,0.25,False,False,0.7421875,241.7891643560563,256,2,"[4, 5]",False,0.0390625,4.898979485566356,0.0390625,after_step,1,4.898979485566356,0,0,tree
False,True,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,1,0,tree
True,False,7,0.25,False,False,0.7822265625,254.34032318922613,256,2,"[6, 7]",False,0.13671875,14.52583904633395,0.13671875,after_step,1,14.52583904633395,0,0,tree
False,False,0,0.125,False,False,0.875,284.4855005092527,128,1,[0],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,tree
False,True,1,0.25,False,False,0.75,243.73756378531397,256,2,"[0, 1]",False,0.0546875,6.782329983125268,0.0546875,after_step,0,6.782329983125268,1,1,tree
False,False,2,0.125,False,False,0.875,284.62607048547045,128,1,[2],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,0,1,tree
True,False,3,0.5,False,False,0.5,162.72676485446394,512,4,"[0, 1, 2, 3]",False,0.03515625,6.6332495807108,0.03515625,after_step,1,6.6332495807108,0,1,tree
False,False,4,0.125,False,False,0.875,284.7174037532655,128,1,[4],False,0.03125,2.0,0.03125,after_step,0,2.0,0,1,tree
False,True,5,0.25,False,False,0.7421875,241.7891643560563,256,2,"[4, 5]",False,0.0390625,4.898979485566356,0.0390625,after_step,0,4.898979485566356,1,1,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,0,1,tree
True,False,7,0.5,False,False,0.5244140625,171.21623754772793,512,4,"[4, 5, 6, 7]",False,0.060546875,12.529964086141668,0.060546875,after_step,1,12.529964086141668,0,1,tree
False,False,0,0.125,False,False,0.875,284.4855005092527,128,1,[0],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,2,tree
False,False,1,0.25,False,False,0.75,243.73756378531397,256,2,"[0, 1]",False,0.0546875,6.782329983125268,0.0546875,after_step,0,6.782329983125268,0,2,tree
False,False,2,0.125,False,False,0.875,284.62607048547045,128,1,[2],False,0.09375,5.830951894845301,0.09375,after_step,0,5.830951894845301,0,2,tree
False,True,3,0.5,False,False,0.5,162.72676485446394,512,4,"[0, 1, 2, 3]",False,0.03515625,6.6332495807108,0.03515625,after_step,0,6.6332495807108,1,2,tree
False,False,4,0.125,False,False,0.875,284.7174037532655,128,1,[4],False,0.03125,2.0,0.03125,after_step,0,2.0,0,2,tree
False,False,5,0.25,False,False,0.7421875,241.7891643560563,256,2,"[4, 5]",False,0.0390625,4.898979485566356,0.0390625,after_step,0,4.898979485566356,0,2,tree
False,False,6,0.125,False,False,0.90234375,293.40074982862603,128,1,[6],False,0.25,13.490737563232042,0.25,after_step,0,13.490737563232042,0,2,tree
True,False,7,1.0,False,False,0.0380859375,16.0312195418814,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0380859375,16.0312195418814,0.0380859375,after_step,1,16.0312195418814,0,2,tree
