active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.1201838951765,128,1,[0],False,0.078125,4.242640687119285,0.078125,initial,0,4.242640687119285,0,-1,generated:balanced_tree_reduce
False,False,1,0.125,False,False,0.875,284.94911826499833,128,1,[1],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:balanced_tree_reduce
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,initial,0,6.0,0,-1,generated:balanced_tree_reduce
False,False,3,0.125,False,False,0.875,284.5803928593817,128,1,[3],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:balanced_tree_reduce
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,generated:balanced_tree_reduce
False,False,5,0.125,False,False,0.884765625,288.02430453001705,128,1,[5],False,0.09375,5.830951894845301,0.09375,initial,0,5.830951894845301,0,-1,generated:balanced_tree_reduce
False,False,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,initial,0,3.7416573867739413,0,-1,generated:balanced_tree_reduce
False,False,7,0.125,False,False,0.875,285.0964748992874,128,1,[7],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:balanced_tree_reduce
False,True,0,0.125,False,False,0.884765625,287.1201838951765,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,1,0,generated:balanced_tree_reduce
True,False,1,0.25,False,False,0.759765625,246.84002916869053,256,2,"[0, 1]",False,0.0625,6.164414002968976,0.0625,after_step,1,6.164414002968976,0,0,generated:balanced_tree_reduce
False,True,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,1,0,generated:balanced_tree_reduce
True,False,3,0.25,False,False,0.759765625,247.65298302261573,256,2,"[2, 3]",False,0.0703125,6.6332495807108,0.0703125,after_step,1,6.6332495807108,0,0,generated:balanced_tree_reduce
False,True,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,1,0,generated:balanced_tree_reduce
True,False,5,0.25,False,False,0.76953125,250.57932875638406,256,2,"[4, 5]",False,0.078125,8.602325267042627,0.078125,after_step,1,8.602325267042627,0,0,generated:balanced_tree_reduce
False,True,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,after_step,0,3.7416573867739413,1,0,generated:balanced_tree_reduce
True,False,7,0.25,False,False,0.75,245.3528071981244,256,2,"[6, 7]",False,0.046875,6.6332495807108,0.046875,after_step,1,6.6332495807108,0,0,generated:balanced_tree_reduce
False,False,0,0.125,False,False,0.884765625,287.1201838951765,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,1,generated:balanced_tree_reduce
False,True,1,0.25,False,False,0.759765625,246.84002916869053,256,2,"[0, 1]",False,0.0625,6.164414002968976,0.0625,after_step,0,6.164414002968976,1,1,generated:balanced_tree_reduce
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,0,1,generated:balanced_tree_reduce
True,False,3,0.5,False,False,0.51953125,169.47566196949933,512,4,"[0, 1, 2, 3]",False,0.0625,11.575836902790225,0.0625,after_step,1,11.575836902790225,0,1,generated:balanced_tree_reduce
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,1,generated:balanced_tree_reduce
False,True,5,0.25,False,False,0.76953125,250.57932875638406,256,2,"[4, 5]",False,0.078125,8.602325267042627,0.078125,after_step,0,8.602325267042627,1,1,generated:balanced_tree_reduce
False,False,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,after_step,0,3.7416573867739413,0,1,generated:balanced_tree_reduce
True,False,7,0.5,False,False,0.51953125,171.06723824274476,512,4,"[4, 5, 6, 7]",False,0.04296875,13.2664991614216,0.04296875,after_step,1,13.2664991614216,0,1,generated:balanced_tree_reduce
False,False,0,0.125,False,False,0.884765625,287.1201838951765,128,1,[0],False,0.078125,4.242640687119285,0.078125,after_step,0,4.242640687119285,0,2,generated:balanced_tree_reduce
False,False,1,0.25,False,False,0.759765625,246.84002916869053,256,2,"[0, 1]",False,0.0625,6.164414002968976,0.0625,after_step,0,6.164414002968976,0,2,generated:balanced_tree_reduce
False,False,2,0.125,False,False,0.884765625,288.3574171059243,128,1,[2],False,0.125,6.0,0.125,after_step,0,6.0,0,2,generated:balanced_tree_reduce
False,True,3,0.5,False,False,0.51953125,169.47566196949933,512,4,"[0, 1, 2, 3]",False,0.0625,11.575836902790225,0.0625,after_step,0,11.575836902790225,1,2,generated:balanced_tree_reduce
False,False,4,0.125,False,False,0.884765625,287.5621671917222,128,1,[4],False,0.109375,6.0,0.109375,after_step,0,6.0,0,2,generated:balanced_tree_reduce
False,False,5,0.25,False,False,0.76953125,250.57932875638406,256,2,"[4, 5]",False,0.078125,8.602325267042627,0.078125,after_step,0,8.602325267042627,0,2,generated:balanced_tree_reduce
False,False,6,0.125,False,False,0.875,284.93508032532606,128,1,[6],False,0.046875,3.7416573867739413,0.046875,after_step,0,3.7416573867739413,0,2,generated:balanced_tree_reduce
True,False,7,1.0,False,False,0.052734375,23.2379000772445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.052734375,23.2379000772445,0.052734375,after_step,1,23.2379000772445,0,2,generated:balanced_tree_reduce
