active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,285.2086955196142,128,1,[0],False,0.078125,5.0990195135927845,0.078125,initial,0,5.0990195135927845,0,-1,generated:hybrid_mesh_fanout
False,False,1,0.125,False,False,0.86328125,281.34676113294785,128,1,[1],False,0.15625,8.48528137423857,0.15625,initial,0,8.48528137423857,0,-1,generated:hybrid_mesh_fanout
False,False,2,0.125,False,False,0.875,284.5698508275253,128,1,[2],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,generated:hybrid_mesh_fanout
False,False,3,0.125,False,False,0.875,284.7560359325154,128,1,[3],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,generated:hybrid_mesh_fanout
False,False,4,0.125,False,False,0.884765625,288.19437884872076,128,1,[4],False,0.109375,6.782329983125268,0.109375,initial,0,6.782329983125268,0,-1,generated:hybrid_mesh_fanout
False,False,5,0.125,False,False,0.884765625,288.52382917187276,128,1,[5],False,0.078125,5.656854249492381,0.078125,initial,0,5.656854249492381,0,-1,generated:hybrid_mesh_fanout
False,False,6,0.125,False,False,0.875,285.1596044323249,128,1,[6],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,generated:hybrid_mesh_fanout
False,False,7,0.125,False,False,0.865234375,281.65226787654314,128,1,[7],False,0.109375,6.0,0.109375,initial,0,6.0,0,-1,generated:hybrid_mesh_fanout
True,True,0,0.25,False,False,0.759765625,247.9677398372619,256,2,"[0, 4]",False,0.0859375,10.677078252031311,0.0859375,after_step,1,10.677078252031311,1,0,generated:hybrid_mesh_fanout
True,True,1,0.25,False,False,0.748046875,244.61806965144663,256,2,"[1, 5]",False,0.09375,9.16515138991168,0.09375,after_step,1,9.16515138991168,1,0,generated:hybrid_mesh_fanout
True,True,2,0.25,False,False,0.75,244.36448187083164,256,2,"[2, 6]",False,0.0625,6.782329983125268,0.0625,after_step,1,6.782329983125268,1,0,generated:hybrid_mesh_fanout
True,True,3,0.25,False,False,0.740234375,241.0684550081159,256,2,"[3, 7]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,1,0,generated:hybrid_mesh_fanout
True,True,4,0.25,False,False,0.759765625,247.9677398372619,256,2,"[0, 4]",False,0.0859375,10.677078252031311,0.0859375,after_step,1,10.677078252031311,1,0,generated:hybrid_mesh_fanout
True,True,5,0.25,False,False,0.748046875,244.61806965144663,256,2,"[1, 5]",False,0.09375,9.16515138991168,0.09375,after_step,1,9.16515138991168,1,0,generated:hybrid_mesh_fanout
True,True,6,0.25,False,False,0.75,244.36448187083164,256,2,"[2, 6]",False,0.0625,6.782329983125268,0.0625,after_step,1,6.782329983125268,1,0,generated:hybrid_mesh_fanout
True,True,7,0.25,False,False,0.740234375,241.0684550081159,256,2,"[3, 7]",False,0.046875,4.898979485566356,0.046875,after_step,1,4.898979485566356,1,0,generated:hybrid_mesh_fanout
False,True,0,0.25,False,False,0.759765625,247.9677398372619,256,2,"[0, 4]",False,0.0859375,10.677078252031311,0.0859375,after_step,0,10.677078252031311,1,1,generated:hybrid_mesh_fanout
False,True,1,0.25,False,False,0.748046875,244.61806965144663,256,2,"[1, 5]",False,0.09375,9.16515138991168,0.09375,after_step,0,9.16515138991168,1,1,generated:hybrid_mesh_fanout
False,True,2,0.25,False,False,0.75,244.36448187083164,256,2,"[2, 6]",False,0.0625,6.782329983125268,0.0625,after_step,0,6.782329983125268,1,1,generated:hybrid_mesh_fanout
False,True,3,0.25,False,False,0.740234375,241.0684550081159,256,2,"[3, 7]",False,0.046875,4.898979485566356,0.046875,after_step,0,4.898979485566356,1,1,generated:hybrid_mesh_fanout
False,False,4,0.25,False,False,0.759765625,247.9677398372619,256,2,"[0, 4]",False,0.0859375,10.677078252031311,0.0859375,after_step,0,10.677078252031311,0,1,generated:hybrid_mesh_fanout
False,False,5,0.25,False,False,0.748046875,244.61806965144663,256,2,"[1, 5]",False,0.09375,9.16515138991168,0.09375,after_step,0,9.16515138991168,0,1,generated:hybrid_mesh_fanout
False,False,6,0.25,False,False,0.75,244.36448187083164,256,2,"[2, 6]",False,0.0625,6.782329983125268,0.0625,after_step,0,6.782329983125268,0,1,generated:hybrid_mesh_fanout
True,False,7,1.0,False,False,0.044921875,17.832554500127006,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.044921875,17.832554500127006,0.044921875,after_step,4,17.832554500127006,0,1,generated:hybrid_mesh_fanout
