active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.865234375,280.68487668558134,128,1,[0],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,generated:cascading_snake_flow
False,False,1,0.125,False,False,0.865234375,281.0942902301646,128,1,[1],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,generated:cascading_snake_flow
False,False,2,0.125,False,False,0.875,284.19711469330576,128,1,[2],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:cascading_snake_flow
False,False,3,0.125,False,False,0.884765625,287.10276905665677,128,1,[3],False,0.109375,5.477225575051661,0.109375,initial,0,5.477225575051661,0,-1,generated:cascading_snake_flow
False,False,4,0.125,False,False,0.875,284.23229936092764,128,1,[4],False,0.109375,5.291502622129181,0.109375,initial,0,5.291502622129181,0,-1,generated:cascading_snake_flow
False,False,5,0.125,False,False,0.875,284.0140841578107,128,1,[5],False,0.09375,4.898979485566356,0.09375,initial,0,4.898979485566356,0,-1,generated:cascading_snake_flow
False,False,6,0.125,False,False,0.884765625,287.43347056318964,128,1,[6],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,generated:cascading_snake_flow
False,False,7,0.125,False,False,0.86328125,280.25702488965374,128,1,[7],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,generated:cascading_snake_flow
False,True,0,0.125,False,False,0.865234375,280.68487668558134,128,1,[0],False,0.09375,5.291502622129181,0.09375,after_step,0,5.291502622129181,1,0,generated:cascading_snake_flow
True,False,1,0.25,False,False,0.73046875,237.37312400522515,256,2,"[0, 1]",False,0.0859375,8.0,0.0859375,after_step,1,8.0,0,0,generated:cascading_snake_flow
False,True,2,0.125,False,False,0.875,284.19711469330576,128,1,[2],False,0.046875,2.8284271247461903,0.046875,after_step,0,2.8284271247461903,1,0,generated:cascading_snake_flow
