active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,initial,0,5.5677643628300215,0,-1,tree
False,False,1,0.125,False,False,0.8828125,287.1863506505837,128,1,[1],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,tree
False,False,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,initial,0,5.656854249492381,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.7603169306011,128,1,[3],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,tree
False,False,4,0.125,False,False,0.875,284.75954768892296,128,1,[4],False,0.109375,6.324555320336759,0.109375,initial,0,6.324555320336759,0,-1,tree
False,False,5,0.125,False,False,0.875,285.18765751694093,128,1,[5],False,0.109375,6.324555320336759,0.109375,initial,0,6.324555320336759,0,-1,tree
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,initial,0,6.6332495807108,0,-1,tree
False,False,7,0.125,False,False,0.89453125,291.2318663882783,128,1,[7],False,0.15625,6.6332495807108,0.15625,initial,0,6.6332495807108,0,-1,tree
False,True,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,after_step,0,5.5677643628300215,1,0,tree
True,False,1,0.25,False,False,0.7724609375,251.69624550239124,256,2,"[0, 1]",False,0.08984375,7.810249675906654,0.08984375,after_step,1,7.810249675906654,0,0,tree
False,True,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,after_step,0,5.656854249492381,1,0,tree
True,False,3,0.25,False,False,0.775390625,251.96031433541276,256,2,"[2, 3]",False,0.1015625,9.055385138137417,0.1015625,after_step,1,9.055385138137417,0,0,tree
False,True,4,0.125,False,False,0.875,284.75954768892296,128,1,[4],False,0.109375,6.324555320336759,0.109375,after_step,0,6.324555320336759,1,0,tree
True,False,5,0.25,False,False,0.75,244.65485893396846,256,2,"[4, 5]",False,0.109375,10.677078252031311,0.109375,after_step,1,10.677078252031311,0,0,tree
False,True,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,1,0,tree
True,False,7,0.25,False,False,0.7890625,257.2586247339436,256,2,"[6, 7]",False,0.15625,12.96148139681572,0.15625,after_step,1,12.96148139681572,0,0,tree
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,after_step,0,5.5677643628300215,0,1,tree
False,True,1,0.25,False,False,0.7724609375,251.69624550239124,256,2,"[0, 1]",False,0.08984375,7.810249675906654,0.08984375,after_step,0,7.810249675906654,1,1,tree
False,False,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,after_step,0,5.656854249492381,0,1,tree
True,False,3,0.5,False,False,0.5478515625,178.70366532335032,512,4,"[0, 1, 2, 3]",False,0.095703125,16.46207763315433,0.095703125,after_step,1,16.46207763315433,0,1,tree
False,False,4,0.125,False,False,0.875,284.75954768892296,128,1,[4],False,0.109375,6.324555320336759,0.109375,after_step,0,6.324555320336759,0,1,tree
False,True,5,0.25,False,False,0.75,244.65485893396846,256,2,"[4, 5]",False,0.109375,10.677078252031311,0.109375,after_step,0,10.677078252031311,1,1,tree
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,0,1,tree
True,False,7,0.5,False,False,0.5390625,176.71445894436596,512,4,"[4, 5, 6, 7]",False,0.09375,16.3707055437449,0.09375,after_step,1,16.3707055437449,0,1,tree
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,after_step,0,5.5677643628300215,0,2,tree
False,False,1,0.25,False,False,0.7724609375,251.69624550239124,256,2,"[0, 1]",False,0.08984375,7.810249675906654,0.08984375,after_step,0,7.810249675906654,0,2,tree
False,False,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,after_step,0,5.656854249492381,0,2,tree
False,True,3,0.5,False,False,0.5478515625,178.70366532335032,512,4,"[0, 1, 2, 3]",False,0.095703125,16.46207763315433,0.095703125,after_step,0,16.46207763315433,1,2,tree
False,False,4,0.125,False,False,0.875,284.75954768892296,128,1,[4],False,0.109375,6.324555320336759,0.109375,after_step,0,6.324555320336759,0,2,tree
False,False,5,0.25,False,False,0.75,244.65485893396846,256,2,"[4, 5]",False,0.109375,10.677078252031311,0.109375,after_step,0,10.677078252031311,0,2,tree
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,0,2,tree
True,False,7,1.0,False,False,0.0869140625,30.347981810987037,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0869140625,30.347981810987037,0.0869140625,after_step,1,30.347981810987037,0,2,tree
