active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,288.00347220129134,128,1,[0],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,tree
False,False,1,0.125,False,False,0.875,284.40112517358295,128,1,[1],False,0.09375,5.0990195135927845,0.09375,initial,0,5.0990195135927845,0,-1,tree
False,False,2,0.125,False,False,0.884765625,288.38862668281496,128,1,[2],False,0.09375,6.48074069840786,0.09375,initial,0,6.48074069840786,0,-1,tree
False,False,3,0.125,False,False,0.884765625,287.5378235989137,128,1,[3],False,0.109375,5.0990195135927845,0.109375,initial,0,5.0990195135927845,0,-1,tree
False,False,4,0.125,False,False,0.884765625,287.85760368626705,128,1,[4],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,tree
False,False,5,0.125,False,False,0.892578125,290.4892424858449,128,1,[5],False,0.140625,6.6332495807108,0.140625,initial,0,6.6332495807108,0,-1,tree
False,False,6,0.125,False,False,0.8828125,287.5795542106566,128,1,[6],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,tree
False,False,7,0.125,False,False,0.884765625,287.3986777979328,128,1,[7],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,tree
False,True,0,0.125,False,False,0.884765625,288.00347220129134,128,1,[0],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,1,0,tree
True,False,1,0.25,False,False,0.759765625,247.0546498246896,256,2,"[0, 1]",False,0.0859375,7.745966692414834,0.0859375,after_step,1,7.745966692414834,0,0,tree
False,True,2,0.125,False,False,0.884765625,288.38862668281496,128,1,[2],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,1,0,tree
True,False,3,0.25,False,False,0.76953125,250.45558488482544,256,2,"[2, 3]",False,0.078125,7.483314773547883,0.078125,after_step,1,7.483314773547883,0,0,tree
False,True,4,0.125,False,False,0.884765625,287.85760368626705,128,1,[4],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,1,0,tree
True,False,5,0.25,False,False,0.77734375,253.00988122996304,256,2,"[4, 5]",False,0.109375,9.38083151964686,0.109375,after_step,1,9.38083151964686,0,0,tree
False,True,6,0.125,False,False,0.8828125,287.5795542106566,128,1,[6],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,tree
True,False,7,0.25,False,False,0.767578125,249.61971076018816,256,2,"[6, 7]",False,0.0703125,6.782329983125268,0.0703125,after_step,1,6.782329983125268,0,0,tree
False,False,0,0.125,False,False,0.884765625,288.00347220129134,128,1,[0],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,0,1,tree
False,True,1,0.25,False,False,0.759765625,247.0546498246896,256,2,"[0, 1]",False,0.0859375,7.745966692414834,0.0859375,after_step,0,7.745966692414834,1,1,tree
False,False,2,0.125,False,False,0.884765625,288.38862668281496,128,1,[2],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,0,1,tree
True,False,3,0.5,False,False,0.529296875,172.16852209390657,512,4,"[0, 1, 2, 3]",False,0.0625,12.489995996796797,0.0625,after_step,1,12.489995996796797,0,1,tree
False,False,4,0.125,False,False,0.884765625,287.85760368626705,128,1,[4],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,0,1,tree
False,True,5,0.25,False,False,0.77734375,253.00988122996304,256,2,"[4, 5]",False,0.109375,9.38083151964686,0.109375,after_step,0,9.38083151964686,1,1,tree
False,False,6,0.125,False,False,0.8828125,287.5795542106566,128,1,[6],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,tree
True,False,7,0.5,False,False,0.544921875,177.313282074412,512,4,"[4, 5, 6, 7]",False,0.08984375,14.966629547095765,0.08984375,after_step,1,14.966629547095765,0,1,tree
False,False,0,0.125,False,False,0.884765625,288.00347220129134,128,1,[0],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,0,2,tree
False,False,1,0.25,False,False,0.759765625,247.0546498246896,256,2,"[0, 1]",False,0.0859375,7.745966692414834,0.0859375,after_step,0,7.745966692414834,0,2,tree
False,False,2,0.125,False,False,0.884765625,288.38862668281496,128,1,[2],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,0,2,tree
False,True,3,0.5,False,False,0.529296875,172.16852209390657,512,4,"[0, 1, 2, 3]",False,0.0625,12.489995996796797,0.0625,after_step,0,12.489995996796797,1,2,tree
False,False,4,0.125,False,False,0.884765625,287.85760368626705,128,1,[4],False,0.09375,4.242640687119285,0.09375,after_step,0,4.242640687119285,0,2,tree
False,False,5,0.25,False,False,0.77734375,253.00988122996304,256,2,"[4, 5]",False,0.109375,9.38083151964686,0.109375,after_step,0,9.38083151964686,0,2,tree
False,False,6,0.125,False,False,0.8828125,287.5795542106566,128,1,[6],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,2,tree
True,False,7,1.0,False,False,0.07421875,26.115129714401192,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.07421875,26.115129714401192,0.07421875,after_step,1,26.115129714401192,0,2,tree
