active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.635185608437,128,1,[0],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,generated:balanced_binary_tree_reduce
False,False,1,0.125,False,False,0.884765625,287.63866221354874,128,1,[1],False,0.140625,6.324555320336759,0.140625,initial,0,6.324555320336759,0,-1,generated:balanced_binary_tree_reduce
False,False,2,0.125,False,False,0.89453125,290.6509934612301,128,1,[2],False,0.15625,6.782329983125268,0.15625,initial,0,6.782329983125268,0,-1,generated:balanced_binary_tree_reduce
False,False,3,0.125,False,False,0.884765625,287.2350953487404,128,1,[3],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,generated:balanced_binary_tree_reduce
False,False,4,0.125,False,False,0.884765625,287.9270741003701,128,1,[4],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,generated:balanced_binary_tree_reduce
False,False,5,0.125,False,False,0.888671875,288.7836560472216,128,1,[5],False,0.109375,4.898979485566356,0.109375,initial,0,4.898979485566356,0,-1,generated:balanced_binary_tree_reduce
False,False,6,0.125,False,False,0.884765625,287.690806248653,128,1,[6],False,0.125,6.0,0.125,initial,0,6.0,0,-1,generated:balanced_binary_tree_reduce
False,False,7,0.125,False,False,0.884765625,287.7081854935657,128,1,[7],False,0.125,5.656854249492381,0.125,initial,0,5.656854249492381,0,-1,generated:balanced_binary_tree_reduce
False,True,0,0.125,False,False,0.884765625,287.635185608437,128,1,[0],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,1,0,generated:balanced_binary_tree_reduce
True,False,1,0.25,False,False,0.76953125,250.40367409445093,256,2,"[0, 1]",False,0.109375,9.486832980505138,0.109375,after_step,1,9.486832980505138,0,0,generated:balanced_binary_tree_reduce
False,True,2,0.125,False,False,0.89453125,290.6509934612301,128,1,[2],False,0.15625,6.782329983125268,0.15625,after_step,0,6.782329983125268,1,0,generated:balanced_binary_tree_reduce
True,False,3,0.25,False,False,0.779296875,253.0177859360879,256,2,"[2, 3]",False,0.1171875,10.0,0.1171875,after_step,1,10.0,0,0,generated:balanced_binary_tree_reduce
False,True,4,0.125,False,False,0.884765625,287.9270741003701,128,1,[4],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,1,0,generated:balanced_binary_tree_reduce
True,False,5,0.25,False,False,0.7734375,251.8372490319889,256,2,"[4, 5]",False,0.1015625,8.94427190999916,0.1015625,after_step,1,8.94427190999916,0,0,generated:balanced_binary_tree_reduce
False,True,6,0.125,False,False,0.884765625,287.690806248653,128,1,[6],False,0.125,6.0,0.125,after_step,0,6.0,1,0,generated:balanced_binary_tree_reduce
True,False,7,0.25,False,False,0.76953125,250.5553830992262,256,2,"[6, 7]",False,0.09375,8.94427190999916,0.09375,after_step,1,8.94427190999916,0,0,generated:balanced_binary_tree_reduce
False,False,0,0.125,False,False,0.884765625,287.635185608437,128,1,[0],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,0,1,generated:balanced_binary_tree_reduce
False,True,1,0.25,False,False,0.76953125,250.40367409445093,256,2,"[0, 1]",False,0.109375,9.486832980505138,0.109375,after_step,0,9.486832980505138,1,1,generated:balanced_binary_tree_reduce
False,False,2,0.125,False,False,0.89453125,290.6509934612301,128,1,[2],False,0.15625,6.782329983125268,0.15625,after_step,0,6.782329983125268,0,1,generated:balanced_binary_tree_reduce
True,False,3,0.5,False,False,0.548828125,178.30311270418136,512,4,"[0, 1, 2, 3]",False,0.09765625,17.378147196982766,0.09765625,after_step,1,17.378147196982766,0,1,generated:balanced_binary_tree_reduce
False,False,4,0.125,False,False,0.884765625,287.9270741003701,128,1,[4],False,0.09375,4.47213595499958,0.09375,after_step,0,4.47213595499958,0,1,generated:balanced_binary_tree_reduce
False,True,5,0.25,False,False,0.7734375,251.8372490319889,256,2,"[4, 5]",False,0.1015625,8.94427190999916,0.1015625,after_step,0,8.94427190999916,1,1,generated:balanced_binary_tree_reduce
False,False,6,0.125,False,False,0.884765625,287.690806248653,128,1,[6],False,0.125,6.0,0.125,after_step,0,6.0,0,1,generated:balanced_binary_tree_reduce
True,False,7,0.5,False,False,0.54296875,177.6682301369606,512,4,"[4, 5, 6, 7]",False,0.09375,16.73320053068151,0.09375,after_step,1,16.73320053068151,0,1,generated:balanced_binary_tree_reduce
