Agents,AggregationMethod,AnswerAgentIds,ArraySize,AverageIncludedAgents,AverageNormalizedL1Error,AverageRMSE,FinalExactMatch,FinalKey,FinalNormalizedL1Error,FinalRMSE,InitMode,MergeMode,Seed,SelectedPrimary,Task,Topology,TotalCompletionTokens,TotalDeterministicFallbacks,TotalMessages,TotalModelCalls,TotalPromptTokens,TotalRetryAttempts,TotalSteps,ValueMax,ValueMin,VoteAverageDisagreementRMSE,VoteNormalizedL1Error,VoteRMSE,VoteTopRatio,graph_candidate_score_mode,graph_search_mode,job_id,num_graph_candidates,objective,phase,planner_mode,planner_policy,requested_topology
8,vote,[7],1024,8,0.08203125,28.142494558940577,False,"FREQ_JSON:{""0"":98,""1"":102,""2"":100,""3"":72,""4"":94,""5"":92,""6"":78,""7"":96,""8"":99,""9"":123}",0.08203125,28.142494558940577,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,one_peer_exponential_dag_star,18251,0,31,33,38811,0,4,9,0,0.0,0.08203125,28.142494558940577,1.0,accuracy_max,topk,16c255cca4e4,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,8,0.1123046875,37.8021163428716,False,"FREQ_JSON:{""0"":97,""1"":91,""2"":106,""3"":96,""4"":96,""5"":91,""6"":73,""7"":97,""8"":102,""9"":108}",0.0986328125,34.219877264537345,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,mesh_star,9931,0,63,17,30258,0,2,9,0,8.426149773176359,0.0986328125,34.219877264537345,1.0,accuracy_max,topk,17cf8a3a0947,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,1,0.083984375,29.93325909419153,False,"FREQ_JSON:{""0"":98,""1"":91,""2"":108,""3"":98,""4"":92,""5"":91,""6"":73,""7"":96,""8"":101,""9"":90}",0.083984375,29.93325909419153,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,tree,6032,0,7,15,15161,0,3,9,0,0.0,0.083984375,29.93325909419153,1.0,accuracy_max,topk,329c67aaa4e2,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.125,41.689327171351664,False,"FREQ_JSON:{""0"":80,""1"":93,""2"":81,""3"":87,""4"":88,""5"":93,""6"":66,""7"":84,""8"":90,""9"":101}",0.1572265625,53.150729063673246,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,mesh_star,9633,0,63,17,30365,0,2,9,0,17.291616465790582,0.1572265625,53.150729063673246,1.0,accuracy_max,topk,3da93f896402,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,1,0.0791015625,28.0178514522438,False,"FREQ_JSON:{""0"":99,""1"":104,""2"":99,""3"":72,""4"":93,""5"":92,""6"":78,""7"":95,""8"":97,""9"":118}",0.0791015625,28.0178514522438,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,tree,5514,0,7,15,15097,0,3,9,0,0.0,0.0791015625,28.0178514522438,1.0,accuracy_max,topk,5af506e2f02b,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.1044921875,35.79106033634656,False,"FREQ_JSON:{""0"":85,""1"":87,""2"":107,""3"":98,""4"":84,""5"":77,""6"":95,""7"":99,""8"":94,""9"":98}",0.09765625,33.61547262794322,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,mesh_star,8277,0,63,17,30193,0,2,9,0,7.14142842854285,0.09765625,33.61547262794322,1.0,accuracy_max,topk,76403d29ea80,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,1,0.0751953125,25.709920264364882,False,"FREQ_JSON:{""0"":93,""1"":108,""2"":92,""3"":100,""4"":91,""5"":93,""6"":68,""7"":94,""8"":99,""9"":117}",0.0751953125,25.709920264364882,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,tree,6062,0,7,15,15101,0,3,9,0,0.0,0.0751953125,25.709920264364882,1.0,accuracy_max,topk,90deb9deab3e,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.0810546875,27.586228448267445,False,"FREQ_JSON:{""0"":91,""1"":107,""2"":92,""3"":100,""4"":92,""5"":91,""6"":67,""7"":93,""8"":99,""9"":117}",0.0810546875,27.586228448267445,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,one_peer_exponential_dag_star,17788,0,31,33,38815,0,4,9,0,0.0,0.0810546875,27.586228448267445,1.0,accuracy_max,topk,9268f630cd0b,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,8,0.095703125,32.7414110874898,False,"FREQ_JSON:{""0"":88,""1"":87,""2"":103,""3"":100,""4"":83,""5"":76,""6"":95,""7"":98,""8"":96,""9"":100}",0.095703125,32.7414110874898,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,one_peer_exponential_dag_star,18132,0,31,33,39180,0,4,9,0,0.0,0.095703125,32.7414110874898,1.0,accuracy_max,topk,ab781c9ac947,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,8,0.091796875,31.016124838541646,False,"FREQ_JSON:{""0"":99,""1"":90,""2"":107,""3"":98,""4"":94,""5"":91,""6"":74,""7"":97,""8"":101,""9"":103}",0.091796875,31.016124838541646,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,one_peer_exponential_dag_star,17627,0,31,33,39053,0,4,9,0,0.0,0.091796875,31.016124838541646,1.0,accuracy_max,topk,b2fca4b9ed44,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
