active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.884765625,287.9756934187328,128,1,[0],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.875,284.4187054326772,128,1,[1],False,0.109375,6.928203230275509,0.109375,initial,0,6.928203230275509,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.884765625,288.2741750486852,128,1,[2],False,0.078125,4.69041575982343,0.078125,initial,0,4.69041575982343,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.884765625,287.5378235989137,128,1,[3],False,0.109375,5.0990195135927845,0.109375,initial,0,5.0990195135927845,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.884765625,287.85760368626705,128,1,[4],False,0.09375,4.242640687119285,0.09375,initial,0,4.242640687119285,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.89453125,291.20439557122074,128,1,[5],False,0.15625,7.483314773547883,0.15625,initial,0,7.483314773547883,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.875,284.7806173179628,128,1,[6],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.884765625,287.3986777979328,128,1,[7],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.76953125,250.0679907545146,256,2,"[0, 7]",False,0.09375,8.366600265340756,0.09375,after_step,1,8.366600265340756,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.759765625,247.11535767734065,256,2,"[0, 1]",False,0.09375,9.797958971132712,0.09375,after_step,1,9.797958971132712,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.759765625,247.46312856666142,256,2,"[1, 2]",False,0.0625,5.656854249492381,0.0625,after_step,1,5.656854249492381,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.76953125,250.39169315294788,256,2,"[2, 3]",False,0.078125,7.211102550927978,0.078125,after_step,1,7.211102550927978,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.76953125,250.2079135439165,256,2,"[3, 4]",False,0.1015625,8.831760866327848,0.1015625,after_step,1,8.831760866327848,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.779296875,253.7282010340987,256,2,"[4, 5]",False,0.1171875,9.797958971132712,0.1171875,after_step,1,9.797958971132712,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.76953125,250.72295467308135,256,2,"[5, 6]",False,0.09375,8.366600265340756,0.09375,after_step,1,8.366600265340756,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.759765625,246.86838598735156,256,2,"[6, 7]",False,0.0859375,8.602325267042627,0.0859375,after_step,1,8.602325267042627,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.5390625,175.69291391516052,512,4,"[0, 5, 6, 7]",False,0.0859375,15.0996688705415,0.0859375,after_step,1,15.0996688705415,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.51953125,168.86681142249356,512,4,"[0, 1, 6, 7]",False,0.08984375,17.72004514666935,0.08984375,after_step,1,17.72004514666935,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.529296875,172.6267650163207,512,4,"[0, 1, 2, 7]",False,0.07421875,13.490737563232042,0.07421875,after_step,1,13.490737563232042,1,1,one_peer_exponential_dag_star
True,True,3,0.5,False,False,0.529296875,172.3658898970443,512,4,"[0, 1, 2, 3]",False,0.078125,14.422205101855956,0.078125,after_step,1,14.422205101855956,1,1,one_peer_exponential_dag_star
True,True,4,0.5,False,False,0.529296875,172.16852209390657,512,4,"[1, 2, 3, 4]",False,0.078125,13.856406460551018,0.078125,after_step,1,13.856406460551018,1,1,one_peer_exponential_dag_star
True,True,5,0.5,False,False,0.548828125,178.84630272946657,512,4,"[2, 3, 4, 5]",False,0.09765625,16.24807680927192,0.09765625,after_step,1,16.24807680927192,1,1,one_peer_exponential_dag_star
True,True,6,0.5,False,False,0.5390625,175.8920123257449,512,4,"[3, 4, 5, 6]",False,0.09375,15.811388300841896,0.09375,after_step,1,15.811388300841896,1,1,one_peer_exponential_dag_star
True,True,7,0.5,False,False,0.5390625,175.41949720598336,512,4,"[4, 5, 6, 7]",False,0.0859375,14.628738838327793,0.0859375,after_step,1,14.628738838327793,1,1,one_peer_exponential_dag_star
True,True,0,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,1,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,2,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,3,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,4,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,5,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,6,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
True,True,7,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,1,28.142494558940577,1,2,one_peer_exponential_dag_star
False,True,0,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
False,True,1,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
False,True,2,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
False,True,3,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
False,True,4,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
False,True,5,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
False,True,6,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,0,28.142494558940577,1,3,one_peer_exponential_dag_star
True,False,7,1.0,False,False,0.08203125,28.142494558940577,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.08203125,28.142494558940577,0.08203125,after_step,7,28.142494558940577,0,3,one_peer_exponential_dag_star
