active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,initial,0,5.5677643628300215,0,-1,tree
False,False,1,0.125,False,False,0.8828125,287.1863506505837,128,1,[1],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,tree
False,False,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,initial,0,5.656854249492381,0,-1,tree
False,False,3,0.125,False,False,0.875,284.41518946779195,128,1,[3],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,tree
False,False,4,0.125,False,False,0.875,284.8087077320495,128,1,[4],False,0.09375,4.898979485566356,0.09375,initial,0,4.898979485566356,0,-1,tree
False,False,5,0.125,False,False,0.875,285.2332378948849,128,1,[5],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,tree
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,initial,0,6.6332495807108,0,-1,tree
False,False,7,0.125,False,False,0.884765625,287.9097080683456,128,1,[7],False,0.140625,6.6332495807108,0.140625,initial,0,6.6332495807108,0,-1,tree
False,True,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,after_step,0,5.5677643628300215,1,0,tree
True,False,1,0.25,False,False,0.7724609375,251.69624550239124,256,2,"[0, 1]",False,0.08984375,7.810249675906654,0.08984375,after_step,1,7.810249675906654,0,0,tree
False,True,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,after_step,0,5.656854249492381,1,0,tree
True,False,3,0.25,False,False,0.765625,248.66443251900742,256,2,"[2, 3]",False,0.078125,6.928203230275509,0.078125,after_step,1,6.928203230275509,0,0,tree
False,True,4,0.125,False,False,0.875,284.8087077320495,128,1,[4],False,0.09375,4.898979485566356,0.09375,after_step,0,4.898979485566356,1,0,tree
True,False,5,0.25,False,False,0.75,244.7079892443236,256,2,"[4, 5]",False,0.0859375,8.94427190999916,0.0859375,after_step,1,8.94427190999916,0,0,tree
False,True,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,1,0,tree
True,False,7,0.25,False,False,0.779296875,253.99606296161363,256,2,"[6, 7]",False,0.140625,11.832159566199232,0.140625,after_step,1,11.832159566199232,0,0,tree
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,after_step,0,5.5677643628300215,0,1,tree
False,True,1,0.25,False,False,0.7724609375,251.69624550239124,256,2,"[0, 1]",False,0.08984375,7.810249675906654,0.08984375,after_step,0,7.810249675906654,1,1,tree
False,False,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,after_step,0,5.656854249492381,0,1,tree
True,False,3,0.5,False,False,0.5380859375,175.47364474473082,512,4,"[0, 1, 2, 3]",False,0.076171875,13.527749258468683,0.076171875,after_step,1,13.527749258468683,0,1,tree
False,False,4,0.125,False,False,0.875,284.8087077320495,128,1,[4],False,0.09375,4.898979485566356,0.09375,after_step,0,4.898979485566356,0,1,tree
False,True,5,0.25,False,False,0.75,244.7079892443236,256,2,"[4, 5]",False,0.0859375,8.94427190999916,0.0859375,after_step,0,8.94427190999916,1,1,tree
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,0,1,tree
True,False,7,0.5,False,False,0.529296875,173.66058850527946,512,4,"[4, 5, 6, 7]",False,0.08203125,14.2828568570857,0.08203125,after_step,1,14.2828568570857,0,1,tree
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,after_step,0,5.5677643628300215,0,2,tree
False,False,1,0.25,False,False,0.7724609375,251.69624550239124,256,2,"[0, 1]",False,0.08984375,7.810249675906654,0.08984375,after_step,0,7.810249675906654,0,2,tree
False,False,2,0.125,False,False,0.890625,289.5410160927118,128,1,[2],False,0.125,5.656854249492381,0.125,after_step,0,5.656854249492381,0,2,tree
False,True,3,0.5,False,False,0.5380859375,175.47364474473082,512,4,"[0, 1, 2, 3]",False,0.076171875,13.527749258468683,0.076171875,after_step,0,13.527749258468683,1,2,tree
False,False,4,0.125,False,False,0.875,284.8087077320495,128,1,[4],False,0.09375,4.898979485566356,0.09375,after_step,0,4.898979485566356,0,2,tree
False,False,5,0.25,False,False,0.75,244.7079892443236,256,2,"[4, 5]",False,0.0859375,8.94427190999916,0.0859375,after_step,0,8.94427190999916,0,2,tree
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,after_step,0,6.6332495807108,0,2,tree
True,False,7,1.0,False,False,0.0751953125,25.709920264364882,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0751953125,25.709920264364882,0.0751953125,after_step,1,25.709920264364882,0,2,tree
