active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.8896484375,289.63597842809514,128,1,[0],False,0.1171875,5.5677643628300215,0.1171875,initial,0,5.5677643628300215,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.884765625,287.82633652951216,128,1,[1],False,0.078125,3.4641016151377544,0.078125,initial,0,3.4641016151377544,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.884765625,287.5030434621519,128,1,[2],False,0.125,5.656854249492381,0.125,initial,0,5.656854249492381,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.875,284.41518946779195,128,1,[3],False,0.09375,6.0,0.09375,initial,0,6.0,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.884765625,288.0104164782934,128,1,[4],False,0.125,6.164414002968976,0.125,initial,0,6.164414002968976,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.875,285.2332378948849,128,1,[5],False,0.09375,5.291502622129181,0.09375,initial,0,5.291502622129181,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.89453125,291.3726136753418,128,1,[6],False,0.15625,6.6332495807108,0.15625,initial,0,6.6332495807108,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.884765625,287.9097080683456,128,1,[7],False,0.140625,6.6332495807108,0.140625,initial,0,6.6332495807108,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.7744140625,252.12100269513448,256,2,"[0, 7]",False,0.12109375,10.816653826391969,0.12109375,after_step,1,10.816653826391969,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.7744140625,252.32320543303186,256,2,"[0, 1]",False,0.09765625,8.54400374531753,0.09765625,after_step,1,8.54400374531753,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.76953125,250.0039999680005,256,2,"[1, 2]",False,0.0859375,7.483314773547883,0.0859375,after_step,1,7.483314773547883,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.759765625,246.82382380961528,256,2,"[2, 3]",False,0.1015625,10.392304845413264,0.1015625,after_step,1,10.392304845413264,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.759765625,246.969633760914,256,2,"[3, 4]",False,0.078125,7.745966692414834,0.078125,after_step,1,7.745966692414834,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.759765625,247.9274087308622,256,2,"[4, 5]",False,0.1015625,9.899494936611665,0.1015625,after_step,1,9.899494936611665,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.76953125,251.40405724649713,256,2,"[5, 6]",False,0.09375,8.366600265340756,0.09375,after_step,1,8.366600265340756,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.779296875,253.99606296161363,256,2,"[6, 7]",False,0.140625,11.832159566199232,0.140625,after_step,1,11.832159566199232,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.5439453125,177.6485294056779,512,4,"[0, 5, 6, 7]",False,0.091796875,15.968719422671311,0.091796875,after_step,1,15.968719422671311,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.5537109375,180.2304080892012,512,4,"[0, 1, 6, 7]",False,0.107421875,19.05255888325765,0.107421875,after_step,1,19.05255888325765,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.5439453125,177.44013074837383,512,4,"[0, 1, 2, 7]",False,0.103515625,17.804493814764857,0.103515625,after_step,1,17.804493814764857,1,1,one_peer_exponential_dag_star
True,True,3,0.5,False,False,0.5341796875,174.19816302131318,512,4,"[0, 1, 2, 3]",False,0.087890625,14.798648586948742,0.087890625,after_step,1,14.798648586948742,1,1,one_peer_exponential_dag_star
True,True,4,0.5,False,False,0.529296875,171.95348208163742,512,4,"[1, 2, 3, 4]",False,0.0703125,12.328828005937952,0.0703125,after_step,1,12.328828005937952,1,1,one_peer_exponential_dag_star
True,True,5,0.5,False,False,0.51953125,169.20992878669975,512,4,"[2, 3, 4, 5]",False,0.07421875,12.96148139681572,0.07421875,after_step,1,12.96148139681572,1,1,one_peer_exponential_dag_star
True,True,6,0.5,False,False,0.529296875,173.26280616450836,512,4,"[3, 4, 5, 6]",False,0.078125,14.832396974191326,0.078125,after_step,1,14.832396974191326,1,1,one_peer_exponential_dag_star
True,True,7,0.5,False,False,0.5390625,176.8219443394965,512,4,"[4, 5, 6, 7]",False,0.08203125,15.556349186104045,0.08203125,after_step,1,15.556349186104045,1,1,one_peer_exponential_dag_star
True,True,0,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
True,True,1,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
True,True,2,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
True,True,3,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
True,True,4,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
True,True,5,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
True,True,6,1.0,False,False,0.0810546875,27.586228448267445,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.0810546875,27.586228448267445,0.0810546875,after_step,1,27.586228448267445,1,2,one_peer_exponential_dag_star
