active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.89453125,290.20337696174386,128,1,[0],False,0.15625,6.6332495807108,0.15625,initial,0,6.6332495807108,0,-1,one_peer_exponential_dag_star
False,False,1,0.125,False,False,0.884765625,287.8159133890967,128,1,[1],False,0.09375,4.0,0.09375,initial,0,4.0,0,-1,one_peer_exponential_dag_star
False,False,2,0.125,False,False,0.8828125,287.46478045144937,128,1,[2],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,one_peer_exponential_dag_star
False,False,3,0.125,False,False,0.884765625,287.7394654891817,128,1,[3],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,4,0.125,False,False,0.884765625,287.6178019525217,128,1,[4],False,0.09375,4.47213595499958,0.09375,initial,0,4.47213595499958,0,-1,one_peer_exponential_dag_star
False,False,5,0.125,False,False,0.884765625,288.04166365302086,128,1,[5],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,one_peer_exponential_dag_star
False,False,6,0.125,False,False,0.89453125,291.18379075765876,128,1,[6],False,0.15625,7.211102550927978,0.15625,initial,0,7.211102550927978,0,-1,one_peer_exponential_dag_star
False,False,7,0.125,False,False,0.884765625,288.0624932197873,128,1,[7],False,0.078125,3.4641016151377544,0.078125,initial,0,3.4641016151377544,0,-1,one_peer_exponential_dag_star
True,True,0,0.25,False,False,0.779296875,253.2350686615106,256,2,"[0, 7]",False,0.1171875,9.797958971132712,0.1171875,after_step,1,9.797958971132712,1,0,one_peer_exponential_dag_star
True,True,1,0.25,False,False,0.779296875,252.8359151702938,256,2,"[0, 1]",False,0.1171875,10.0,0.1171875,after_step,1,10.0,1,0,one_peer_exponential_dag_star
True,True,2,0.25,False,False,0.767578125,250.25586906204617,256,2,"[1, 2]",False,0.0703125,7.0710678118654755,0.0703125,after_step,1,7.0710678118654755,1,0,one_peer_exponential_dag_star
True,True,3,0.25,False,False,0.767578125,250.0079998720041,256,2,"[2, 3]",False,0.078125,7.874007874011811,0.078125,after_step,1,7.874007874011811,1,0,one_peer_exponential_dag_star
True,True,4,0.25,False,False,0.76953125,250.11597310047992,256,2,"[3, 4]",False,0.078125,7.615773105863909,0.078125,after_step,1,7.615773105863909,1,0,one_peer_exponential_dag_star
True,True,5,0.25,False,False,0.76953125,250.54340941242097,256,2,"[4, 5]",False,0.0859375,7.874007874011811,0.0859375,after_step,1,7.874007874011811,1,0,one_peer_exponential_dag_star
True,True,6,0.25,False,False,0.779296875,254.27937391774427,256,2,"[5, 6]",False,0.1171875,10.295630140987,0.1171875,after_step,1,10.295630140987,1,0,one_peer_exponential_dag_star
True,True,7,0.25,False,False,0.779296875,254.46021299998944,256,2,"[6, 7]",False,0.1171875,10.198039027185569,0.1171875,after_step,1,10.198039027185569,1,0,one_peer_exponential_dag_star
True,True,0,0.5,False,False,0.55859375,182.98087331740442,512,4,"[0, 5, 6, 7]",False,0.1171875,19.390719429665317,0.1171875,after_step,1,19.390719429665317,1,1,one_peer_exponential_dag_star
True,True,1,0.5,False,False,0.55859375,182.15927096911648,512,4,"[0, 1, 6, 7]",False,0.1171875,19.544820285692065,0.1171875,after_step,1,19.544820285692065,1,1,one_peer_exponential_dag_star
True,True,2,0.5,False,False,0.546875,178.13478043324386,512,4,"[0, 1, 2, 7]",False,0.09375,16.3707055437449,0.09375,after_step,1,16.3707055437449,1,1,one_peer_exponential_dag_star
True,True,3,0.5,False,False,0.546875,177.95505050433383,512,4,"[0, 1, 2, 3]",False,0.09375,16.852299546352718,0.09375,after_step,1,16.852299546352718,1,1,one_peer_exponential_dag_star
True,True,4,0.5,False,False,0.537109375,175.7042970447792,512,4,"[1, 2, 3, 4]",False,0.07421875,14.2828568570857,0.07421875,after_step,1,14.2828568570857,1,1,one_peer_exponential_dag_star
True,True,5,0.5,False,False,0.537109375,175.74413219222996,512,4,"[2, 3, 4, 5]",False,0.07421875,14.832396974191326,0.07421875,after_step,1,14.832396974191326,1,1,one_peer_exponential_dag_star
True,True,6,0.5,False,False,0.548828125,179.05864960956228,512,4,"[3, 4, 5, 6]",False,0.09765625,17.204650534085253,0.09765625,after_step,1,17.204650534085253,1,1,one_peer_exponential_dag_star
True,True,7,0.5,False,False,0.548828125,179.81101189860425,512,4,"[4, 5, 6, 7]",False,0.09765625,16.97056274847714,0.09765625,after_step,1,16.97056274847714,1,1,one_peer_exponential_dag_star
True,True,0,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,1,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,2,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,3,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,4,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,5,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,6,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
True,True,7,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,1,32.7414110874898,1,2,one_peer_exponential_dag_star
False,True,0,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,0,32.7414110874898,1,3,one_peer_exponential_dag_star
False,True,1,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,0,32.7414110874898,1,3,one_peer_exponential_dag_star
False,True,2,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,0,32.7414110874898,1,3,one_peer_exponential_dag_star
False,True,3,1.0,False,False,0.095703125,32.7414110874898,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,32.7414110874898,0.095703125,after_step,0,32.7414110874898,1,3,one_peer_exponential_dag_star
