active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.89453125,290.3583992241313,128,1,[0],False,0.15625,8.12403840463596,0.15625,initial,0,8.12403840463596,0,-1,tree
False,False,1,0.125,False,False,0.884765625,287.8159133890967,128,1,[1],False,0.09375,4.0,0.09375,initial,0,4.0,0,-1,tree
False,False,2,0.125,False,False,0.8828125,287.46478045144937,128,1,[2],False,0.09375,4.69041575982343,0.09375,initial,0,4.69041575982343,0,-1,tree
False,False,3,0.125,False,False,0.89453125,290.8711054745727,128,1,[3],False,0.15625,7.211102550927978,0.15625,initial,0,7.211102550927978,0,-1,tree
False,False,4,0.125,False,False,0.875,284.35189466574684,128,1,[4],False,0.078125,4.898979485566356,0.078125,initial,0,4.898979485566356,0,-1,tree
False,False,5,0.125,False,False,0.884765625,288.04166365302086,128,1,[5],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,tree
False,False,6,0.125,False,False,0.89453125,291.18379075765876,128,1,[6],False,0.15625,7.211102550927978,0.15625,initial,0,7.211102550927978,0,-1,tree
False,False,7,0.125,False,False,0.884765625,288.0624932197873,128,1,[7],False,0.078125,3.4641016151377544,0.078125,initial,0,3.4641016151377544,0,-1,tree
False,True,0,0.125,False,False,0.89453125,290.3583992241313,128,1,[0],False,0.15625,8.12403840463596,0.15625,after_step,0,8.12403840463596,1,0,tree
True,False,1,0.25,False,False,0.779296875,253.15212817592507,256,2,"[0, 1]",False,0.1171875,11.045361017187261,0.1171875,after_step,1,11.045361017187261,0,0,tree
False,True,2,0.125,False,False,0.8828125,287.46478045144937,128,1,[2],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,1,0,tree
True,False,3,0.25,False,False,0.77734375,253.183727755162,256,2,"[2, 3]",False,0.109375,9.899494936611665,0.109375,after_step,1,9.899494936611665,0,0,tree
False,True,4,0.125,False,False,0.875,284.35189466574684,128,1,[4],False,0.078125,4.898979485566356,0.078125,after_step,0,4.898979485566356,1,0,tree
True,False,5,0.25,False,False,0.759765625,247.3135661462994,256,2,"[4, 5]",False,0.0703125,6.928203230275509,0.0703125,after_step,1,6.928203230275509,0,0,tree
False,True,6,0.125,False,False,0.89453125,291.18379075765876,128,1,[6],False,0.15625,7.211102550927978,0.15625,after_step,0,7.211102550927978,1,0,tree
True,False,7,0.25,False,False,0.779296875,254.46021299998944,256,2,"[6, 7]",False,0.1171875,10.198039027185569,0.1171875,after_step,1,10.198039027185569,0,0,tree
False,False,0,0.125,False,False,0.89453125,290.3583992241313,128,1,[0],False,0.15625,8.12403840463596,0.15625,after_step,0,8.12403840463596,0,1,tree
False,True,1,0.25,False,False,0.779296875,253.15212817592507,256,2,"[0, 1]",False,0.1171875,11.045361017187261,0.1171875,after_step,0,11.045361017187261,1,1,tree
False,False,2,0.125,False,False,0.8828125,287.46478045144937,128,1,[2],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,1,tree
True,False,3,0.5,False,False,0.556640625,181.59295140505867,512,4,"[0, 1, 2, 3]",False,0.11328125,20.09975124224178,0.11328125,after_step,1,20.09975124224178,0,1,tree
False,False,4,0.125,False,False,0.875,284.35189466574684,128,1,[4],False,0.078125,4.898979485566356,0.078125,after_step,0,4.898979485566356,0,1,tree
False,True,5,0.25,False,False,0.759765625,247.3135661462994,256,2,"[4, 5]",False,0.0703125,6.928203230275509,0.0703125,after_step,0,6.928203230275509,1,1,tree
False,False,6,0.125,False,False,0.89453125,291.18379075765876,128,1,[6],False,0.15625,7.211102550927978,0.15625,after_step,0,7.211102550927978,0,1,tree
True,False,7,0.5,False,False,0.5390625,176.72011770027768,512,4,"[4, 5, 6, 7]",False,0.078125,13.856406460551018,0.078125,after_step,1,13.856406460551018,0,1,tree
False,False,0,0.125,False,False,0.89453125,290.3583992241313,128,1,[0],False,0.15625,8.12403840463596,0.15625,after_step,0,8.12403840463596,0,2,tree
False,False,1,0.25,False,False,0.779296875,253.15212817592507,256,2,"[0, 1]",False,0.1171875,11.045361017187261,0.1171875,after_step,0,11.045361017187261,0,2,tree
False,False,2,0.125,False,False,0.8828125,287.46478045144937,128,1,[2],False,0.09375,4.69041575982343,0.09375,after_step,0,4.69041575982343,0,2,tree
False,True,3,0.5,False,False,0.556640625,181.59295140505867,512,4,"[0, 1, 2, 3]",False,0.11328125,20.09975124224178,0.11328125,after_step,0,20.09975124224178,1,2,tree
False,False,4,0.125,False,False,0.875,284.35189466574684,128,1,[4],False,0.078125,4.898979485566356,0.078125,after_step,0,4.898979485566356,0,2,tree
False,False,5,0.25,False,False,0.759765625,247.3135661462994,256,2,"[4, 5]",False,0.0703125,6.928203230275509,0.0703125,after_step,0,6.928203230275509,0,2,tree
False,False,6,0.125,False,False,0.89453125,291.18379075765876,128,1,[6],False,0.15625,7.211102550927978,0.15625,after_step,0,7.211102550927978,0,2,tree
True,False,7,1.0,False,False,0.095703125,33.2264954516723,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.095703125,33.2264954516723,0.095703125,after_step,1,33.2264954516723,0,2,tree
