Agents,AggregationMethod,AnswerAgentIds,ArraySize,AverageIncludedAgents,AverageNormalizedL1Error,AverageRMSE,FinalExactMatch,FinalKey,FinalNormalizedL1Error,FinalRMSE,InitMode,MergeMode,Seed,SelectedPrimary,Task,Topology,TotalCompletionTokens,TotalDeterministicFallbacks,TotalMessages,TotalModelCalls,TotalPromptTokens,TotalRetryAttempts,TotalSteps,ValueMax,ValueMin,VoteAverageDisagreementRMSE,VoteNormalizedL1Error,VoteRMSE,VoteTopRatio,graph_candidate_score_mode,graph_search_mode,job_id,num_graph_candidates,objective,phase,planner_mode,planner_policy,requested_topology
8,vote,[7],1024,8,0.1328125,46.238512086787566,False,"FREQ_JSON:{""0"":89,""1"":109,""2"":77,""3"":88,""4"":70,""5"":89,""6"":58,""7"":87,""8"":87,""9"":100}",0.166015625,57.706152185014034,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,mesh_star,9011,0,63,17,30804,0,2,9,0,17.635192088548397,0.166015625,57.706152185014034,1.0,accuracy_max,topk,0c1826275ecf,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,1,0.0830078125,29.916550603303182,False,"FREQ_JSON:{""0"":107,""1"":94,""2"":106,""3"":97,""4"":93,""5"":89,""6"":71,""7"":103,""8"":101,""9"":98}",0.0830078125,29.916550603303182,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,tree,8133,0,7,15,15360,0,3,9,0,0.0,0.0830078125,29.916550603303182,1.0,accuracy_max,topk,143fe51c9de0,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.080078125,28.74021572639983,False,"FREQ_JSON:{""0"":94,""1"":110,""2"":90,""3"":93,""4"":87,""5"":96,""6"":66,""7"":98,""8"":98,""9"":116}",0.080078125,28.74021572639983,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,one_peer_exponential_dag_star,22809,0,31,33,40365,0,4,9,0,0.0,0.080078125,28.74021572639983,1.0,accuracy_max,topk,28e9d228dd63,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,8,0.1640625,57.02630971753301,False,"FREQ_JSON:{""0"":74,""1"":82,""2"":92,""3"":72,""4"":75,""5"":71,""6"":81,""7"":90,""8"":80,""9"":97}",0.205078125,71.09149034870488,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,mesh_star,8863,0,63,17,30839,0,2,9,0,28.879058156387302,0.205078125,71.09149034870488,1.0,accuracy_max,topk,332e808ddd96,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,8,0.1123046875,40.4103947023535,False,"FREQ_JSON:{""0"":88,""1"":91,""2"":97,""3"":91,""4"":83,""5"":76,""6"":91,""7"":98,""8"":90,""9"":104}",0.1123046875,40.4103947023535,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,one_peer_exponential_dag_star,24432,0,31,33,39905,0,4,9,0,0.0,0.1123046875,40.4103947023535,1.0,accuracy_max,topk,3713e8a2690d,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,1,0.0830078125,30.04995840263344,False,"FREQ_JSON:{""0"":93,""1"":109,""2"":91,""3"":93,""4"":86,""5"":96,""6"":66,""7"":97,""8"":96,""9"":112}",0.0830078125,30.04995840263344,llm_local_solve,llm_full_merge,104,vote,count_frequency_protocol,tree,9752,0,7,15,15361,0,3,9,0,0.0,0.0830078125,30.04995840263344,1.0,accuracy_max,topk,95fbc60f1356,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.080078125,29.563490998188964,False,"FREQ_JSON:{""0"":99,""1"":104,""2"":96,""3"":75,""4"":89,""5"":91,""6"":75,""7"":100,""8"":98,""9"":115}",0.080078125,29.563490998188964,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,one_peer_exponential_dag_star,22196,0,31,33,39989,0,4,9,0,0.0,0.080078125,29.563490998188964,1.0,accuracy_max,topk,a0d6059583fe,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,8,0.0810546875,30.347981810987037,False,"FREQ_JSON:{""0"":101,""1"":93,""2"":105,""3"":98,""4"":91,""5"":89,""6"":71,""7"":102,""8"":106,""9"":97}",0.0810546875,30.347981810987037,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,one_peer_exponential_dag_star,22722,0,31,34,41943,1,4,9,0,0.0,0.0810546875,30.347981810987037,1.0,accuracy_max,topk,ab1f434c00ae,4,balanced,test,operator_compose,fixed_topology,one_peer_exponential_dag_star
8,vote,[7],1024,1,0.1123046875,40.90232267243512,False,"FREQ_JSON:{""0"":88,""1"":90,""2"":99,""3"":89,""4"":84,""5"":77,""6"":90,""7"":98,""8"":91,""9"":103}",0.1123046875,40.90232267243512,llm_local_solve,llm_full_merge,102,vote,count_frequency_protocol,tree,7760,0,7,15,15359,0,3,9,0,0.0,0.1123046875,40.90232267243512,1.0,accuracy_max,topk,ad384a8abe4a,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.1240234375,42.391036788453285,False,"FREQ_JSON:{""0"":95,""1"":92,""2"":86,""3"":75,""4"":81,""5"":81,""6"":73,""7"":91,""8"":92,""9"":154}",0.17578125,63.30876716537765,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,mesh_star,7019,0,63,17,30881,0,2,9,0,30.24896692450835,0.17578125,63.30876716537765,1.0,accuracy_max,topk,cdb60568d8cd,4,balanced,test,operator_compose,fixed_topology,mesh_star
8,vote,[7],1024,1,0.078125,27.964262908219126,False,"FREQ_JSON:{""0"":105,""1"":107,""2"":98,""3"":76,""4"":90,""5"":91,""6"":76,""7"":101,""8"":96,""9"":120}",0.078125,27.964262908219126,llm_local_solve,llm_full_merge,103,vote,count_frequency_protocol,tree,7618,0,7,15,15328,0,3,9,0,0.0,0.078125,27.964262908219126,1.0,accuracy_max,topk,e7c1e45b477e,4,balanced,test,operator_compose,fixed_topology,tree
8,vote,[7],1024,8,0.146484375,50.51732376126036,False,"FREQ_JSON:{""0"":92,""1"":82,""2"":114,""3"":87,""4"":81,""5"":77,""6"":63,""7"":97,""8"":89,""9"":92}",0.1484375,54.49770637375485,llm_local_solve,llm_full_merge,101,vote,count_frequency_protocol,mesh_star,7794,0,63,17,30849,0,2,9,0,18.275666882497067,0.1484375,54.49770637375485,1.0,accuracy_max,topk,f5025ef52f54,4,balanced,test,operator_compose,fixed_topology,mesh_star
